"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"cc9bc8f7-a0c4-4655-8bcd-80e4c4330afe","","folder-normal","","","step","TRUE","FALSE","Site QA"
"e9a3d784-f609-45a5-a26f-fe516dec6e06","","folder-normal","","","step","TRUE","FALSE","Site QA","McGregor Rd - North"
"2f3142d8-5b7e-4765-ac62-9da89f9db98c","","folder-normal","","","step","TRUE","FALSE","Site QA","McGregor Rd - North","Type B"
"f9e26bfa-81bc-4b10-9b94-eb8d266acf1a","","checklist-sectioned","","5a15cd169fb2be7123f13a4540ea4f9c083969cb580fc3c1137db434f881c4ea","checklist","FALSE","FALSE","Site QA","McGregor Rd - North","Type B","1630-SYM-EAL-0070"
"3e7f7458-c989-4510-a55d-b8278345b888","","checklist-sectioned","","5a15cd169fb2be7123f13a4540ea4f9c083969cb580fc3c1137db434f881c4ea","checklist","FALSE","FALSE","Site QA","McGregor Rd - North","Type B","1630-SYM-EAL-0071"
"3253fed5-31ea-4628-b083-7d7b04e59cf3","","checklist-sectioned","","5a15cd169fb2be7123f13a4540ea4f9c083969cb580fc3c1137db434f881c4ea","checklist","FALSE","FALSE","Site QA","McGregor Rd - North","Type B","1630-SYM-EAL-0072"
"8fe03727-1c89-4330-85c0-28b46db380c5","","checklist-sectioned","","5a15cd169fb2be7123f13a4540ea4f9c083969cb580fc3c1137db434f881c4ea","checklist","FALSE","FALSE","Site QA","McGregor Rd - North","Type B","1630-SYM-EAL-0073"
"f91bc378-c9e9-46ae-94f2-94a89a60e103","","checklist-sectioned","","5a15cd169fb2be7123f13a4540ea4f9c083969cb580fc3c1137db434f881c4ea","checklist","FALSE","FALSE","Site QA","McGregor Rd - North","Type B","1630-SYM-EAL-0076"
"7c711c59-5704-4cfb-8e6a-9a97c0d7d49c","","checklist-sectioned","","5a15cd169fb2be7123f13a4540ea4f9c083969cb580fc3c1137db434f881c4ea","checklist","FALSE","FALSE","Site QA","McGregor Rd - North","Type B","1630-SYM-EAL-0078"
"59f5d748-bca8-4861-8ea6-39ceed3975e2","","folder-normal","","","step","TRUE","FALSE","Site QA","McGregor Rd - North","Type C"
"53bd6966-4d41-4db2-aa62-0502b6e08237","","folder-normal","","","step","TRUE","FALSE","Site QA","McGregor Rd - North","Verge LHS"
"511ef005-dfc3-4487-b487-d494adadf49e","","folder-normal","","","step","TRUE","FALSE","Site QA","McGregor Rd - North","Verge RHS"
"7dca53e4-0dc7-4f97-adc3-7d90152e42a7","","folder-normal","","","step","TRUE","FALSE","Site QA","McGregor Rd - North","Type V Asphalt"
"3ff9307c-2bf2-4a04-b8f2-c4a7a5dab9ed","","folder-normal","","","step","TRUE","FALSE","Site QA","McGregor Rd - North","Type SS Asphalt"
"f95f59a4-c521-4c6c-97f4-be4711b4f846","","folder-normal","","","step","TRUE","FALSE","Site QA","McGregor Rd - North","Type SF Asphalt"
"aea23e54-8138-433a-9ac3-6143baa5e09f","","folder-normal","","","step","TRUE","FALSE","Site QA","McGregor Rd - North","Conduit and Pit"
"11652121-7c58-42c1-baf5-bc385897f8f4","","folder-normal","","","step","TRUE","FALSE","Site QA","McGregor Rd - North","Upper Subbase - CTCR"
"46d78949-c8f1-42cb-acbd-f48aea3df7b1","","folder-normal","","","step","TRUE","FALSE","Site QA","McGregor Rd - North","Lower Subbase"
"18bf4a98-57ee-44f5-9a93-f9a392da59e0","","folder-normal","","","step","TRUE","FALSE","Site QA","McGregor Rd - North","Clearing & Grubbing"
"dfffbda4-1c55-4219-9ce8-fdef00593236","","folder-normal","","","step","TRUE","FALSE","Site QA","McGregor Rd - North","Topsoil Strip"
"9d9dd6bc-460d-46ab-9e36-82dd6cbf40f7","","checklist-sectioned","","1630-P200-SYM-QAC-ITP-0001 Site Clearing and Grubbing","checklist","FALSE","FALSE","Site QA","McGregor Rd - North","Topsoil Strip","1630-SYM-EAL-0015"
"42b6b95d-19bb-42e0-8f22-57f1f28645f9","","folder-normal","","","step","TRUE","FALSE","Site QA","McGregor Rd - North","Cut Floor"
"13524ac8-15fd-4584-bff0-479dcdacb78f","","checklist-sectioned","","1630-P200-SYM-QAC-ITP-0002 Cut Floor/Topsoil Stripping","checklist","FALSE","FALSE","Site QA","McGregor Rd - North","Cut Floor","1630-SYM-CIL-0001"
"c90f004e-ab3a-48cc-a730-e281d4cd6a76","","folder-normal","","","step","TRUE","FALSE","Site QA","McGregor Rd - North","Rock Beaching"
"ad173f22-06da-45cb-b611-05bdb8bb64ef","","folder-normal","","","step","TRUE","FALSE","Site QA","McGregor Rd - North","Public Lighting and ITS [Intelligent Transport System]"
"f887b672-8fcd-4574-b9b1-ef1236afee4e","","folder-normal","","","step","TRUE","FALSE","Site QA","McGregor Rd - South"
"c9dac800-26de-467b-9761-951d5f3dd78a","","folder-normal","","","step","TRUE","FALSE","Site QA","McGregor Rd - South","Type B"
"1b6d03f4-cabe-4812-8b17-786d81235768","","checklist-sectioned","","1630-P200-SYM-QAC-ITP-0007 Fill Earthworks Type B","checklist","FALSE","FALSE","Site QA","McGregor Rd - South","Type B","1630-SYM-EAL-0014"
"ff8c4c26-70a9-4279-962d-58746a63c46d","","checklist-sectioned","","1630-P200-SYM-QAC-ITP-0007 Fill Earthworks Type B","checklist","FALSE","FALSE","Site QA","McGregor Rd - South","Type B","1630-SYM-EAL-0016"
"f4623b5e-21cd-418c-8114-7a7af0a2e4ca","","checklist-sectioned","","1630-P200-SYM-QAC-ITP-0007 Fill Earthworks Type B","checklist","FALSE","FALSE","Site QA","McGregor Rd - South","Type B","1630-SYM-EAL-0026"
"b101eed2-6cee-49e5-93ce-0546e588088c","","checklist-sectioned","","1630-P200-SYM-QAC-ITP-0007 Fill Earthworks Type B","checklist","FALSE","FALSE","Site QA","McGregor Rd - South","Type B","1630-SYM-EAL-0029"
"3f595771-668e-49b2-9c97-30ef016df629","","checklist-sectioned","","1630-P200-SYM-QAC-ITP-0007 Fill Earthworks Type B","checklist","FALSE","FALSE","Site QA","McGregor Rd - South","Type B","1630-SYM-EAL-0034"
"b27736fe-b6f6-44c6-8354-d70c3f5085f9","","checklist-sectioned","","1630-P200-SYM-QAC-ITP-0007 Fill Earthworks Type B","checklist","FALSE","FALSE","Site QA","McGregor Rd - South","Type B","1630-SYM-EAL-0035"
"89001084-b7d5-4ad8-8715-bf01e5876c57","","checklist-sectioned","","1630-P200-SYM-QAC-ITP-0007 Fill Earthworks Type B","checklist","FALSE","FALSE","Site QA","McGregor Rd - South","Type B","1630-SYM-EAL-0036"
