"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"fc44f316-65af-4658-a916-8acccb901119","","checklist-flat","not-started","SYS - Job Details Checklist (V1)","checklist-flat","FALSE","FALSE","Job Details"
"a184365c-6c00-4ce8-9630-0f3593ca1e64","","folder-normal","fail","","step","TRUE","FALSE","Precast Manufacture"
"1149ba57-3fb5-4b6b-92bb-a6ab6eee47ba","","folder-normal","fail","","step","TRUE","FALSE","Precast Manufacture","Precast Panels"
"13270611-ddca-49d2-bbb2-734b4a5ea9bf","","folder-normal","fail","","step","TRUE","FALSE","Precast Manufacture","Precast Panels","Building A "
"8f6a35b1-8d7d-431b-a2ab-9e906ab24be6","","folder-normal","fail","","step","TRUE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P100"
"a83358ab-dc67-45c1-b8b8-b1dd47d20c7e","","checklist-sectioned","work-in-progress","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P100","782-P01"
"abd92e14-315f-44e8-b371-10736b3fe7d3","","checklist-sectioned","work-in-progress","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P100","782-P02"
"f949bdc5-6af2-4738-8d95-526c75cde648","","checklist-sectioned","work-in-progress","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P100","782-P03"
"f9d66c34-a8c2-45d6-9799-80fea657968d","","checklist-sectioned","work-in-progress","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P100","782-P04"
"68784b25-34aa-4319-ac27-04d0655b6122","","checklist-sectioned","pass","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P100","782-P05"
"d7ee0562-b157-4573-a667-4f9c9184622e","","checklist-sectioned","work-in-progress","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P100","782-P06"
"82977ecc-bd02-48dc-b317-1e1719ea5b2f","","checklist-sectioned","work-in-progress","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P100","782-P07"
"5be3454c-efe0-4b38-ad9c-093e456dc365","","checklist-sectioned","work-in-progress","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P100","782-P08"
"3086bcc4-8585-43f0-92a3-f5592ae1a3cc","","checklist-sectioned","work-in-progress","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P100","782-P09"
"50f6eedc-76ac-4095-98c4-e283f4c7197f","","checklist-sectioned","work-in-progress","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P100","782-P10"
"6fd37107-61ee-4b5f-af8e-f189fe3925f6","","checklist-sectioned","work-in-progress","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P100","782-P11"
"5bdf3e74-0d0a-43c6-ba36-e32b6a0b4368","","checklist-sectioned","work-in-progress","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P100","782-P12"
"fc694076-e4cd-4eba-a450-d19803a5486e","","checklist-sectioned","fail","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P100","782-P13"
"c8bd8b20-5259-4356-8a43-8f9e30801011","","checklist-sectioned","pass","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P100","782-P14"
"204a8eef-8872-4b3d-86f1-d45adcd06c8c","","checklist-sectioned","work-in-progress","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P100","782-P15"
"cd7aa659-d8a7-4f07-bd9b-ad0e12270bf4","","checklist-sectioned","work-in-progress","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P100"," 782-P15R"
"41c94c6a-7e15-4c04-b47a-46c7367db576","","checklist-sectioned","pass","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P100","782-P16"
"6cf85e6d-cefa-4be5-82d0-05f298820bfc","","checklist-sectioned","work-in-progress","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P100","782-P17a"
"346e69b9-6505-42e9-8f73-9b9b8f8e7ea1","","checklist-sectioned","pass","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P100","782-P18"
"043b8371-c828-4099-863c-e3ff21225604","","checklist-sectioned","work-in-progress","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P100","782-P19"
"f6c8d11d-77de-4027-9059-7bc8ce05aff6","","checklist-sectioned","work-in-progress","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P100","782-P20"
"430bf3ff-71bf-4a8e-9ecd-3c946e8e0a21","","checklist-sectioned","pass","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P100","782-P21"
"afb1e5c6-1958-4d89-ae03-bf6d05a1c4f3","","checklist-sectioned","pass","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P100","782-P22"
"09bffb49-25bf-4095-b6f4-12eacc90be81","","checklist-sectioned","work-in-progress","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P100","782-P22a"
"7c437f4f-c754-48f4-ab76-471defac7999","","checklist-sectioned","pass","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P100","782-P23"
"56516bfd-76c1-48c9-976b-4b2e009ad50d","","checklist-sectioned","fail","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P100","782-P24"
"54a41f6b-5316-4bd1-9c51-b0e498eb16d0","","checklist-sectioned","work-in-progress","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P100","782-P25"
"4699968b-f204-410a-805f-5a9e709ddb6e","","checklist-sectioned","pass","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P100","782-P26"
"89420be0-432a-4749-8f46-bc298bc8a04c","","checklist-sectioned","work-in-progress","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P100","782-P27"
"686a0038-180a-4191-a619-836b5a3caa51","","checklist-sectioned","pass","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P100","782-P28"
"f080a9c1-cc8a-4e0a-98ac-1b35d5b949e0","","checklist-sectioned","pass","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P100","782-P29"
"dedd1dc4-f3e1-421d-b824-0f20d3260f08","","checklist-sectioned","pass","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P100","782-P30"
"ebf16759-5d9e-4314-a9f6-c7583aa723a8","","checklist-sectioned","pass","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P100","782-P31"
"95a13a08-7902-4b59-bca3-9720a115440a","","checklist-sectioned","not-started","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P100","782-P32"
"d0b00c25-8d1a-4825-82d3-b7ddf81819c0","","checklist-sectioned","not-started","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P100","782-P33"
"8e5df963-efa7-4adf-86d0-c8035863a75a","","checklist-sectioned","not-started","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P100","782-P34"
"9eba7981-81dd-421c-8700-9b5e6b2cea4c","","checklist-sectioned","not-started","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P100","782-P35"
"f6785d9b-0c22-43c9-b349-2c401780bf23","","checklist-sectioned","not-started","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P100","782-P36"
"91564fe2-2ec1-4ea5-8f99-571b4321e2e3","","checklist-sectioned","not-started","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P100","782-P37"
