Step Id,Warnings,State,Checklist Template,Type,addStep,addPost,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5,Tier 6
3086ef3f-e31d-4692-b8db-8f03d5dacd07,,pass,,folder,TRUE,FALSE,Site QA,Building,Ground floor,G01,,
687ab137-9ddb-4b32-bcd7-ccdceb5dafd8,,pass,,folder,TRUE,FALSE,Site QA,Building,Ground floor,G02,,
81004c8c-539e-4709-9890-1ac43069ab53,,pass,,folder,TRUE,FALSE,Site QA,Building,Ground floor,G03,,
cc3be2e9-89c9-4a5c-9bfc-d8855bc7def1,,pass,,folder,TRUE,FALSE,Site QA,Building,Ground floor,G04,,
e1f825a8-7e13-4b89-b67f-c2dcdb24853e,,pass,,folder,TRUE,FALSE,Site QA,Building,Ground floor,G05,,
11530eba-ef83-456b-92d1-b1a314979b43,,pass,,folder,TRUE,FALSE,Site QA,Building,Level 1,101,,
cccf2d04-668a-4f2a-a6c0-464a64f52f71,,pass,,folder,TRUE,FALSE,Site QA,Building,Level 1,102,,
f7ff693c-669f-4235-966b-25b9f91092ff,,pass,,folder,TRUE,FALSE,Site QA,Building,Level 1,103,,
c8cf050d-66a5-479d-b295-8b97a343419c,,pass,,folder,TRUE,FALSE,Site QA,Building,Level 1,104,,
55b32092-038b-4526-adff-0cd06427cfdc,,pass,,folder,TRUE,FALSE,Site QA,Building,Level 1,105,,
12aa1cc9-3a51-42e7-aed9-dde8e707d061,,pass,,folder,TRUE,FALSE,Site QA,Building,Level 2,201,,
5fdb83f0-d64d-43d0-8d01-77c40b39680a,,pass,,folder,TRUE,FALSE,Site QA,Building,Level 2,202,,
6b81241d-6055-4cc7-8da9-0eebbaaa2f8a,,pass,,folder,TRUE,FALSE,Site QA,Building,Level 2,203,,
5a089acb-a456-44d3-8ec4-2b44ac5cf077,,pass,,folder,TRUE,FALSE,Site QA,Building,Level 2,204,,
2eafe236-ce44-4a84-9a15-d0edb38ba072,,pass,,folder,TRUE,FALSE,Site QA,Building,Level 2,205,,
563ae284-ff01-4590-b859-f2d8e91dc79a,,pass,,folder,TRUE,FALSE,Site QA,Building,Level 3,301,,
299a791f-ebeb-4f38-b62a-1f01d47d405e,,pass,,folder,TRUE,FALSE,Site QA,Building,Level 3,302,,
7e905c55-13b8-492f-9159-25d079a42ea9,,pass,,folder,TRUE,FALSE,Site QA,Building,Level 3,303,,
eef4da16-55f3-47a9-ae1d-cdd48ba664c6,,pass,,folder,TRUE,FALSE,Site QA,Building,Level 3,304,,
d4fdd6dc-8ecc-4f13-ae27-3d1dc7ef306a,,pass,,folder,TRUE,FALSE,Site QA,Building,Level 3,305,,
165e8aff-dd25-4704-8c9a-84285dbdfdf7,,pass,,folder,TRUE,FALSE,Site QA,Building,Level 4,401,,
d8c1a145-de13-4fd4-9212-8f5c4e6c6d5b,,pass,,folder,TRUE,FALSE,Site QA,Building,Level 4,402,,
799a0862-ad18-4831-bcf2-0ffeab2cfd13,,pass,,folder,TRUE,FALSE,Site QA,Building,Level 4,403,,
f83f39bc-d8a0-41ad-b1c7-e18dd83587fd,,pass,,folder,TRUE,FALSE,Site QA,Building,Level 4,405,,
8d381901-c550-422f-9a50-99247f2cff11,,pass,,folder,TRUE,FALSE,Site QA,Building,Level 5,501,,
3df6ed61-2f06-43ec-96f3-09799e49b782,,pass,,folder,TRUE,FALSE,Site QA,Building,Level 5,502,,
44df8da7-b87e-4115-b933-6bb299df2bc6,,pass,,folder,TRUE,FALSE,Site QA,Building,Level 5,504,,
1160c039-a397-4322-ae21-5cb89a6adb68,,pass,,folder,TRUE,FALSE,Site QA,Building,Level 5,505,,
9092af0f-2c49-495e-bbe2-1e7bd812c91a,,pass,,folder,TRUE,FALSE,Site QA,Building,Level 6,601,,
fb12777a-770b-46ba-8f06-aae3d91f819d,,pass,,folder,TRUE,FALSE,Site QA,Building,Level 6,602,,
640146df-3e1a-451c-bf0a-4a7d401ae6c3,,pass,,folder,TRUE,FALSE,Site QA,Building,Level 6,603,,
3c9de7ae-1287-4028-8273-b06b6d2adfe2,,pass,,folder,TRUE,FALSE,Site QA,Building,Level 7,701,,
002297c8-65ef-4166-8972-2eaaf0a8dda2,,pass,,folder,TRUE,FALSE,Site QA,Building,Level 7,702,,
6b3653fc-ef40-4b12-a431-ef5e800e1c93,,pass,,folder,TRUE,FALSE,Site QA,Building,Level 8,801,,
8286ed49-4159-4f0c-be3c-c630afb81bd3,,pass,,folder,TRUE,FALSE,Site QA,Building,Level 8,802,,
b78be30d-94b7-4483-ac67-2ffaf22af53a,,pass,,folder,TRUE,FALSE,Site QA,Building,Level 9,901,,
e5f2276c-721b-4057-979b-4034baae56d3,,pass,,folder,TRUE,FALSE,Site QA,Building,Level 9,902,,
