"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Stage 1 - Overall Progress"
,"Scope",,
,"Rows"
,,"Stage 1","dynamic","stage 1"
,"Columns"
,,"Authority Main to Meter Installation",,"authority main to meter installation"
,,"Drainage Installation (In-ground)",,"drainage installation (in-ground)"
,,"Water Service Installation (In-ground)",,"water service installation (in-ground)"
,,"Gas Service Installation (In-ground)",,"gas service installation (in-ground)"
,,"Waste & Vent Installation",,"waste & vent installation"
,,"Water Service Installation (Rough-ins)",,"water service installation (rough-ins)"
,,"Gas Service Installation (Rough-ins)",,"gas service installation (rough-ins)"
,,"Toilet & Cistern Installation",,"toilet & cistern installation"
,,"Wash Basin & Tapware Installation",,"wash basin & tapware installation"
,,"Shower & Tapware Installation",,"shower & tapware installation"
,,"Bath & Tapware Installation",,"bath & tapware installation"
,,"Kitchen Sink & Tapware Installation",,"kitchen sink & tapware installation"
,,"Washer Machine Installation",,"washer machine installation"
,,"Laundry Trough & Tapware Installation",,"laundry trough & tapware installation"
,,"Tundish Installation",,"tundish installation"
,,"Hose Tap Installation",,"hose tap installation"
,,"Gas Appliance Installation",,"gas appliance installation"
,,"Water Heating, Boiling, Chilling, Unit Installation",,"water heating, boiling, chilling, unit installation"
,,"Testing Drainage Pipework (Air Test)",,"testing drainage pipework (air test)"
,,"Testing Drainage Pipework (Water Test)",,"testing drainage pipework (water test)"
,,"Testing Water Pipework (Water Test)",,"testing water pipework (water test)"
,,"Testing Gas Service (Air Test)",,"testing gas service (air test)"
,,"Commission Fixture Group",,"commission fixture group"
,,"Commission Hot Water Generating Plant",,"commission hot water generating plant"
,,"Commission Reduced Pressure Zone Device",,"commission reduced pressure zone device"

"Stage 2 - Overall Progress"
,"Scope",,
,"Rows"
,,"Stage 2","dynamic","stage 2"
,"Columns"
,,"Authority Main to Meter Installation",,"authority main to meter installation"
,,"Drainage Installation (In-ground)",,"drainage installation (in-ground)"
,,"Water Service Installation (In-ground)",,"water service installation (in-ground)"
,,"Gas Service Installation (In-ground)",,"gas service installation (in-ground)"
,,"Waste & Vent Installation",,"waste & vent installation"
,,"Water Service Installation (Rough-ins)",,"water service installation (rough-ins)"
,,"Gas Service Installation (Rough-ins)",,"gas service installation (rough-ins)"
,,"Toilet & Cistern Installation",,"toilet & cistern installation"
,,"Wash Basin & Tapware Installation",,"wash basin & tapware installation"
,,"Shower & Tapware Installation",,"shower & tapware installation"
,,"Bath & Tapware Installation",,"bath & tapware installation"
,,"Kitchen Sink & Tapware Installation",,"kitchen sink & tapware installation"
,,"Washer Machine Installation",,"washer machine installation"
,,"Laundry Trough & Tapware Installation",,"laundry trough & tapware installation"
,,"Tundish Installation",,"tundish installation"
,,"Hose Tap Installation",,"hose tap installation"
,,"Gas Appliance Installation",,"gas appliance installation"
,,"Water Heating, Boiling, Chilling, Unit Installation",,"water heating, boiling, chilling, unit installation"
,,"Testing Drainage Pipework (Air Test)",,"testing drainage pipework (air test)"
,,"Testing Drainage Pipework (Water Test)",,"testing drainage pipework (water test)"
,,"Testing Water Pipework (Water Test)",,"testing water pipework (water test)"
,,"Testing Gas Service (Air Test)",,"testing gas service (air test)"
,,"Commission Fixture Group",,"commission fixture group"
,,"Commission Hot Water Generating Plant",,"commission hot water generating plant"
,,"Commission Reduced Pressure Zone Device",,"commission reduced pressure zone device"

