"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"9d25ad23-f47f-4f93-a4b9-59639a47e1f6","","folder-normal","work-in-progress","","step","TRUE","FALSE","Conduits"
"25906010-d397-446e-88b5-7ea455170f54","","folder-normal","work-in-progress","","step","TRUE","FALSE","Conduits","Area / Building"
"92193f65-edbb-45e7-9215-ebc67a8dccc2","","folder-normal","work-in-progress","","step","TRUE","FALSE","Conduits","Area / Building","Basements"
"41173abf-2852-4d6d-8be0-646affbc8995","","folder-normal","work-in-progress","","step","TRUE","FALSE","Conduits","Area / Building","Basements","Slab on ground"
"91824ac7-b952-4eca-8998-3ee857e602dc","","checklist-flat","pass","fc96c92f0909e201f84dd2dc2b31f6b6b5e39c63f9ee4fd3119cd5f54576cf55","checklist-flat","FALSE","FALSE","Conduits","Area / Building","Basements","Slab on ground","Pour 3.1"
"5c0197a6-b9da-4c19-868a-2f7ee520c680","","checklist-flat","pass","fc96c92f0909e201f84dd2dc2b31f6b6b5e39c63f9ee4fd3119cd5f54576cf55","checklist-flat","FALSE","FALSE","Conduits","Area / Building","Basements","Slab on ground","Pour 3.2.2"
"ab964708-43f8-41d5-9ea2-efd243616cb6","","checklist-flat","pass","fc96c92f0909e201f84dd2dc2b31f6b6b5e39c63f9ee4fd3119cd5f54576cf55","checklist-flat","FALSE","FALSE","Conduits","Area / Building","Basements","Slab on ground","Pour 3.3"
"957baf4d-a9fa-4d01-a3b8-5d8d0c7fabe2","","checklist-flat","pass","fc96c92f0909e201f84dd2dc2b31f6b6b5e39c63f9ee4fd3119cd5f54576cf55","checklist-flat","FALSE","FALSE","Conduits","Area / Building","Basements","Slab on ground","Pour 3.4"
"c8065035-26e4-414a-8dca-1e130171ea2c","","checklist-flat","pass","fc96c92f0909e201f84dd2dc2b31f6b6b5e39c63f9ee4fd3119cd5f54576cf55","checklist-flat","FALSE","FALSE","Conduits","Area / Building","Basements","Slab on ground","Pour 3.5"
"739807d7-7d55-406a-85c6-0176f9b9dbc1","","checklist-flat","pass","fc96c92f0909e201f84dd2dc2b31f6b6b5e39c63f9ee4fd3119cd5f54576cf55","checklist-flat","FALSE","FALSE","Conduits","Area / Building","Basements","Slab on ground","Pour 3.6"
"4d748c58-cec9-4956-a767-a0a2bb84b9be","","checklist-flat","not-started","fc96c92f0909e201f84dd2dc2b31f6b6b5e39c63f9ee4fd3119cd5f54576cf55","checklist-flat","FALSE","FALSE","Conduits","Area / Building","Basements","Slab on ground","Pour 3.7"
"6a07b18d-ff08-4484-863e-169f748d6ab5","","checklist-flat","pass","fc96c92f0909e201f84dd2dc2b31f6b6b5e39c63f9ee4fd3119cd5f54576cf55","checklist-flat","FALSE","FALSE","Conduits","Area / Building","Basements","Slab on ground","Pour 3.8"
"cc10cd42-6220-4ae7-aedd-7b466b5883a7","","checklist-flat","pass","fc96c92f0909e201f84dd2dc2b31f6b6b5e39c63f9ee4fd3119cd5f54576cf55","checklist-flat","FALSE","FALSE","Conduits","Area / Building","Basements","Slab on ground","Pour 3.9"
"e2bfa787-891d-4bb8-bdbe-6931c0d7bdb1","","checklist-flat","pass","fc96c92f0909e201f84dd2dc2b31f6b6b5e39c63f9ee4fd3119cd5f54576cf55","checklist-flat","FALSE","FALSE","Conduits","Area / Building","Basements","Slab on ground","Pour 3.10 A"
"54dff899-515e-413e-b3ed-e76c870dac80","","checklist-flat","pass","fc96c92f0909e201f84dd2dc2b31f6b6b5e39c63f9ee4fd3119cd5f54576cf55","checklist-flat","FALSE","FALSE","Conduits","Area / Building","Basements","Slab on ground","Pour 1.1"
"2600b572-718e-4e68-9623-08f9bd799004","","checklist-flat","pass","fc96c92f0909e201f84dd2dc2b31f6b6b5e39c63f9ee4fd3119cd5f54576cf55","checklist-flat","FALSE","FALSE","Conduits","Area / Building","Basements","Slab on ground","Pour 1.2"
"f7387af1-cb29-4109-b097-fb50472312fb","","checklist-flat","pass","fc96c92f0909e201f84dd2dc2b31f6b6b5e39c63f9ee4fd3119cd5f54576cf55","checklist-flat","FALSE","FALSE","Conduits","Area / Building","Basements","Slab on ground","Pour 1.3"
"bf6abfe2-dd3f-42e9-a049-0614b07ea582","","checklist-flat","not-started","fc96c92f0909e201f84dd2dc2b31f6b6b5e39c63f9ee4fd3119cd5f54576cf55","checklist-flat","FALSE","FALSE","Conduits","Area / Building","Basements","Slab on ground","Pour 1.4"
"c1ebdd71-76bc-4c22-acb4-f16d85cdfd71","","checklist-flat","not-started","fc96c92f0909e201f84dd2dc2b31f6b6b5e39c63f9ee4fd3119cd5f54576cf55","checklist-flat","FALSE","FALSE","Conduits","Area / Building","Basements","Slab on ground","Pour 1.5"
"76649b43-5ac6-4b4d-93c3-1bcbc508f54e","","checklist-flat","pass","fc96c92f0909e201f84dd2dc2b31f6b6b5e39c63f9ee4fd3119cd5f54576cf55","checklist-flat","FALSE","FALSE","Conduits","Area / Building","Basements","Slab on ground","Pour 2.1"
"b28b02b2-111e-48e8-84fa-00cc4e3e79b3","","checklist-flat","pass","fc96c92f0909e201f84dd2dc2b31f6b6b5e39c63f9ee4fd3119cd5f54576cf55","checklist-flat","FALSE","FALSE","Conduits","Area / Building","Basements","Slab on ground","Pour 2.2"
"ae1ce8ee-b3a1-4240-822c-05dad41a4496","","checklist-flat","pass","fc96c92f0909e201f84dd2dc2b31f6b6b5e39c63f9ee4fd3119cd5f54576cf55","checklist-flat","FALSE","FALSE","Conduits","Area / Building","Basements","Slab on ground","Tunnel"
"44ca6c41-c8d2-4367-beff-b507882cf6ee","","checklist-flat","pass","fc96c92f0909e201f84dd2dc2b31f6b6b5e39c63f9ee4fd3119cd5f54576cf55","checklist-flat","FALSE","FALSE","Conduits","Area / Building","Basements","Slab on ground","Raft 1"
"f0963243-8479-412a-bacb-88078a9ec7f8","","checklist-flat","not-started","fc96c92f0909e201f84dd2dc2b31f6b6b5e39c63f9ee4fd3119cd5f54576cf55","checklist-flat","FALSE","FALSE","Conduits","Area / Building","Basements","Slab on ground","Raft 2"
"e50f27cc-ab2c-456c-98d9-71d80e3ab747","","checklist-flat","not-started","fc96c92f0909e201f84dd2dc2b31f6b6b5e39c63f9ee4fd3119cd5f54576cf55","checklist-flat","FALSE","FALSE","Conduits","Area / Building","Basements","Slab on ground","Raft 3"
"c48f6664-bbcb-4824-9e27-69262a9e981b","","checklist-flat","not-started","fc96c92f0909e201f84dd2dc2b31f6b6b5e39c63f9ee4fd3119cd5f54576cf55","checklist-flat","FALSE","FALSE","Conduits","Area / Building","Basements","Slab on ground","Raft 4"
"d3d71655-9f33-4609-8386-c7030e86c929","","checklist-flat","not-started","fc96c92f0909e201f84dd2dc2b31f6b6b5e39c63f9ee4fd3119cd5f54576cf55","checklist-flat","FALSE","FALSE","Conduits","Area / Building","Basements","Slab on ground","Raft 5"
"46bfc437-7932-4e21-ad54-5afaf1807e84","","checklist-flat","not-started","fc96c92f0909e201f84dd2dc2b31f6b6b5e39c63f9ee4fd3119cd5f54576cf55","checklist-flat","FALSE","FALSE","Conduits","Area / Building","Basements","Slab on ground","Raft 6"
"ed35d02f-913b-4541-acaa-6abfeaab16ba","","checklist-flat","not-started","fc96c92f0909e201f84dd2dc2b31f6b6b5e39c63f9ee4fd3119cd5f54576cf55","checklist-flat","FALSE","FALSE","Conduits","Area / Building","Basements","Slab on ground","Raft 7"
"16c6faaf-d65a-449c-a269-243cbf3ad535","","checklist-flat","not-started","fc96c92f0909e201f84dd2dc2b31f6b6b5e39c63f9ee4fd3119cd5f54576cf55","checklist-flat","FALSE","FALSE","Conduits","Area / Building","Basements","Slab on ground","Raft 8"
"9e944914-5d6a-4f09-9d05-bb017cd4d081","","checklist-flat","not-started","fc96c92f0909e201f84dd2dc2b31f6b6b5e39c63f9ee4fd3119cd5f54576cf55","checklist-flat","FALSE","FALSE","Conduits","Area / Building","Basements","Slab on ground","Raft 9"
"907a25b3-96de-49ce-9ed1-6341e96cc14b","","checklist-flat","not-started","fc96c92f0909e201f84dd2dc2b31f6b6b5e39c63f9ee4fd3119cd5f54576cf55","checklist-flat","FALSE","FALSE","Conduits","Area / Building","Basements","Slab on ground","Raft 10"
"79a27859-90ac-4647-a839-366c2d9f0449","","checklist-flat","not-started","fc96c92f0909e201f84dd2dc2b31f6b6b5e39c63f9ee4fd3119cd5f54576cf55","checklist-flat","FALSE","FALSE","Conduits","Area / Building","Basements","Slab on ground","Raft 11"
"f980c2e6-c672-41fb-bd9d-215a970a397a","","checklist-flat","pass","fc96c92f0909e201f84dd2dc2b31f6b6b5e39c63f9ee4fd3119cd5f54576cf55","checklist-flat","FALSE","FALSE","Conduits","Area / Building","Basements","Slab on ground","Pour 3.2.1"
"27023ee8-469b-4728-a7cf-c0bd74cd3113","","folder-normal","pass","","step","TRUE","FALSE","Conduits","Area / Building","Basements","Slab on ground","Geelong Rd Hard Stand "
"08a5fdf8-70ce-41d9-b426-00146a9ff0dd","","checklist-flat","pass","ee5a4400b46e39e88470bc831a499a231ece26b6bb7a6754f17b8e9f1e1e1e82","checklist-flat","FALSE","FALSE","Conduits","Area / Building","Basements","Slab on ground","Geelong Rd Hard Stand ","Grid G13 - G14"
"170972bb-556e-4b92-96c8-c5eab9b1fc63","","checklist-flat","pass","ee5a4400b46e39e88470bc831a499a231ece26b6bb7a6754f17b8e9f1e1e1e82","checklist-flat","FALSE","FALSE","Conduits","Area / Building","Basements","Slab on ground","Geelong Rd Hard Stand ","Grid G16 - G18 Crane 3 conduit "
"4de58a5c-9c18-4f94-a506-1f0ff570a635","","checklist-flat","pass","ee5a4400b46e39e88470bc831a499a231ece26b6bb7a6754f17b8e9f1e1e1e82","checklist-flat","FALSE","FALSE","Conduits","Area / Building","Basements","Slab on ground","Pour 3.10.B"
"dfe52e27-d107-440d-828e-78ac7ca191c1","","folder-normal","not-started","","step","TRUE","FALSE","Conduits","Area / Building","Basements","Slab on ground","Pour 2.3"
"c881f621-6901-4395-bbce-5b82e665e793","","checklist-flat","not-started","ee5a4400b46e39e88470bc831a499a231ece26b6bb7a6754f17b8e9f1e1e1e82","checklist-flat","FALSE","FALSE","Conduits","Area / Building","Basements","Slab on ground","Pour 2.3","AE-ITCX-007 - Conduit Checklist (Rev 0 +Names)

"
"f19896ec-2dcd-496d-8448-95aec9611b95","","folder-normal","not-started","","step","TRUE","FALSE","Conduits","Area / Building","Basements","Slab on ground","Pour 2.4"
"ed209f87-f5bd-41ee-a2e4-8620ee6f5945","","checklist-flat","not-started","ee5a4400b46e39e88470bc831a499a231ece26b6bb7a6754f17b8e9f1e1e1e82","checklist-flat","FALSE","FALSE","Conduits","Area / Building","Basements","Slab on ground","Pour 2.4","AE-ITCX-007 - Conduit Checklist (Rev 0 +Names)

"
"acdd1986-e18f-42fc-9841-cd73619e3a0e","","folder-normal","work-in-progress","","step","TRUE","FALSE","Conduits","Area / Building","Basements","Lower Ground"
"b6a539db-a22e-4fc6-b956-5c91d4f9e2e7","","checklist-flat","pass","fc96c92f0909e201f84dd2dc2b31f6b6b5e39c63f9ee4fd3119cd5f54576cf55","checklist-flat","FALSE","FALSE","Conduits","Area / Building","Basements","Lower Ground","Pour 1"
"21ed93a9-ea68-4949-a9c2-8c37f388ceaf","","checklist-flat","pass","fc96c92f0909e201f84dd2dc2b31f6b6b5e39c63f9ee4fd3119cd5f54576cf55","checklist-flat","FALSE","FALSE","Conduits","Area / Building","Basements","Lower Ground","Pour 2"
"dce322a9-1693-4b3a-bf70-3b41596373af","","checklist-flat","pass","fc96c92f0909e201f84dd2dc2b31f6b6b5e39c63f9ee4fd3119cd5f54576cf55","checklist-flat","FALSE","FALSE","Conduits","Area / Building","Basements","Lower Ground","Pour 3"
"24874d19-6fab-4ee2-9225-58699bd6ea60","","checklist-flat","pass","fc96c92f0909e201f84dd2dc2b31f6b6b5e39c63f9ee4fd3119cd5f54576cf55","checklist-flat","FALSE","FALSE","Conduits","Area / Building","Basements","Lower Ground","Pour 4"
"b82067c0-487f-43ee-abf4-d83b05dd0a35","","checklist-flat","pass","fc96c92f0909e201f84dd2dc2b31f6b6b5e39c63f9ee4fd3119cd5f54576cf55","checklist-flat","FALSE","FALSE","Conduits","Area / Building","Basements","Lower Ground","Pour 5"
"cd66417c-688d-4df5-b9dc-73cced91c96e","","checklist-flat","pass","fc96c92f0909e201f84dd2dc2b31f6b6b5e39c63f9ee4fd3119cd5f54576cf55","checklist-flat","FALSE","FALSE","Conduits","Area / Building","Basements","Lower Ground","Pour 6"
"6c7363e1-5645-465c-9343-09d800543066","","checklist-flat","pass","fc96c92f0909e201f84dd2dc2b31f6b6b5e39c63f9ee4fd3119cd5f54576cf55","checklist-flat","FALSE","FALSE","Conduits","Area / Building","Basements","Lower Ground","Pour 7"
"989a03df-79f1-4604-96f7-9b2b516fcb04","","checklist-flat","pass","fc96c92f0909e201f84dd2dc2b31f6b6b5e39c63f9ee4fd3119cd5f54576cf55","checklist-flat","FALSE","FALSE","Conduits","Area / Building","Basements","Lower Ground","Pour 8"
"76b7f7ec-d0ae-4bbe-9869-7ff99785135a","","checklist-flat","pass","fc96c92f0909e201f84dd2dc2b31f6b6b5e39c63f9ee4fd3119cd5f54576cf55","checklist-flat","FALSE","FALSE","Conduits","Area / Building","Basements","Lower Ground","Pour 9"
"1ac55c4b-a41e-45bc-b2be-e6a4b635f2fb","","checklist-flat","pass","fc96c92f0909e201f84dd2dc2b31f6b6b5e39c63f9ee4fd3119cd5f54576cf55","checklist-flat","FALSE","FALSE","Conduits","Area / Building","Basements","Lower Ground","Pour 10"
"00bb1274-9100-46cd-a2c7-cd6599f43ff8","","checklist-flat","pass","fc96c92f0909e201f84dd2dc2b31f6b6b5e39c63f9ee4fd3119cd5f54576cf55","checklist-flat","FALSE","FALSE","Conduits","Area / Building","Basements","Lower Ground","Pour 11"
"b5185483-8369-4ca5-9099-71b5e7f24c29","","checklist-flat","pass","fc96c92f0909e201f84dd2dc2b31f6b6b5e39c63f9ee4fd3119cd5f54576cf55","checklist-flat","FALSE","FALSE","Conduits","Area / Building","Basements","Lower Ground","Pour 12"
"f77b8500-811d-44d9-8866-69ad674b663c","","checklist-flat","pass","fc96c92f0909e201f84dd2dc2b31f6b6b5e39c63f9ee4fd3119cd5f54576cf55","checklist-flat","FALSE","FALSE","Conduits","Area / Building","Basements","Lower Ground","Pour 13"
"64efeb5f-9f09-49e9-8fc5-67856f13fbc4","","checklist-flat","pass","fc96c92f0909e201f84dd2dc2b31f6b6b5e39c63f9ee4fd3119cd5f54576cf55","checklist-flat","FALSE","FALSE","Conduits","Area / Building","Basements","Lower Ground","Pour 15"
"6e16b3af-661f-450b-a79b-a12ce78ae82b","","checklist-flat","pass","fc96c92f0909e201f84dd2dc2b31f6b6b5e39c63f9ee4fd3119cd5f54576cf55","checklist-flat","FALSE","FALSE","Conduits","Area / Building","Basements","Lower Ground","Pour 16"
"d2f6a1b7-a0f8-4e0c-88bb-5a890a8cbc77","","checklist-flat","not-started","fc96c92f0909e201f84dd2dc2b31f6b6b5e39c63f9ee4fd3119cd5f54576cf55","checklist-flat","FALSE","FALSE","Conduits","Area / Building","Basements","Lower Ground","Pour 17"
"cde4f962-bc06-47eb-9725-a187242a7a72","","checklist-flat","pass","fc96c92f0909e201f84dd2dc2b31f6b6b5e39c63f9ee4fd3119cd5f54576cf55","checklist-flat","FALSE","FALSE","Conduits","Area / Building","Basements","Lower Ground","Pour 18"
"8f87c4a1-ca97-45f1-8440-01d45be261f8","","checklist-flat","pass","fc96c92f0909e201f84dd2dc2b31f6b6b5e39c63f9ee4fd3119cd5f54576cf55","checklist-flat","FALSE","FALSE","Conduits","Area / Building","Basements","Lower Ground","Pour 19"
"7577043d-8b7d-4a0a-960f-90492fc12b86","","checklist-flat","pass","fc96c92f0909e201f84dd2dc2b31f6b6b5e39c63f9ee4fd3119cd5f54576cf55","checklist-flat","FALSE","FALSE","Conduits","Area / Building","Basements","Lower Ground","Pour 20"
"e8e84d91-93b0-4f62-b240-037445b4ae00","","checklist-flat","pass","fc96c92f0909e201f84dd2dc2b31f6b6b5e39c63f9ee4fd3119cd5f54576cf55","checklist-flat","FALSE","FALSE","Conduits","Area / Building","Basements","Lower Ground","Pour 21"
"5b4fe20b-9daa-4c31-ac52-7be6c6d7a57d","","checklist-flat","pass","fc96c92f0909e201f84dd2dc2b31f6b6b5e39c63f9ee4fd3119cd5f54576cf55","checklist-flat","FALSE","FALSE","Conduits","Area / Building","Basements","Lower Ground","Pour 22"
"0ec92beb-214e-4612-aa2c-be6eefc882c6","","checklist-flat","pass","fc96c92f0909e201f84dd2dc2b31f6b6b5e39c63f9ee4fd3119cd5f54576cf55","checklist-flat","FALSE","FALSE","Conduits","Area / Building","Basements","Lower Ground","Pour 23"
"2c09eb1c-c127-4621-b298-66f51a0e0ad0","","checklist-flat","pass","fc96c92f0909e201f84dd2dc2b31f6b6b5e39c63f9ee4fd3119cd5f54576cf55","checklist-flat","FALSE","FALSE","Conduits","Area / Building","Basements","Lower Ground","Pour 24"
"faeb6fe0-084a-41fd-9ae8-83077127314d","","checklist-flat","not-started","fc96c92f0909e201f84dd2dc2b31f6b6b5e39c63f9ee4fd3119cd5f54576cf55","checklist-flat","FALSE","FALSE","Conduits","Area / Building","Basements","Lower Ground","Pour 25"
"830ba2d5-fd33-44c3-9856-edcae7e5c2e6","","checklist-flat","not-started","fc96c92f0909e201f84dd2dc2b31f6b6b5e39c63f9ee4fd3119cd5f54576cf55","checklist-flat","FALSE","FALSE","Conduits","Area / Building","Basements","Lower Ground","Pour 26"
