"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"c2eff460-49cb-43a9-a53e-735e625ae1d4","","pass","","folder","TRUE","FALSE","Level B1"
"b5892b2e-e697-4004-adf9-34c285dadcba","","pass","5daa2f3744bd4cd32110b1d16f16df7975547d348d2eb7b6909e1bee22e79d53","checklist","FALSE","FALSE","Level B1","B1-C1"
"4ea27cf7-efab-4c75-b929-7c53096fc201","","pass","5daa2f3744bd4cd32110b1d16f16df7975547d348d2eb7b6909e1bee22e79d53","checklist","FALSE","FALSE","Level B1","B1-C2"
"3b3602de-32b7-4a85-bd6f-fc45d6c160ea","","pass","5daa2f3744bd4cd32110b1d16f16df7975547d348d2eb7b6909e1bee22e79d53","checklist","FALSE","FALSE","Level B1","B1-C3"
"b55f2a34-b18e-4fc7-94c1-04f56e1168ad","","pass","5daa2f3744bd4cd32110b1d16f16df7975547d348d2eb7b6909e1bee22e79d53","checklist","FALSE","FALSE","Level B1","B1-C4"
"8b87f236-b963-466e-806b-799a7f7597b0","","pass","5daa2f3744bd4cd32110b1d16f16df7975547d348d2eb7b6909e1bee22e79d53","checklist","FALSE","FALSE","Level B1","B1-C5"
"37f7874c-02ce-4be5-bbb6-9d05a5713f49","","pass","5daa2f3744bd4cd32110b1d16f16df7975547d348d2eb7b6909e1bee22e79d53","checklist","FALSE","FALSE","Level B1","B1-C6"
"19787d8e-1950-47ee-a874-a0383e96d27b","","pass","5daa2f3744bd4cd32110b1d16f16df7975547d348d2eb7b6909e1bee22e79d53","checklist","FALSE","FALSE","Level B1","B1-C7"
"76ff76ec-a571-463f-9d2f-771e9fee041e","","pass","5daa2f3744bd4cd32110b1d16f16df7975547d348d2eb7b6909e1bee22e79d53","checklist","FALSE","FALSE","Level B1","B1-C8"
"9797de3d-c07a-4632-9e62-37c402479e39","","pass","5daa2f3744bd4cd32110b1d16f16df7975547d348d2eb7b6909e1bee22e79d53","checklist","FALSE","FALSE","Level B1","B1-C9"
"591755bf-bf03-4b15-b440-7bcfdf0a8dad","","pass","5daa2f3744bd4cd32110b1d16f16df7975547d348d2eb7b6909e1bee22e79d53","checklist","FALSE","FALSE","Level B1","B1-C10"
"0691a1b3-8e50-4753-99c8-30a624b024f2","","pass","5daa2f3744bd4cd32110b1d16f16df7975547d348d2eb7b6909e1bee22e79d53","checklist","FALSE","FALSE","Level B1","B1-C11"
"a4a269dd-71f9-48f5-8a31-6d67482c33d1","","pass","5daa2f3744bd4cd32110b1d16f16df7975547d348d2eb7b6909e1bee22e79d53","checklist","FALSE","FALSE","Level B1","B1-C12"
"ed8df597-d1d8-4158-b53d-2cfedc69fbd7","","pass","5daa2f3744bd4cd32110b1d16f16df7975547d348d2eb7b6909e1bee22e79d53","checklist","FALSE","FALSE","Level B1","B1-C13"
"2e8bf71b-33e6-4809-b755-a1331442c271","","pass","5daa2f3744bd4cd32110b1d16f16df7975547d348d2eb7b6909e1bee22e79d53","checklist","FALSE","FALSE","Level B1","B1-C14"
"40a5e5d1-c799-41d7-8430-b1b10d6c2e05","","pass","5daa2f3744bd4cd32110b1d16f16df7975547d348d2eb7b6909e1bee22e79d53","checklist","FALSE","FALSE","Level B1","B1-C18"
"f7461ce8-f9be-4363-99b3-1ab984182dbe","","pass","5daa2f3744bd4cd32110b1d16f16df7975547d348d2eb7b6909e1bee22e79d53","checklist","FALSE","FALSE","Level B1","B1-C21"
"8beaae82-37ee-40c1-8222-c0e6d1b7e72a","","pass","5daa2f3744bd4cd32110b1d16f16df7975547d348d2eb7b6909e1bee22e79d53","checklist","FALSE","FALSE","Level B1","B1-CP1"
"21438686-0d96-4a64-8163-e201cfe3eaae","","pass","5daa2f3744bd4cd32110b1d16f16df7975547d348d2eb7b6909e1bee22e79d53","checklist","FALSE","FALSE","Level B1","B1-CP2"
"0e35662d-4fd8-4459-a1a8-d4b425504055","","pass","5daa2f3744bd4cd32110b1d16f16df7975547d348d2eb7b6909e1bee22e79d53","checklist","FALSE","FALSE","Level B1","B1-CP3"
"8d3322d6-d233-49e2-bbef-ca0d7f989ff2","","pass","5daa2f3744bd4cd32110b1d16f16df7975547d348d2eb7b6909e1bee22e79d53","checklist","FALSE","FALSE","Level B1","B1-CP4"
"0fa5e898-8773-4c05-9f9f-4d1859d27f1c","","pass","5daa2f3744bd4cd32110b1d16f16df7975547d348d2eb7b6909e1bee22e79d53","checklist","FALSE","FALSE","Level B1","B1-CP5"
