"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Bored Pile Record Progress"
,"Scope",,,"bored pile record"
,"Rows"
,,"Bored Pile Record","dynamic","bored pile record"
,"Columns"
,,"Platform Cert",,"set up","platform cert"
,,"Services Cleared",,"set up","services cleared"
,,"Pile Drilling Sequence - photos/documents",,"pile drilling sequence","attach any relevant photos / documents"
,,"Platform Level (RLm)","Platform Level (RLm)","pile drilling sequence","attach any relevant photos / documents"
,,"Dia (mm)","Dia (mm)","pile drilling sequence","attach any relevant photos / documents"
,,"Drill Depth (m)","Drill Depth (m)","pile drilling sequence","attach any relevant photos / documents"
,,"Socket Length (m)","Socket Length (m)","pile drilling sequence","attach any relevant photos / documents"
,,"Base Clean ""OK""","Base Clean ""OK""","pile drilling sequence","attach any relevant photos / documents"
,,"Base Clean Approved","Base Clean Approved","pile drilling sequence","attach any relevant photos / documents"
,,"Top of Concrete (RL m)","Top of Concrete (RL m)","pile drilling sequence","attach any relevant photos / documents"
,,"Conc. Grade (Mpa)","Conc. Grade (Mpa)","pile drilling sequence","attach any relevant photos / documents"
,,"Concrete Volume (m3)","Concrete Volume (m3)","pile drilling sequence","attach any relevant photos / documents"
,,"Casing Length (m)","Casing Length (m)","pile drilling sequence","attach any relevant photos / documents"
,,"Temp. or Perm Casing T/ P","Temp. or Perm Casing T/ P","pile drilling sequence","attach any relevant photos / documents"
,,"Verticality mm / m","Verticality mm / m","pile drilling sequence","attach any relevant photos / documents"
,,"Offsets mm/direction","Offsets mm/direction","pile drilling sequence","attach any relevant photos / documents"
,,"Reinforcement Cage - photos/documents",,"reinforcement cage","attach any relevant photos / documents"
,,"Top of Cage (RL m)","Top of Cage (RL m)","reinforcement cage","attach any relevant photos / documents"
,,"Bars x N yy","Bars x N yy","reinforcement cage","attach any relevant photos / documents"
,,"Spiral Size (mm)","Spiral Size (mm)","reinforcement cage","attach any relevant photos / documents"
,,"Spiral Pitch (mm)","Spiral Pitch (mm)","reinforcement cage","attach any relevant photos / documents"
,,"Length (m)","Length (m)","reinforcement cage","attach any relevant photos / documents"
,,"Concrete Test",,"reinforcement cage","concrete test attached"

