"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"a6d667d0-7f06-40d7-9273-101e0c9b7d70","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA"
"fd58f035-ff7d-452a-b51e-ed457ae42be7","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","SOG B-1"
"9d2d0e42-c0f9-45cc-b36c-ec2dacd189b6","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","SOG B-1","Lift Over Run"
"ab4d96ec-2613-4f72-872a-48bff058717b","","checklist-flat","not-started","S.O.G Checklist","checklist-flat","FALSE","FALSE","Site QA","SOG B-1","SOG Edge Boards"
"b8b1118f-8176-4b4e-9859-055557e62fab","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Basement 3"
"5d94dd4b-4a20-46e4-b3ec-209105096059","","checklist-flat","not-started","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Basement 3","Columns"
"0a7e5c81-6aa0-4a18-b31b-9babdda2f77d","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Basement 3","Walls"
"03911b85-38bb-44be-ba61-e23dc64e6662","","checklist-flat","pass","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Basement 3","Slab"
"d6568ce3-96e4-4270-b05a-87b5b64d1c7a","","checklist-sectioned","not-started","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Basement 3","Stairs"
"3644f05c-d164-4e8e-937e-9f5c2c93ed82","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Basement 3","Basement 3 pour 3 "
"6218b49c-b0ee-468e-9397-4f742b61a0e6","","checklist-flat","pass","S.O.G Checklist","checklist-flat","FALSE","FALSE","Site QA","Basement 3","Basement 3 pour 3 ","S.O.G Checklist"
"48483d31-a132-4b88-82a3-f7a9bfd9eae4","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Basement 2"
"c53d7461-2282-430f-b985-8b1d6e8459b4","","checklist-flat","not-started","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Basement 2","Columns"
"69aa2636-6550-49ec-a186-f59c91ea44d1","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Basement 2","Walls"
"6df70844-3e06-4c44-946f-b9286517cee7","","checklist-flat","not-started","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Basement 2","Slab"
"0b37c381-d526-47b9-a55e-4bfe49fc4290","","checklist-sectioned","not-started","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Basement 2","Stairs"
"6cf647c2-d576-4f41-ab99-84dc46da5356","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","B-1"
"fcb0691e-bbbc-45e7-8cec-3023abf203ee","","checklist-flat","not-started","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","B-1","Columns"
"03485a20-7ebf-4387-a039-2439aef78179","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","B-1","Walls"
"d7d04f32-0e95-4757-9608-d3f9057735ad","","checklist-sectioned","work-in-progress","zSYS - Jump System / Climb Track Checklist (old version)","checklist","FALSE","FALSE","Site QA","B-1","System"
"5a4237f3-aa43-4317-b0cf-87f663767a3b","","checklist-flat","work-in-progress","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","B-1","Slab"
"13f1cca8-65cc-4823-a2db-75640537821e","","checklist-sectioned","work-in-progress","Stairs Checklist","checklist","FALSE","FALSE","Site QA","B-1","Stairs"
"e6acdc2d-ea6b-428e-b11d-c820162fe614","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Ground"
"ae6dd927-3e26-49b1-b4fd-a7b3c0153e22","","checklist-flat","not-started","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Ground","Columns"
"13760643-9957-4b19-9985-d894b4dd0bc9","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Ground","Walls"
"482741d1-8b0f-48e6-83ca-3f3b9a36ebe3","","checklist-sectioned","work-in-progress","zSYS - Jump System / Climb Track Checklist (old version)","checklist","FALSE","FALSE","Site QA","Ground","System"
"49be0a68-6f07-4354-b211-ed1653c51915","","checklist-flat","not-started","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Ground","Slab"
"9b86c7e6-ef07-4d89-937c-33cc9d797068","","checklist-sectioned","not-started","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Ground","Stairs"
"576906f9-102d-491e-b577-f0aed6b7ecd5","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Mezz Level"
"e9aa980a-6cd8-43f4-aade-7a65f688a36e","","checklist-flat","not-started","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Mezz Level","Columns"
"4c5e78d7-3795-47c3-9417-37b26c5ff45c","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Mezz Level","Walls"
"fc055ef9-d9fe-48e4-a8d4-358bdbd1ee00","","checklist-flat","work-in-progress","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Mezz Level","Slab"
"7c6ba440-f3f4-4a9b-95fb-d486feae4a48","","checklist-sectioned","not-started","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Mezz Level","Stairs"
"72da4d3f-64a2-4823-ad47-cc62896e51e9","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 1"
"0b57188f-1c5a-4b10-940e-97f9b80dc8ad","","checklist-flat","not-started","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 1","Columns"
"54496f3b-b522-4757-90b8-4ab87767fa69","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 1","Walls"
"9094a7f4-44db-4840-9d92-8004209bf35e","","checklist-flat","not-started","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 1","Slab"
"1ddd06a5-414a-4f05-a220-cb5c1b0fbc99","","checklist-sectioned","not-started","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 1","Stairs"
"2aff70d4-32f8-4c92-b500-10dd928e8d42","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 2"
"d75c0adc-7991-4c1e-a690-457f1b7675e2","","checklist-flat","not-started","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 2","Columns"
"dcbfdaa9-ad87-421a-a37f-8e7c99cc7399","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 2","Walls"
"d11648ee-1956-410f-9a5d-7d8c1b1d0b29","","checklist-flat","not-started","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 2","Slab"
"a23366b2-dee8-4b1d-98d5-1302976a5280","","checklist-sectioned","not-started","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 2","Stairs"
"1f07ecf2-ea3d-4df4-8312-5d3345d3adab","","checklist-sectioned","not-started","Screens","checklist","FALSE","FALSE","Site QA","Level 2","Screens"
"50f917ac-bb83-4268-9257-806da757e16f","","checklist-sectioned","not-started","Hoist","checklist","FALSE","FALSE","Site QA","Level 2","Hoist"
"09be000b-f112-42a8-bb93-bbe25f371947","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 3"
"d2736e1d-2d94-407c-8029-e991824df30c","","checklist-flat","not-started","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 3","Columns"
"190b10b0-e97c-4ca5-9f47-d7869f98a48f","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 3","Walls"
"ffb74b57-9d6a-45fc-a2ed-1983a0631301","","checklist-flat","not-started","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 3","Slab"
"f3c17c62-bce6-4d11-80e1-b1e3129d9a27","","checklist-sectioned","not-started","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 3","Stairs"
"fd00d335-d1a2-4e94-bf11-d1f8fae75b2b","","checklist-sectioned","not-started","Screens","checklist","FALSE","FALSE","Site QA","Level 3","Screens"
"6eefb632-c0c0-4e42-9e04-fc3fb6a28544","","checklist-sectioned","not-started","Hoist","checklist","FALSE","FALSE","Site QA","Level 3","Hoist"
"9c9d2709-6ecc-4bf0-b6f5-b2e1a6ddea05","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 4"
"513ae692-ff8f-413a-b0c1-66ec47746b17","","checklist-flat","not-started","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 4","Columns"
"1bc7a37f-c53d-4d5b-95f5-d4ce658d3374","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 4","Walls"
"a0d76c23-a20c-4770-8e52-67649334d271","","checklist-flat","not-started","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 4","Slab"
