"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"0df51446-ccbe-4182-b500-5a074ef3046e","","folder-normal","work-in-progress","","step","TRUE","FALSE","B02"
"bd0b6218-0573-4f37-b365-3c1d25a28f67","","folder-normal","not-started","","step","TRUE","FALSE","B02","Basement"
"c2538887-a5d3-413f-bb3d-5b5a0e6927f1","","folder-normal","not-started","","step","TRUE","FALSE","B02","Basement","AREA A"
"d7ecfdf3-b1ea-4e3e-8934-884aa91544e2","","folder-normal","not-started","","step","TRUE","FALSE","B02","Basement","AREA A","STAIR 3"
"89dba342-ff0c-4ae1-aaf2-ce775729320b","","checklist-flat","not-started","Rough In (PMJ Only)","checklist-flat","FALSE","FALSE","B02","Basement","AREA A","STAIR 3","Rough In (PMJ Only)"
"dfc42e3b-e4c9-4f7c-bf3e-e274672469fc","","checklist-flat","not-started","Fit Off","checklist-flat","FALSE","FALSE","B02","Basement","AREA A","STAIR 3","Fit Off"
"b25e2afd-69c4-414c-807c-72b67c2fb6cb","","checklist-flat","not-started","7c5dcfbb84cc8ee6e533f46417beb5d2658ec46dd133f664d5d96c2bdd736d4b","checklist-flat","FALSE","FALSE","B02","Basement","AREA A","STAIR 3","Installation"
"5c7a8ba1-a686-4453-8294-dce01311a9a8","","checklist-flat","not-started","Handover","checklist-flat","FALSE","FALSE","B02","Basement","AREA A","STAIR 3","Handover"
"c773fb64-22c6-4285-8d9c-35071fd127ac","","folder-normal","not-started","","step","TRUE","FALSE","B02","Basement","AREA A","WATER METER ROOM"
"e8d01c81-b842-4093-b74d-75c312fa862b","","checklist-flat","not-started","Rough In (PMJ Only)","checklist-flat","FALSE","FALSE","B02","Basement","AREA A","WATER METER ROOM","Rough In (PMJ Only)"
"53852e1d-6a57-4cf4-afd0-6bee132e3f09","","checklist-flat","not-started","Fit Off","checklist-flat","FALSE","FALSE","B02","Basement","AREA A","WATER METER ROOM","Fit Off"
"8f93906a-7c4b-4374-9b61-a96cdbc6356e","","checklist-flat","not-started","7c5dcfbb84cc8ee6e533f46417beb5d2658ec46dd133f664d5d96c2bdd736d4b","checklist-flat","FALSE","FALSE","B02","Basement","AREA A","WATER METER ROOM","Installation"
"2f170384-69a5-4f53-89eb-bd5a7abc9be7","","checklist-flat","not-started","Handover","checklist-flat","FALSE","FALSE","B02","Basement","AREA A","WATER METER ROOM","Handover"
"f054dc23-a7e2-4f5c-bdc7-e57c40e2150c","","folder-normal","not-started","","step","TRUE","FALSE","B02","Basement","AREA B"
"693878ee-fda5-49d5-a924-503a2c2e0f11","","folder-normal","not-started","","step","TRUE","FALSE","B02","Basement","AREA B","DETENTION TANK"
"91704355-3879-42bc-ba10-3b28033aca3a","","checklist-flat","not-started","Rough In (Cavity Pockets Only)","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","DETENTION TANK","Rough In (Cavity Pockets Only)"
"82943609-4864-4dd4-ad18-261cd944443b","","checklist-flat","not-started","Fit Off","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","DETENTION TANK","Fit Off"
"2193856e-f0fb-4f9b-ad42-1de9809d0d13","","checklist-flat","not-started","7c5dcfbb84cc8ee6e533f46417beb5d2658ec46dd133f664d5d96c2bdd736d4b","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","DETENTION TANK","Installation"
"c2959cb6-745e-4d48-a624-5dae8b00ebd1","","checklist-flat","not-started","Handover","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","DETENTION TANK","Handover"
"b2e7cd0d-6dc9-4b51-9324-059008cf85f9","","folder-normal","not-started","","step","TRUE","FALSE","B02","Basement","AREA B","KITCHEN"
"94e311d8-db4a-4efb-8d2b-428e35e25038","","checklist-flat","not-started","Rough In (Cavity Pockets Only)","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","KITCHEN","Rough In (Cavity Pockets Only)"
"ba878816-74c6-418f-a86b-5791fe19d40a","","checklist-flat","not-started","Fit Off","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","KITCHEN","Fit Off"
"9e318184-f0a1-479b-8a99-bbe493cd65d1","","checklist-flat","not-started","7c5dcfbb84cc8ee6e533f46417beb5d2658ec46dd133f664d5d96c2bdd736d4b","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","KITCHEN","Installation"
"797dd64f-010d-42b2-8ea0-43f6dcf1f6ef","","checklist-flat","not-started","Handover","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","KITCHEN","Handover"
"3bb40240-139b-4f01-9a7e-9eed5407e068","","folder-normal","not-started","","step","TRUE","FALSE","B02","Basement","AREA B","PANTRY"
"e7af8bb1-0db7-4f65-bf35-2de439d709ba","","checklist-flat","not-started","Rough In (Cavity Pockets Only)","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","PANTRY","Rough In (Cavity Pockets Only)"
"e297f53b-718e-404b-88fc-d5452a6c5dc5","","checklist-flat","not-started","Fit Off","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","PANTRY","Fit Off"
"79eeea72-57b2-409d-b16b-1b0458019d0f","","checklist-flat","not-started","7c5dcfbb84cc8ee6e533f46417beb5d2658ec46dd133f664d5d96c2bdd736d4b","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","PANTRY","Installation"
"ca463371-4702-4b09-bebc-d45332cc48fb","","checklist-flat","not-started","Handover","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","PANTRY","Handover"
"c4a313d8-91e7-4156-8da6-583bbe9759dd","","folder-normal","not-started","","step","TRUE","FALSE","B02","Basement","AREA B","LAUNDRY - DIRTY"
"cc57895b-349a-4364-a71e-63032f222ec4","","checklist-flat","not-started","Rough In (Cavity Pockets Only)","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","LAUNDRY - DIRTY","Rough In (Cavity Pockets Only)"
"86363d98-c2e9-4236-8caf-a3e5fdb52bab","","checklist-flat","not-started","Fit Off","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","LAUNDRY - DIRTY","Fit Off"
"6397ebfc-d6bf-44c1-a7b8-aaea32308bbf","","checklist-flat","not-started","7c5dcfbb84cc8ee6e533f46417beb5d2658ec46dd133f664d5d96c2bdd736d4b","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","LAUNDRY - DIRTY","Installation"
"b0605418-e538-4768-b895-28a2a11b4bcf","","checklist-flat","not-started","Handover","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","LAUNDRY - DIRTY","Handover"
"ab12b5f0-a7d0-43e4-acd0-dcd961a1bcd5","","folder-normal","not-started","","step","TRUE","FALSE","B02","Basement","AREA B","CLEAN"
"7d80ffd2-9990-44f9-8a40-e5ce8d9515e5","","checklist-flat","not-started","Rough In (Cavity Pockets Only)","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","CLEAN","Rough In (Cavity Pockets Only)"
"0e9034dd-c8ba-4a3e-a04d-d61df31c8687","","checklist-flat","not-started","Fit Off","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","CLEAN","Fit Off"
"8f416022-acda-4407-9f88-ee94760baa54","","checklist-flat","not-started","7c5dcfbb84cc8ee6e533f46417beb5d2658ec46dd133f664d5d96c2bdd736d4b","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","CLEAN","Installation"
"fae34c33-8027-44c4-9249-274b1c8adf96","","checklist-flat","not-started","Handover","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","CLEAN","Handover"
