"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"78513a7e-4171-41aa-be68-a0795577b93a","","pass","","folder","TRUE","FALSE","ITP-001 - Clearing and Grubbing"
"63431b09-1595-4846-91bf-a5506456ba50","","pass","FHC-ITP-001 - Clearing and Grubbing","checklist","FALSE","FALSE","ITP-001 - Clearing and Grubbing","708-0243 - Clearing and Grubbing - FHC-ITP-001-01"
"69db65f8-1c7a-47ee-b454-69e2c66e4f53","","pass","FHC-ITP-001 - Clearing and Grubbing","checklist","FALSE","FALSE","ITP-001 - Clearing and Grubbing","708-0244 - Clearing and Grubbing - FHC-ITP-001-02"
"7327f83c-4f3e-4153-b333-9714658066c3","","pass","FHC-ITP-001 - Clearing and Grubbing","checklist","FALSE","FALSE","ITP-001 - Clearing and Grubbing","708-0245 - Clearing and Grubbing - FHC-ITP-001-03"
"20dab242-c21a-4172-ba30-16af874d4311","","pass","","folder","TRUE","FALSE","ITP-002 - Stripping Topsoil"
"3d0890c1-93df-4143-84a2-1bc77b76ae76","","pass","FHC-ITP-002 - Stripping Topsoil & Topsoil Placement","checklist","FALSE","FALSE","ITP-002 - Stripping Topsoil","708-0212 - Stripping - FHC-ITP-002-01"
"a55b084f-a0be-402a-babb-184293296ec7","","pass","FHC-ITP-002 - Stripping Topsoil & Topsoil Placement","checklist","FALSE","FALSE","ITP-002 - Stripping Topsoil","708-0213 - Stripping - FHC-ITP-002-02"
"cc85fe92-b206-45d4-8bc4-25626a2c56a2","","pass","FHC-ITP-002 - Stripping Topsoil & Topsoil Placement","checklist","FALSE","FALSE","ITP-002 - Stripping Topsoil","708-0214 - Stripping - FHC-ITP-002-03"
"d4e3365f-c0e2-4615-826d-3e3f2edc09b9","","pass","","folder","TRUE","FALSE","ITP-003 - Subgrade Preparation"
"33e697a6-811d-40ec-a1da-40d277adbcd5","","pass","FHC-ITP-003 - Subgrade Preparation","checklist","FALSE","FALSE","ITP-003 - Subgrade Preparation","708-0240 - Sub-grade Preparation - South East Carpark - FHC-ITP-003-01"
"c37d0838-1141-44f7-8d35-5ac838e2ad4d","","pass","FHC-ITP-003 - Subgrade Preparation","checklist","FALSE","FALSE","ITP-003 - Subgrade Preparation","708-0241 - Sub-grade Preparation - South East Carpark - FHC-ITP-003-02"
