Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,
Overall Progress,,,,,,
,Scope,,,,,
,Rows,,,,,
,,Deck Type - B - Type B1 - B1-2 26/8,,type b1,b1-2 26/8,deck type - b
,,Deck Type - B - Type B1 - B1-3 26/8,,type b1,deck type - b,b1-3 26/8
,,Deck Type - B - Type B1 - B1-4 29/8,,type b1,deck type - b,b1-4 29/8
,,Deck Type - B - Type B1 - B1-5 29/ 8,,type b1,b1-5 29/ 8,deck type - b
,,Deck Type - B - Type B1 - B1-6 30/8,,type b1,deck type - b,b1-6 30/8
,,Deck Type - B - Type B1 - B1-7 30/8,,type b1,b1-7 30/8,deck type - b
,,Deck Type - B - Type B1 - B1-8 31/8,,type b1,deck type - b,b1-8 31/8
,,Deck Type - B - Type B1 - B1-9 01/09,,type b1,deck type - b,b1-9 01/09
,,Deck Type - B - Type B1 - B1-10 01/09,,type b1,deck type - b,b1-10 01/09
,,Deck Type - B - Type B1 - B1-11 02-09,,type b1,deck type - b,b1-11 02-09
,,Deck Type - B - Type B1 - B1-12 02/09,,type b1,deck type - b,b1-12 02/09
,,Deck Type - B - Type B1 - B1-13 5/9,,type b1,b1-13 5/9,deck type - b
,,Deck Type - B - Type B1 - B1-14 5/9,,type b1,deck type - b,b1-14 5/9
,,Deck Type - B - Type B1 - B1-15 6/9,,type b1,deck type - b,b1-15 6/9
,,Deck Type - B - Type B1 - B1-16 6/9,,type b1,deck type - b,b1-16 6/9
,,Deck Type - B - Type B1 - B1-17 7/9,,type b1,deck type - b,b1-17 7/9
,,Deck Type - B - Type B1 - B1-18 7/9,,type b1,b1-18 7/9,deck type - b
,,Deck Type - B - Type B1 - B1-19 8/9,,type b1,b1-19 8/9,deck type - b
,,Deck Type - B - Type B1 - B1-20 8/9,,type b1,b1-20 8/9,deck type - b
,,Deck Type - B - Type B1 - B1-21 9/9,,type b1,b1-21 9/9,deck type - b
,,Deck Type - B - Type B1 - B1-22 9/9,,type b1,deck type - b,b1-22 9/9
,,Deck Type - B - Type B1 - B1-23 12/9,,type b1,b1-23 12/9,deck type - b
,,Deck Type - B - Type B1 - B1-24 12/9,,type b1,deck type - b,b1-24 12/9
,,Deck Type - B - Type B1 - B1-25 13/9,,type b1,deck type - b,b1-25 13/9
,,Deck Type - B - Type B1 - B1-26 13/9,,type b1,b1-26 13/9,deck type - b
,,Deck Type - B - Type B1 - B1-27 14/9,,type b1,deck type - b,b1-27 14/9
,,Deck Type - B - Type B1 - B1-28 14/9,,type b1,deck type - b,b1-28 14/9
,,Deck Type - B - Type B1 - B1-29 15/9,,type b1,b1-29 15/9,deck type - b
,,Deck Type - B - Type B1 - B1-30 15/9,,type b1,b1-30 15/9,deck type - b
,,Deck Type - B - Type B1 - B1-31 16/9,,type b1,deck type - b,b1-31 16/9
,,Deck Type - B - Type B1 - B1-32 16/9,,type b1,deck type - b,b1-32 16/9
,,Deck Type - B - Type B1 - B1-33 19/9,,type b1,deck type - b,b1-33 19/9
,,Deck Type - B - Type B1 - B1-34 19/9,,type b1,b1-34 19/9,deck type - b
,,Deck Type - B - Type B1 - B1-35 20/9,,type b1,b1-35 20/9,deck type - b
,,Deck Type - B - Type B1 - B1-36 20/9,,type b1,deck type - b,b1-36 20/9
,,Deck Type - B - Type B1 - B1-37 21/9,,type b1,deck type - b,b1-37 21/9
,,Deck Type - B - Type B1 - B1-38 21/9,,type b1,deck type - b,b1-38 21/9
,,Deck Type - B - Type B1 - B1-39 22/9,,type b1,deck type - b,b1-39 22/9
,,Deck Type - B - Type B1 - B1-40 22/9,,type b1,deck type - b,b1-40 22/9
,,Deck Type - B - Type B1 - B1-41 23/9,,type b1,deck type - b,b1-41 23/9
