Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,,
AE-ITCX-015 - Mandatory testing (House/Common area - G),,,,,,,,
,Scope,,,Appselec - Site QA,House/Common area,,,
,Rows,,,,,,,
,,DSB-G,dynamic,Appselec - Site QA,House/Common area,Distribution boards and sub-circuits,DSB-G,AE-ITCX-015 - Mandatory testing
,Columns,,,,,,,
,,Distribution board/T.O.B/Meter panel/Main Switchboard,,Distribution board/T.O.B/Meter panel/Main Switchboard,,,,
,,Meter Panel Info,Meter Panel Info,Distribution board/T.O.B/Meter panel/Main Switchboard,,,,
,,Drawing & Revision #,Drawing & Revision #,Distribution board/T.O.B/Meter panel/Main Switchboard,,,,
,,Distribution Board - Circuit No.,,Distribution Board - Circuit No.,,,,
,,Type (1),Type,Distribution Board - Circuit No.,,,,
,,Type - Other (1),Other (Specify here),Distribution Board - Circuit No.,,,,
,,Type (2),Type,Distribution Board - Circuit No.,,,,
,,Type - Other (2),Other (Specify here),Distribution Board - Circuit No.,,,,
,,RCD/RCBO mA,RCD/RCBO mA,Distribution Board - Circuit No.,,,,
,,RCD/RCBO mA - Other,Other (Specify here),Distribution Board - Circuit No.,,,,
,,Rating in (A),Rating in (A),Distribution Board - Circuit No.,,,,
,,Rating in (A) - Other,Other (Specify here),Distribution Board - Circuit No.,,,,
,,Cable size (mm2),Cable size (mm2),Distribution Board - Circuit No.,,,,
,,Phase Qty,Phase Qty,Distribution Board - Circuit No.,,,,
,,Visual Inspection,,Visual Inspection,,,,
,,Earth Continuity,,Earth Continuity,,,,
,,Polarity,,Polarity,,,,
,,Earth loop impedance,,Earth loop impedance,,,,
,,Correct circuit connections,,Correct circuit connections,,,,
,,L1 - N (Measurement) >1M? is a Pass,,L1 - N (Measurement) >1M? is a Pass,,,,
,,L1 - E (Measurement) >1M? is a Pass,,L1 - E (Measurement) >1M? is a Pass,,,,
,,N - E (Measurement MEN disconnected) >1M? is a Pass,,N - E (Measurement MEN disconnected) >1M? is a Pass,,,,
,,RCD Testing,,RCD Testing,,,,
,,Commissioning Completed to spec./drawings,,Commissioning Completed to specification/drawings - Area left clean & tidy,,,,
,,Name of A-Grade Electrician,Name of A-Grade Electrician,Commissioning Completed to specification/drawings - Area left clean & tidy,,,,
,,Name of A-Grade Electrician - Other,Other (Specify here),Commissioning Completed to specification/drawings - Area left clean & tidy,,,,
,,,,,,,,
AE-ITCX-015 - Mandatory testing (House/Common area - L3-L9),,,,,,,,
,Scope,,,Appselec - Site QA,House/Common area,,,
,Rows,,,,,,,
,,DSB-L3,dynamic,Appselec - Site QA,House/Common area,Distribution boards and sub-circuits,DSB-L3,AE-ITCX-015 - Mandatory testing
,,DSB-L6,dynamic,Appselec - Site QA,House/Common area,Distribution boards and sub-circuits,DSB-L6,AE-ITCX-015 - Mandatory testing
,,DSB-L9,dynamic,Appselec - Site QA,House/Common area,Distribution boards and sub-circuits,DSB-L9,AE-ITCX-015 - Mandatory testing
,Columns,,,,,,,
,,Distribution board/T.O.B/Meter panel/Main Switchboard,,Distribution board/T.O.B/Meter panel/Main Switchboard,,,,
,,Meter Panel Info,Meter Panel Info,Distribution board/T.O.B/Meter panel/Main Switchboard,,,,
,,Drawing & Revision #,Drawing & Revision #,Distribution board/T.O.B/Meter panel/Main Switchboard,,,,
,,Distribution Board - Circuit No.,,Distribution Board - Circuit No.,,,,
,,Type (1),Type,Distribution Board - Circuit No.,,,,
,,Type - Other (1),Other (Specify here),Distribution Board - Circuit No.,,,,
,,Type (2),Type,Distribution Board - Circuit No.,,,,
,,Type - Other (2),Other (Specify here),Distribution Board - Circuit No.,,,,
,,RCD/RCBO mA,RCD/RCBO mA,Distribution Board - Circuit No.,,,,
,,RCD/RCBO mA - Other,Other (Specify here),Distribution Board - Circuit No.,,,,
,,Rating in (A),Rating in (A),Distribution Board - Circuit No.,,,,
,,Rating in (A) - Other,Other (Specify here),Distribution Board - Circuit No.,,,,
,,Cable size (mm2),Cable size (mm2),Distribution Board - Circuit No.,,,,
,,Phase Qty,Phase Qty,Distribution Board - Circuit No.,,,,
,,Visual Inspection,,Visual Inspection,,,,
,,Earth Continuity,,Earth Continuity,,,,
,,Polarity,,Polarity,,,,
,,Earth loop impedance,,Earth loop impedance,,,,
,,Correct circuit connections,,Correct circuit connections,,,,
,,L1 - N (Measurement) >1M? is a Pass,,L1 - N (Measurement) >1M? is a Pass,,,,
,,L1 - E (Measurement) >1M? is a Pass,,L1 - E (Measurement) >1M? is a Pass,,,,
,,N - E (Measurement MEN disconnected) >1M? is a Pass,,N - E (Measurement MEN disconnected) >1M? is a Pass,,,,
,,RCD Testing,,RCD Testing,,,,
,,Commissioning Completed to spec./drawings,,Commissioning Completed to specification/drawings - Area left clean & tidy,,,,
,,Name of A-Grade Electrician,Name of A-Grade Electrician,Commissioning Completed to specification/drawings - Area left clean & tidy,,,,
,,Name of A-Grade Electrician - Other,Other (Specify here),Commissioning Completed to specification/drawings - Area left clean & tidy,,,,
,,,,,,,,
AE-ITCX-015 - Mandatory testing (House/Common area - L11-L19),,,,,,,,
,Scope,,,Appselec - Site QA,House/Common area,,,
,Rows,,,,,,,
,,DSB-L11,dynamic,Appselec - Site QA,House/Common area,Distribution boards and sub-circuits,DSB-L11,AE-ITCX-015 - Mandatory testing
