"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"341bca5c-be39-41e1-8f0e-bd8d649a471f","","folder-normal","","","step","TRUE","FALSE","Site QA"
"42922ee4-3d83-4635-831d-22d798a1656b","","folder-normal","","","step","TRUE","FALSE","Site QA","SOG B-4"
"fd663a5d-b7b3-47a5-a569-ca6bc9a73679","","folder-normal","","","step","TRUE","FALSE","Site QA","Basement 2"
"c3b9279c-c641-47e8-b5e9-cb52a08ddce0","","checklist-flat","","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Basement 2","Suspended Slab Checklist B2 bracing slab BOS-ITP-STR-B02 0002"
"92e51168-05b1-4aad-83f7-feed1f39524f","","folder-normal","","","step","TRUE","FALSE","Site QA","B-1"
"0241897b-ea01-447c-b734-32e8f39fc49a","","checklist-flat","","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","B-1","Suspended Slab Checklist SLAB-POUR-1-Bos-itp-STR-B01-0001"
"6b48fca0-7b96-423e-a3af-fd555cbc40b5","","folder-normal","","","step","TRUE","FALSE","Site QA","Ground"
"1708124c-64fd-4754-a961-1f9f98c2c35d","","checklist-flat","","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Ground","Columns"
"679d6607-37b0-4a7b-9799-35c46f7af9ab","","checklist-flat","","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Ground","Walls"
"fb26ea77-ec72-4714-b314-9a3a0b9733d7","","checklist-sectioned","","Jump System / Climb Track Checklist","checklist","FALSE","FALSE","Site QA","Ground","Jump System / Climb Track Checklist"
"db726a68-d341-480f-9ac1-f32f2eb401b4","","checklist-flat","","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Ground","Slab"
"39598c54-daf9-4ad1-88b1-7f3d47997ca5","","checklist-sectioned","","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Ground","Stairs"
"8abeae33-4735-40cd-bf77-fdaf1a942c56","","folder-normal","","","step","TRUE","FALSE","Site QA","Level 1"
"7e4cd335-4a5b-45b2-9a73-395b80177120","","checklist-flat","","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 1","Columns"
"a8e595d2-3820-4e38-b95c-a6bca55cea70","","checklist-flat","","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 1","Walls"
"fa8015c3-96b3-4405-bf80-7a645e1706eb","","checklist-sectioned","","Jump System / Climb Track Checklist","checklist","FALSE","FALSE","Site QA","Level 1","Jump System / Climb Track Checklist"
"329649a1-1ad5-4b52-80df-28bde29a57e1","","checklist-flat","","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 1","Slab"
"0e8e1555-f83a-4cea-83ca-fda06ac954a2","","checklist-sectioned","","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 1","Stairs"
"ccb88335-4f99-48bf-9fa8-eabfca07a29a","","folder-normal","","","step","TRUE","FALSE","Site QA","Level 2"
"a1e3e766-54dc-4be4-8070-3944bafc65af","","checklist-flat","","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 2","Columns"
"aa753202-a8f6-45f0-a966-39c9e6918f2d","","checklist-flat","","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 2","Walls"
"7b34e2cc-c2f9-454e-bdb1-f096cef7b10b","","checklist-sectioned","","Jump System / Climb Track Checklist","checklist","FALSE","FALSE","Site QA","Level 2","Jump System / Climb Track Checklist"
"e4769179-15fe-4512-a357-9497eeb40b6f","","checklist-flat","","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 2","Slab"
"34787d5b-873d-4075-bba1-e94da1cd2ed2","","checklist-sectioned","","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 2","Stairs"
"589eef01-5ac1-4a70-b6a3-934d792ac548","","folder-normal","","","step","TRUE","FALSE","Site QA","Level 3"
"91d311a5-4e6e-4e25-a3a8-0527f9ae0a4e","","checklist-flat","","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 3","Columns"
"ccd6ac89-32bd-4684-af18-dc5eaf0d4428","","checklist-flat","","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 3","Walls"
"eee3181b-59d8-4ab1-8b34-226747f3edde","","checklist-sectioned","","Jump System / Climb Track Checklist","checklist","FALSE","FALSE","Site QA","Level 3","Jump System / Climb Track Checklist"
"2466deea-6632-4527-8f43-5789c0aa5485","","checklist-flat","","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 3","Slab"
"33a69a68-5fdf-45f2-81a0-65f70f1e6cf4","","checklist-sectioned","","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 3","Stairs"
"0bce7930-09fc-40b7-bf69-668b160efac5","","folder-normal","","","step","TRUE","FALSE","Site QA","Level 4"
"a8e90e49-6b09-42f5-a12a-e638a88be349","","checklist-flat","","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 4","Columns"
"45d505a4-aa6a-487b-87e9-0fd9afb6fdf2","","checklist-flat","","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 4","Walls"
"81733c44-5450-4cb8-bf00-7e24d14bd568","","checklist-sectioned","","Jump System / Climb Track Checklist","checklist","FALSE","FALSE","Site QA","Level 4","Jump System / Climb Track Checklist"
"80ea7cf2-7192-4da0-9b79-6da35c935f4c","","checklist-flat","","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 4","Slab"
"730403ec-9b60-4d32-a1d2-c10a5222088d","","checklist-sectioned","","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 4","Stairs"
"11e2be61-ccc8-4ff2-9af6-00075942b34e","","checklist-sectioned","","Screens","checklist","FALSE","FALSE","Site QA","Level 4","Screens"
"bb852847-ff3a-467d-a2de-bbd43fa5834f","","checklist-sectioned","","Hoist","checklist","FALSE","FALSE","Site QA","Level 4","Hoist"
"3ffc60e8-1db5-4c5b-9cd5-0cbfecb35db6","","folder-normal","","","step","TRUE","FALSE","Site QA","Level 5"
"5924278d-98dd-4209-a7a2-f25832d183f6","","checklist-flat","","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 5","Columns"
"aa6b8aa6-65aa-42d0-9bd0-f4ec60a86407","","checklist-flat","","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 5","Walls"
"c35da4a7-aa03-43e9-ae34-330f9caa2c15","","checklist-sectioned","","Jump System / Climb Track Checklist","checklist","FALSE","FALSE","Site QA","Level 5","Jump System / Climb Track Checklist"
"887d1333-153a-40cb-a3c8-bd6f2fd75e6a","","checklist-flat","","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 5","Slab"
"3a0f96ec-b327-462b-b1a7-24b22041241f","","checklist-sectioned","","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 5","Stairs"
"db0db358-9804-4f59-a779-c7540f9e5a51","","checklist-sectioned","","Screens","checklist","FALSE","FALSE","Site QA","Level 5","Screens"
"361c68bc-505b-4ef4-8665-83be332fd291","","checklist-sectioned","","Hoist","checklist","FALSE","FALSE","Site QA","Level 5","Hoist"
"3f81e3bb-a36d-487f-bed0-91f1db069613","","folder-normal","","","step","TRUE","FALSE","Site QA","Level 6"
"85406bee-fa0e-4e6b-9f9d-d534b9780542","","checklist-flat","","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 6","Columns"
"f2dc1ba9-c35b-4f85-8071-89888fd83e14","","checklist-flat","","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 6","Walls"
"28ffc2cb-7c52-4273-a9cc-8e56e1191908","","checklist-sectioned","","Jump System / Climb Track Checklist","checklist","FALSE","FALSE","Site QA","Level 6","Jump System / Climb Track Checklist"
"c8d76082-54e7-4fb7-9cf1-bc9cf1d3d433","","checklist-flat","","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 6","Slab"
"fa4c5650-b1a5-42bc-be05-d3ffc266c033","","checklist-sectioned","","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 6","Stairs"
"e896d1bc-7e9b-4097-8653-ccbeb24a6cc2","","checklist-sectioned","","Screens","checklist","FALSE","FALSE","Site QA","Level 6","Screens"
"a419512b-3fc7-4c32-8e5d-740e1c6af076","","checklist-sectioned","","Hoist","checklist","FALSE","FALSE","Site QA","Level 6","Hoist"
"e1a9c983-f06b-45ac-9f0c-cff94214f408","","folder-normal","","","step","TRUE","FALSE","Site QA","Level 7"
"e4889bba-bd97-46c2-b21c-09590ac471b2","","checklist-flat","","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 7","Columns"
"7186ad0f-e7ae-45b3-9c7e-f998f36ac90a","","checklist-flat","","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 7","Walls"
"712296c2-eb16-4776-937e-ac5210d07f4b","","checklist-sectioned","","Jump System / Climb Track Checklist","checklist","FALSE","FALSE","Site QA","Level 7","Jump System / Climb Track Checklist"
"b1033b35-402f-4b5c-8db0-96b962e1f179","","checklist-flat","","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 7","Slab"
"1d3db0b2-c3b8-4f48-93dc-8072aa434e7b","","checklist-sectioned","","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 7","Stairs"
"e8ab5713-29ab-44d1-b2a1-caf335e8e61e","","checklist-sectioned","","Screens","checklist","FALSE","FALSE","Site QA","Level 7","Screens"
"d6c8206f-ed2d-42c1-acad-83da423c6a99","","checklist-sectioned","","Hoist","checklist","FALSE","FALSE","Site QA","Level 7","Hoist"
"35078352-70c3-48d2-99e9-0b57aa14b059","","folder-normal","","","step","TRUE","FALSE","Site QA","Level 8"
"9b200d35-7823-4d35-871c-0d06438e691b","","checklist-flat","","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 8","Columns"
"50839b49-f941-4089-81d1-75f38fcb0726","","checklist-flat","","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 8","Walls"
"d64f1470-4afe-4af2-9ac0-99ccb7fd3e96","","checklist-sectioned","","Jump System / Climb Track Checklist","checklist","FALSE","FALSE","Site QA","Level 8","Jump System / Climb Track Checklist"
"b0eff215-052a-4740-b082-21989683e2b1","","checklist-flat","","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 8","Slab"
"bab13266-4468-4ec3-b4a9-af03eb53204d","","checklist-sectioned","","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 8","Stairs"
"0ed6d2ef-6f3c-4346-922c-abec0866b4e0","","checklist-sectioned","","Screens","checklist","FALSE","FALSE","Site QA","Level 8","Screens"
"b4b31235-d707-4a7e-9c1b-aef755116b5f","","checklist-sectioned","","Hoist","checklist","FALSE","FALSE","Site QA","Level 8","Hoist"
"473139a1-28ea-49a1-aa43-90f828c448d2","","folder-normal","","","step","TRUE","FALSE","Site QA","Level 9"
"66fe4d98-1ee6-452b-a566-ed947561eca2","","checklist-flat","","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 9","Columns"
"707ecc06-5757-4469-9b10-40d2319839ea","","checklist-flat","","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 9","Walls"
"58ddd1ed-b061-412c-9ab2-cf12014644d7","","checklist-sectioned","","Jump System / Climb Track Checklist","checklist","FALSE","FALSE","Site QA","Level 9","Jump System / Climb Track Checklist"
"19913201-9d8d-41f5-b341-f8062fca3205","","checklist-flat","","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 9","Slab"
"5d05d376-42ec-45a3-b98e-704d308db8d3","","checklist-sectioned","","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 9","Stairs"
"b4038426-7df3-44a1-b3ba-b4c861456134","","checklist-sectioned","","Screens","checklist","FALSE","FALSE","Site QA","Level 9","Screens"
"56604ce2-64a9-4c6e-b438-9887256c473d","","checklist-sectioned","","Hoist","checklist","FALSE","FALSE","Site QA","Level 9","Hoist"
"a92ffc23-d488-42d9-82d3-e6304064db1a","","folder-normal","","","step","TRUE","FALSE","Site QA","Level 10"
"211dceae-38ee-4eaf-8352-8cf0ed8312c1","","checklist-flat","","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 10","Columns"
"093e49be-e063-4ce7-a8be-cb308753f2bf","","checklist-flat","","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 10","Walls"
"bfda1fd2-629f-4274-b89c-e012930e4e94","","checklist-sectioned","","Jump System / Climb Track Checklist","checklist","FALSE","FALSE","Site QA","Level 10","Jump System / Climb Track Checklist"
"85630442-20d5-41b3-839d-8f5c0f8a6b25","","checklist-flat","","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 10","Slab"
"de940f37-c2d5-4663-9e21-ff46fdc8391c","","checklist-sectioned","","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 10","Stairs"
"f6b50ff0-2f23-4f5e-a3ec-037266050785","","checklist-sectioned","","Screens","checklist","FALSE","FALSE","Site QA","Level 10","Screens"
"785470e6-8d5a-429a-82b5-ebc92c427b11","","checklist-sectioned","","Hoist","checklist","FALSE","FALSE","Site QA","Level 10","Hoist"
"c35a11a7-bcf2-4ba5-90f9-25449f8ce175","","folder-normal","","","step","TRUE","FALSE","Site QA","Level 11"
"ed746a07-ad9b-4eac-b0a0-846c03029af9","","checklist-flat","","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 11","Columns"
"68af10ea-9882-40c4-8c77-305eb3c85149","","checklist-flat","","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 11","Walls"
"a32723a3-cf9e-45de-9475-ff00f5d84f2c","","checklist-sectioned","","Jump System / Climb Track Checklist","checklist","FALSE","FALSE","Site QA","Level 11","Jump System / Climb Track Checklist"
"2f548d6a-8a3e-4cc0-a545-923911d5f920","","checklist-flat","","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 11","Slab"
"ecb2f520-babe-4b66-a526-9e0cb51c170b","","checklist-sectioned","","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 11","Stairs"
"80247a05-688d-4a99-98f6-98c9f664481c","","checklist-sectioned","","Screens","checklist","FALSE","FALSE","Site QA","Level 11","Screens"
"d2491371-726b-4ee5-8d9d-c2a64586e80e","","checklist-sectioned","","Hoist","checklist","FALSE","FALSE","Site QA","Level 11","Hoist"
"2a874f62-0bd1-4b17-a9b7-0b9907a6c201","","folder-normal","","","step","TRUE","FALSE","Site QA","Level 12"
"713265fb-c906-4940-8a85-901975bb6d97","","checklist-flat","","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 12","Columns"
"53258735-a2b6-4a96-9236-784cf4ab9774","","checklist-flat","","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 12","Walls"
"148630a5-5296-4467-8d0b-aab5ffdb422e","","checklist-sectioned","","Jump System / Climb Track Checklist","checklist","FALSE","FALSE","Site QA","Level 12","Jump System / Climb Track Checklist"
"15db6224-f4f2-4b8a-aacb-0c1eb8eef56f","","checklist-flat","","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 12","Slab"
"cc77cb6c-9727-42d8-a0a7-6d554af60487","","checklist-sectioned","","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 12","Stairs"
"54195c58-9aa0-4716-addd-48d5ad5de3fc","","checklist-sectioned","","Screens","checklist","FALSE","FALSE","Site QA","Level 12","Screens"
"a6ed9953-d672-46e6-a282-2b80df1d47b7","","checklist-sectioned","","Hoist","checklist","FALSE","FALSE","Site QA","Level 12","Hoist"
"eb4e1987-8b1f-45a9-867a-779f7bb3ccf4","","folder-normal","","","step","TRUE","FALSE","Site QA","Level 13"
"1be429c8-e0a1-4362-821d-0b5cef47e645","","checklist-flat","","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 13","Columns"
"fb4e36c3-ea91-4a77-bd4d-2a5ca546826d","","checklist-flat","","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 13","Walls"
"c60b92dd-6434-4c73-97a5-fe89519282ed","","checklist-sectioned","","Jump System / Climb Track Checklist","checklist","FALSE","FALSE","Site QA","Level 13","Jump System / Climb Track Checklist"
"93b4747d-07d2-46f5-8d32-4f69a7bd2810","","checklist-flat","","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 13","Slab"
"db78b447-4af9-4421-ad3b-c87a6d7e8ab3","","checklist-sectioned","","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 13","Stairs"
"4550974f-87fa-4ee9-aafb-694f5bb8d3a5","","checklist-sectioned","","Screens","checklist","FALSE","FALSE","Site QA","Level 13","Screens"
"3180f47a-2b84-424c-89cf-bb445fdec905","","checklist-sectioned","","Hoist","checklist","FALSE","FALSE","Site QA","Level 13","Hoist"
"da176320-2981-43e2-9af1-6708f008d5e1","","folder-normal","","","step","TRUE","FALSE","Site QA","Level 14"
"b797c7e7-2b0a-4a55-b0dc-978e7d212ccb","","checklist-flat","","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 14","Columns"
"102b73fd-d6c1-4c65-89b3-663a9f6d5d56","","checklist-flat","","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 14","Walls"
"7084ffe9-6aaa-4d59-9ef6-5afeeca7c80c","","checklist-sectioned","","Jump System / Climb Track Checklist","checklist","FALSE","FALSE","Site QA","Level 14","Jump System / Climb Track Checklist"
"a24cb1a4-a6ac-41cb-ab72-b57bcf5b25d5","","checklist-flat","","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 14","Slab"
"dbae4026-1687-4c63-9c40-604719b59882","","checklist-sectioned","","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 14","Stairs"
"f21e922e-c2e5-411c-a008-ea271cb8ad20","","checklist-sectioned","","Screens","checklist","FALSE","FALSE","Site QA","Level 14","Screens"
"a3a252fc-b2dc-4a72-94ef-64afece97e9a","","checklist-sectioned","","Hoist","checklist","FALSE","FALSE","Site QA","Level 14","Hoist"
"c0188ce8-e5c6-49be-b4e5-a19e60b3a45a","","folder-normal","","","step","TRUE","FALSE","Site QA","Level 15"
"5e361f06-43a4-4ca7-8366-326f42c07e7b","","checklist-flat","","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 15","Columns"
"e554445b-17c3-41cf-aea2-c7e87fbeae72","","checklist-flat","","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 15","Walls"
"6271daa6-7c5e-48dc-819b-399c18172d6e","","checklist-sectioned","","Jump System / Climb Track Checklist","checklist","FALSE","FALSE","Site QA","Level 15","Jump System / Climb Track Checklist"
"647a729f-f6a2-4ebe-8bd2-1ec2faddd8f9","","checklist-flat","","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 15","Slab"
"b669d9b6-186c-428a-8a43-382fb39f38ba","","checklist-sectioned","","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 15","Stairs"
"2735e053-0219-48e7-b881-f8a964225eef","","checklist-sectioned","","Screens","checklist","FALSE","FALSE","Site QA","Level 15","Screens"
"d4cf14b0-515e-4233-afd6-010d895f9f36","","checklist-sectioned","","Hoist","checklist","FALSE","FALSE","Site QA","Level 15","Hoist"
"66c4780f-ab05-41f2-aacf-939ce61a153e","","folder-normal","","","step","TRUE","FALSE","Site QA","Level 16"
"95c9bdd1-da2b-45b9-b5cb-2ff3c0518020","","checklist-flat","","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 16","Columns"
"400081ef-dc29-46fc-ad62-df6ae5b9dcd3","","checklist-flat","","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 16","Walls"
"83d4f1dc-e427-4c49-8ab2-5da801adc931","","checklist-sectioned","","Jump System / Climb Track Checklist","checklist","FALSE","FALSE","Site QA","Level 16","Jump System / Climb Track Checklist"
"e8072e84-8555-4243-af2e-ad49b9b85f8e","","checklist-flat","","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 16","Slab"
"ce1c312a-d3c3-4ce4-8526-a24db124ca2a","","checklist-sectioned","","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 16","Stairs"
"19fedf84-01f6-4644-acd9-695223212dc3","","checklist-sectioned","","Screens","checklist","FALSE","FALSE","Site QA","Level 16","Screens"
"9f7a3a89-f909-4db7-9da6-f302e7b24556","","checklist-sectioned","","Hoist","checklist","FALSE","FALSE","Site QA","Level 16","Hoist"
"6a5cdf7a-ef68-46d3-b33b-468080f5c2c6","","folder-normal","","","step","TRUE","FALSE","Site QA","Level 17"
"2c2c2517-6afa-458a-88f8-4ee3fd7f7594","","checklist-flat","","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 17","Columns"
"5a44a840-6838-49ad-b511-1dca7ad7a904","","checklist-flat","","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 17","Walls"
"b8103d1d-21a5-4943-b02c-4859224eeafe","","checklist-sectioned","","Jump System / Climb Track Checklist","checklist","FALSE","FALSE","Site QA","Level 17","Jump System / Climb Track Checklist"
"5d8693e4-68a2-45b7-a907-048ed6a69aa1","","checklist-flat","","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 17","Slab"
"02d4a8c8-f1fb-48f6-a34d-b74d09c52475","","checklist-sectioned","","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 17","Stairs"
"bc96aec0-aea3-4aa1-8888-1dd7c9560bd4","","checklist-sectioned","","Screens","checklist","FALSE","FALSE","Site QA","Level 17","Screens"
"123b79e9-6d83-4f0c-a732-626399506136","","checklist-sectioned","","Hoist","checklist","FALSE","FALSE","Site QA","Level 17","Hoist"
"0a0e23f1-0014-43ca-9b8a-ec2941f44046","","folder-normal","","","step","TRUE","FALSE","Site QA","Level 18"
"7b8d2036-081b-4825-a7e7-dd4fbf8a91db","","checklist-flat","","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 18","Columns"
"b66f3aa0-9395-4ebb-99ba-9df27e35c878","","checklist-flat","","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 18","Walls"
"34bb47a2-cb6c-46f5-bb59-30a68ee337b1","","checklist-sectioned","","Jump System / Climb Track Checklist","checklist","FALSE","FALSE","Site QA","Level 18","Jump System / Climb Track Checklist"
"93c6ab6e-8258-4d7e-8d95-44d3827cb481","","checklist-flat","","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 18","Slab"
"3c318801-d845-474a-88ed-c2a7aa6fd6b7","","checklist-sectioned","","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 18","Stairs"
"eb466ed8-b34b-4736-89c2-cbe04a04db13","","checklist-sectioned","","Screens","checklist","FALSE","FALSE","Site QA","Level 18","Screens"
"4247f4f3-506b-4dd0-b855-9ed96889b39d","","checklist-sectioned","","Hoist","checklist","FALSE","FALSE","Site QA","Level 18","Hoist"
"31b54a2f-5ea0-495b-a16b-ec94cefc4db0","","folder-normal","","","step","TRUE","FALSE","Site QA","Level 19"
"77edc531-90be-4b07-9fad-57693519f335","","checklist-flat","","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 19","Columns"
"9afb6df7-a6e2-4e1d-9321-7b433700faef","","checklist-flat","","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 19","Walls"
"4b4936a3-b7de-4718-bb9e-f923bd4e4e26","","checklist-sectioned","","Jump System / Climb Track Checklist","checklist","FALSE","FALSE","Site QA","Level 19","Jump System / Climb Track Checklist"
"d0ff6807-4ebd-4aa2-8434-9ff244103f64","","checklist-flat","","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 19","Slab"
"b7cae92d-0d95-457d-a56c-cfb689bd63b2","","checklist-sectioned","","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 19","Stairs"
"5c62b9f6-86e2-41f5-a30a-b93f45da54af","","checklist-sectioned","","Screens","checklist","FALSE","FALSE","Site QA","Level 19","Screens"
"69903223-ba69-4a8e-958c-24f7950a3994","","checklist-sectioned","","Hoist","checklist","FALSE","FALSE","Site QA","Level 19","Hoist"
"7d00f1ce-31d4-4945-9567-3abb378cfe99","","folder-normal","","","step","TRUE","FALSE","Site QA","Level 20"
"99ba2729-5f78-406d-aef8-c69f50069a6b","","checklist-flat","","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 20","Columns"
