"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"3c9504c1-037e-48da-8ec1-49a0cba8587d","","no-status-not-started","","folder","TRUE","FALSE","ITP's"
"8c6269ac-5981-437e-a92b-c98218a647b3","","no-status-not-started","","folder","TRUE","FALSE","ITP-009 Subsoil Drainage"
"689ed3f1-e7ad-4b6a-88e2-ab6ba0fae572","","work-in-progress","","folder","TRUE","FALSE","ITP-0014 Earthworks and subgrade Preperation"
"400a1233-1243-44c0-acf8-1f9e16ebd09b","","work-in-progress","ITP-014 - Earthworks and Subgrade Preparation Lot1 (East)","checklist","FALSE","FALSE","ITP-0014 Earthworks and subgrade Preperation","ITP-014 - Earthworks and Subgrade Preparation Lot1 "
"e16b64a0-f47e-4db1-b846-49c6752be969","","not-started","ITP-014 - Earthworks and Subgrade Preparation Lot1 (East)","checklist","FALSE","FALSE","ITP-0014 Earthworks and subgrade Preperation","ITP-014 - Earthworks and Subgrade Preparation Lot 2"
"2816bfe1-d9d4-41c0-b56e-216888ba1825","","not-started","ITP-014 - Earthworks and Subgrade Preparation Lot1 (East)","checklist","FALSE","FALSE","ITP-0014 Earthworks and subgrade Preperation","ITP-014 - Earthworks and Subgrade Preparation Lot 3"
"69c4b894-2373-499b-b11a-910180d8cb01","","not-started","ITP-014 - Earthworks and Subgrade Preparation Lot1 (East)","checklist","FALSE","FALSE","ITP-0014 Earthworks and subgrade Preperation","ITP-014 - Earthworks and Subgrade Preparation Lot 4"
"7f1e0b81-14ad-48a0-b157-d57cec0b741c","","work-in-progress","","folder","TRUE","FALSE","ITP-0017 Sealing works - Asphalt laying works"
"88adc77a-26c9-48a2-b497-21b952ee283d","","work-in-progress","ITP-017 - Sealing Works - Asphalt Laying Works Wearing Course","checklist","FALSE","FALSE","ITP-0017 Sealing works - Asphalt laying works","ITP-017 - Sealing Works - Asphalt Laying Works Wearing Course"
"a451731e-673b-4c7a-9288-c95e1b297106","","work-in-progress","","folder","TRUE","FALSE","ITP-002 - Underground Stormwater Drainage "
"db4385ca-6191-4860-bdcb-87624786c4e9","","not-started","ITP-002 (B) - Underground Stormwater Drainage Lot 1 BC","checklist","FALSE","FALSE","ITP-002 - Underground Stormwater Drainage ","ITP-002 (B) - Underground Stormwater Drainage Lot 1 BC"
"ad485088-2d12-44d1-9dfe-2d7d2349cd96","","not-started","ITP-002 (B) - Underground Stormwater Drainage Lot 1 BC","checklist","FALSE","FALSE","ITP-002 - Underground Stormwater Drainage ","ITP-002 (B) - Underground Stormwater Drainage Lot 2 BC"
"552418ac-7503-4e8c-9866-f162a3bb5cf4","","not-started","ITP-002 (A) - Underground Stormwater Drainage Lot 3 RCP","checklist","FALSE","FALSE","ITP-002 - Underground Stormwater Drainage ","ITP-002 (A) - Underground Stormwater Drainage Lot 3 RCP"
