type,name,values,prefix,postfix,usage count,user addable,template name
checklist,Site Framed Doors & Windows,,,,,,Site Framed Doors & Windows
section,Set Out,,,,,,
checkpoint,Confirm with Site Management primary grid lines and RLs,,,,,,
checkpoint,Review drawings and ensure adequate information,,,,,,
checkpoint,Setout location and height of sub framing elements,,,,,,
section,Subframe,,,,,,
checkpoint,Material is free from damage,,,,,,
checkpoint,Weep holes are in correct location and number,,,,,,
checkpoint,Sisalation paper and/or under flashing and/or tanking is compete to behind sub framing,,,,,,
checkpoint,Sub frame is installed with specified fittings – packing as required,,,,,,
checkpoint,"Sub frame is sealed at stop ends, joins, and to structure / weatherproofing line",,,,,,
checkpoint,"Sub frame is reviewed, all caulking complete and free from damage",,,,,,
section,Door / Window Installation,,,,,,
checkpoint,Material is free from damage,,,,,,
checkpoint,Door/window checked for dimension as per shop drawings,,,,,,
checkpoint,Door/window is installed to line and level with equal margin in openings,,,,,,
checkpoint,Seals are installed as per drawings,,,,,,
checkpoint,Specified hardware is installed,,,,,,
checkpoint,Chain winder is restricted to 125mm or less (if applicable),,,,,,
checkpoint,Operation of door/window is checked,,,,,,
checkpoint,Door/window is sealed to sub frame if applicable,,,,,,
checkpoint,Caulking applied is neat and free from defects,,,,,,
checkpoint,Check all works and confirm free from defect,,,,,,
section,Completion,,,,,,
checkpoint,Flashings are installed as per the drawings,,,,,,
checkpoint,Area is cleaned and rubbish in bin,,,,,,
checkpoint,All works checked for defects prior to protection application,,,,,,
checkpoint,Protection is installed to reasonable extent unless agreed otherwise with site management this is described as:,,,,,,
label,Protective tape to window sills and thresholds,,,,,,
label,Protective tape to door openings,,,,,,
label,Protective tape to mullions which plaster abuts,,,,,,
label,Corflute (or similar) covering to windows where significant works are still to be complete in close proximity,,,,,,
checkpoint,Potential risks for damage are discussed with site management to ensure future works are understood,,,,,,
checkpoint,Window Fabrications Pty Ltd personnel responsible for work) has carried out all necessary inspections and verify that the work has been completed and conforms to the contract specification & Australian Standard AS1288 & AS2047.,,,,,,
