"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"0f36bc09-cc6c-4346-acf3-a87916fa394e","","work-in-progress","","folder","TRUE","FALSE","Transformer Installation "
"00f7d431-5936-4ac3-adb5-17791375b7f6","","pass","Transformer Installation Checklist","checklist","FALSE","FALSE","Transformer Installation ","Transformer Installation Checklist QTX 005"
"fb85ace8-61af-40f8-bb1c-f85ee539459e","","pass","Transformer Installation Checklist","checklist","FALSE","FALSE","Transformer Installation ","Transformer Installation Checklist QTX 006"
"2ea272b9-3601-4a21-94bb-b0ca6b584828","","pass","Transformer Installation Checklist","checklist","FALSE","FALSE","Transformer Installation ","Transformer Installation Checklist QTX 12"
"180c446b-6458-4b5b-b35c-e41f63800a0d","","pass","Transformer Installation Checklist","checklist","FALSE","FALSE","Transformer Installation ","Transformer Installation Checklist QTX 11"
"bf22bb82-8918-4900-b9bf-d35a769688af","","pass","Transformer Installation Checklist","checklist","FALSE","FALSE","Transformer Installation ","Transformer Installation Checklist QTX 001"
"6cc0efe8-f0cc-43e4-b615-395b434af541","","pass","Transformer Installation Checklist","checklist","FALSE","FALSE","Transformer Installation ","Transformer Installation Checklist QTX 002"
"78d06026-6b6f-4aca-b7e7-1e0ca601d273","","work-in-progress","Transformer Installation Checklist","checklist","FALSE","FALSE","Transformer Installation ","Transformer Installation Checklist QTX 003"
"bd3316fa-2e83-4ef1-8669-31d6f483d902","","pass","Transformer Installation Checklist","checklist","FALSE","FALSE","Transformer Installation ","Transformer Installation Checklist QTX 004"
"f3961ab0-90a8-4646-a77e-bdd5b4a413e6","","work-in-progress","Transformer Installation Checklist","checklist","FALSE","FALSE","Transformer Installation ","Transformer Installation Checklist QTX 007 (Earthing Transformer)"
"47a22827-4868-4c61-b6bb-6922018f85ba","","pass","Transformer Installation Checklist","checklist","FALSE","FALSE","Transformer Installation ","Transformer Installation Checklist QTX 008( Earthing Transformer)"
"01745924-cf3f-4b88-b5b9-553953a95560","","pass","","folder","TRUE","FALSE","Neutral Earthing Resistor Installation "
"6e878338-8448-47d1-8469-739a3fc56543","","pass","Neutral Earthing Resistor Installation Checklist","checklist","FALSE","FALSE","Neutral Earthing Resistor Installation ","Neutral Earthing Resistor 1"
"41746c25-158e-4a50-919c-c5fe152d33fc","","pass","Neutral Earthing Resistor Installation Checklist","checklist","FALSE","FALSE","Neutral Earthing Resistor Installation ","Neutral Earthing Resistor 2"
"e0d15d4b-953b-4255-b1b9-7770bd8dd34d","","work-in-progress","Photos","checklist","FALSE","FALSE","Photos Transformer Installation "
"23f89c45-fcc9-4c50-bd8c-cb8b8008eded","","pass","","folder","TRUE","FALSE","Crane Suppy Cable"
"acbd91f3-12f7-4f3b-936e-6cc1f2b32908","","pass","Cable Insulation Testing Record Checklist","checklist","FALSE","FALSE","Crane Suppy Cable","Crane Cable Insulation Testing Record Pre Terminating "
"cf9ad486-a51a-41e3-8f08-6eabc4964b4e","","pass","IR Testing For Three Core Cables Checklist","checklist","FALSE","FALSE","Crane Suppy Cable","IR Testing Pre VLF For Three Core Cables "
"55ec6698-d85d-456b-80d8-621b5134fefa","","pass","Screen Continuity Checklist","checklist","FALSE","FALSE","Crane Suppy Cable","Screen Continuity "
"6c42bd22-2896-4e43-b7a9-c53ac893f597","","pass","VLF Testing Checklist","checklist","FALSE","FALSE","Crane Suppy Cable","VLF Test Results "
"342619d1-ee02-404d-a7b0-9e7c46c0261d","","pass","IR Testing For Three Core Cables Checklist","checklist","FALSE","FALSE","Crane Suppy Cable","IR Test Results Post VLF Test "
