resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9,,,,
,step,,,Site QA,,,,,,,,,,,,
,step,,,,Hydrant Install,,,,,,,,,,,
ITR-001 Hydrant Install,checklist,,,,,Basement 5,,,,,,,,,,
ITR-001 Hydrant Install,checklist,,,,,Basement 4,,,,,,,,,,
ITR-001 Hydrant Install,checklist,,,,,Basement 3,,,,,,,,,,
ITR-001 Hydrant Install,checklist,,,,,Basement 2,,,,,,,,,,
ITR-001 Hydrant Install,checklist,,,,,Basement 1,,,,,,,,,,
ITR-001 Hydrant Install,checklist,,,,,Ground Floor,,,,,,,,,,
ITR-001 Hydrant Install,checklist,,,,,Level 1,,,,,,,,,,
ITR-001 Hydrant Install,checklist,,,,,Level 2,,,,,,,,,,
ITR-001 Hydrant Install,checklist,,,,,Level 3,,,,,,,,,,
ITR-001 Hydrant Install,checklist,,,,,Level 4,,,,,,,,,,
ITR-001 Hydrant Install,checklist,,,,,Level 5,,,,,,,,,,
ITR-001 Hydrant Install,checklist,,,,,Level 6,,,,,,,,,,
ITR-001 Hydrant Install,checklist,,,,,Level 7,,,,,,,,,,
ITR-001 Hydrant Install,checklist,,,,,Level 8,,,,,,,,,,
ITR-001 Hydrant Install,checklist,,,,,Level 9,,,,,,,,,,
ITR-001 Hydrant Install,checklist,,,,,Level 10,,,,,,,,,,
ITR-001 Hydrant Install,checklist,,,,,Level 11,,,,,,,,,,
ITR-001 Hydrant Install,checklist,,,,,Level 12,,,,,,,,,,
ITR-001 Hydrant Install,checklist,,,,,Level 13,,,,,,,,,,
ITR-001 Hydrant Install,checklist,,,,,Level 14,,,,,,,,,,
ITR-001 Hydrant Install,checklist,,,,,Level 15,,,,,,,,,,
ITR-001 Hydrant Install,checklist,,,,,Level 16,,,,,,,,,,
ITR-001 Hydrant Install,checklist,,,,,Level 17,,,,,,,,,,
ITR-001 Hydrant Install,checklist,,,,,Level 18,,,,,,,,,,
ITR-001 Hydrant Install,checklist,,,,,Level 19,,,,,,,,,,
ITR-001 Hydrant Install,checklist,,,,,Level 20,,,,,,,,,,
