"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"e53a9537-c066-45f9-9559-bec26411afab","","work-in-progress","","folder","TRUE","FALSE","Unbound Flexible Pavements"
"6bfc9c25-c165-4e66-b521-56d0e4ec277f","","work-in-progress","DTM-ITP-004- Service Relocations - Telstra and NBN Rev1","checklist","FALSE","FALSE","Service Relocations - Telstra and NBN","DTM-ITP-004-A2-LOT-003 - PF12-07 to PF12-08"
"273faa7d-8a3c-4fb3-a615-4c8a57e44225","","work-in-progress","DTM-ITP-004- Service Relocations - Telstra and NBN Rev1","checklist","FALSE","FALSE","Service Relocations - Telstra and NBN","DTM-ITP-004-A1-LOT-004 - Service Protection Works - Southern Outlet Transit Connector"
"b883816e-8dd0-4a5f-9d46-fb2855fbfeb0","","work-in-progress","","folder","TRUE","FALSE","Service Relocations - TasNetworks"
"fee975ba-a0a5-4d62-9ff2-84d988ce390c","","work-in-progress","DTM-ITP-005- Service Relocations - Power (TasNetworks) Rev1","checklist","FALSE","FALSE","Service Relocations - TasNetworks","DTM-ITP-005-A2-LOT-001 - High Voltage Conduits (Section A and Section D)"
"69a303a1-7bfc-43c8-a0fa-6acb6af173fb","","work-in-progress","DTM-ITP-005- Service Relocations - Power (TasNetworks) Rev1","checklist","FALSE","FALSE","Service Relocations - TasNetworks","DTM-ITP-005-A2-LOT-002 - Low Voltage Conduits (P2-502166 to P6-196208)"
"8b7dfc1f-6566-4ec4-a46c-455f4e94867e","","work-in-progress","DTM-ITP-005- Service Relocations - Power (TasNetworks) Rev1","checklist","FALSE","FALSE","Service Relocations - TasNetworks","DTM-ITP-005-A2-LOT-003 - Street Light Conduits (SL-08, SL-09, SL-11, SL-12)"
"854cebe7-70dc-4a84-a75c-aa0e1370add9","","work-in-progress","DTM-ITP-005- Service Relocations - Power (TasNetworks) Rev1","checklist","FALSE","FALSE","Service Relocations - TasNetworks","DTM-ITP-005-A2-LOT-004 - LV Conduits (LV Joint East to LV Joint West)"
"d6beff38-73dc-418c-a161-e8336ea10923","","work-in-progress","DTM-ITP-005- Service Relocations - Power (TasNetworks) Rev1","checklist","FALSE","FALSE","Service Relocations - TasNetworks","DTM-ITP-005-A2-LOT-005 - Street Light Conduits (SL-08 to SL-07)"
"b305d895-76df-463c-83f1-9a109bb05d6d","","work-in-progress","","folder","TRUE","FALSE","Stormwater Drainage"
"fee65e51-94cb-4859-be61-c4329611eecb","","work-in-progress","DTM-ITP-008- Stormwater Drainage Rev0","checklist","FALSE","FALSE","Stormwater Drainage","DTM-ITP-008-A2-LOT-001 - Drainage line C-01 to Ex D-02"
"fb2126a0-9612-4315-b5a5-a8e3dfe9738a","","not-started","DTM-ITP-008- Stormwater Drainage Rev0","checklist","FALSE","FALSE","Stormwater Drainage","DTM-ITP-008-A2-LOT-002 - Drainage line D-03 to D-04"
"494fb550-1d6b-4fe2-82e6-c74d7e26bae8","","not-started","DTM-ITP-008- Stormwater Drainage Rev0","checklist","FALSE","FALSE","Stormwater Drainage","DTM-ITP-008-A2-LOT-003 - New Stormwater Pit C-02"
"0ee4aedc-b5c2-4de5-a784-ea8598d13a13","","not-started","DTM-ITP-008- Stormwater Drainage Rev0","checklist","FALSE","FALSE","Stormwater Drainage","DTM-ITP-008-A2-LOT-004 - New Stormwater Pit C-01"
"db8a7077-4677-4e93-881e-00c1a752ca7f","","not-started","DTM-ITP-008- Stormwater Drainage Rev0","checklist","FALSE","FALSE","Stormwater Drainage","DTM-ITP-008-A2-LOT-005 - New Stormwater Pit D-02"
"32d03a0b-c4e2-47af-89b6-e48c59b2832c","","not-started","DTM-ITP-008- Stormwater Drainage Rev0","checklist","FALSE","FALSE","Stormwater Drainage","DTM-ITP-008-A2-LOT-006 - New Stormwater Pit D-04"
"3ae890dd-d43f-4d32-b131-be9724f7e831","","not-started","DTM-ITP-008- Stormwater Drainage Rev0","checklist","FALSE","FALSE","Stormwater Drainage","DTM-ITP-008-A2-LOT-007 - New Stormwater Pit D-03"
"f8b845d1-449f-48fe-a221-7628cbc1840d","","work-in-progress","","folder","TRUE","FALSE","Subsoils"
"c6817e56-8f1b-4138-9d96-9fb8df0e6354","","work-in-progress","DTM-ITP-010- Subsurface Drainage Rev0","checklist","FALSE","FALSE","Subsoils","DTM-ITP-010-SS(A)-LOT-001 - C-02 to B-03(a)"
"426b6387-f4d6-44a1-8563-4cb091a0fe3f","","work-in-progress","DTM-ITP-010- Subsurface Drainage Rev0","checklist","FALSE","FALSE","Subsoils","DTM-ITP-010-SS(A)-LOT-002 - C-02 to D-04"
"bf24beac-cf2e-4b70-bbd7-acc975aa2669","","work-in-progress","DTM-ITP-010- Subsurface Drainage Rev0","checklist","FALSE","FALSE","Subsoils","DTM-ITP-010-SS(A)-LOT-003 - D-04 to G-02"
"ca0a57c2-1b49-4b50-a51b-701c6fabc1cf","","work-in-progress","DTM-ITP-010- Subsurface Drainage Rev0","checklist","FALSE","FALSE","Subsoils","DTM-ITP-010-SS(B)-LOT-004 - Ex D-03 to G-02"
"072c32fc-059b-4a19-8832-07df7a5a686e","","work-in-progress","DTM-ITP-010- Subsurface Drainage Rev0","checklist","FALSE","FALSE","Subsoils","DTM-ITP-010-SS(B)-LOT-005 - Ex D-02 to Ex D-03"
"b53b5732-582d-4373-9827-692f385b1bea","","work-in-progress","DTM-ITP-010- Subsurface Drainage Rev0","checklist","FALSE","FALSE","Subsoils","DTM-ITP-010-SS(B)-LOT-006 - Ex D-02 to SF"
"2fce85ae-7512-4b78-ad58-a31037c18aed","","not-started","","folder","TRUE","FALSE","Accommodation Works"
"532c5e4e-9128-4142-a75f-ae9fa021ff97","","not-started","","folder","TRUE","FALSE","Accommodation Works","Block Wall Footing"
"3945ee94-ce93-4d06-bcce-e73c2e93a4bb","","not-started","DTM-ITP-011- Structural Concrete Rev0","checklist","FALSE","FALSE","Accommodation Works","Block Wall Footing","DTM-ITP-011-A1-LOT-001 - 326 Macquarie St Block Wall Footing"
"95814e97-e295-4a9d-91c1-ca854a39b6a6","","not-started","DTM-ITP-011- Structural Concrete Rev0","checklist","FALSE","FALSE","Accommodation Works","Block Wall Footing","DTM-ITP-011-A1-LOT-002 - 241 Davey St Block Wall Footing "
"4aa64cbf-4f3c-4af4-83cc-c5124e3d0d80","","no-status-not-started","","folder","TRUE","FALSE","Accommodation Works","Masonry Block Wall"
"d6def1f5-3376-421e-a445-0c79531698d4","","no-status-not-started","","folder","TRUE","FALSE","Kerb, Footpath and Islands"
"12e4316f-3921-4c40-8fa5-ad2b2e855bc2","","not-started","DTM-ITP-007- Concrete - Kerb, Footpaths & Islands Rev0","checklist","FALSE","FALSE","DTM-ITP-007-A2-LOT-001"
