resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,step,,,ZONE D,,,,,,,,
,step,,,,Cable Containment,,,,,,,
Catenaries,checklist,,,,,Catenaries,,,,,,
Cable tray,checklist,,,,,Cable Tray,,,,,,
Floor penetrations,checklist,,,,,Floor Penetrations,,,,,,
Documentation,checklist,,,,Documentation,,,,,,,
,step,,,,Staff Lounge DG7-5,,,,,,,
,step,,,,,First fix,,,,,,
Flush box,checklist,,,,,,Flush boxes,,,,,
,step,,,,,,Cabling,,,,,
Power circuits first fix,checklist,,,,,,,Power,,,,
Lighting circuits first fix,checklist,,,,,,,Lighting,,,,
,step,,,,,,,Heating ,,,,
,step,,,,,Second fix,,,,,,
Switchboard,checklist,,,,,,Switchboard,,,,,
Power circuits second fix,checklist,,,,,,Power,,,,,
Lighting circuits second fix,checklist,,,,,,Lighting,,,,,
,step,,,,,,Heating ,,,,,
,step,,,,Flex Learn DG&-6,,,,,,,
,step,,,,,First fix,,,,,,
Flush box,checklist,,,,,,Flush boxes,,,,,
,step,,,,,,Cabling,,,,,
Power circuits first fix,checklist,,,,,,,Power,,,,
Lighting circuits first fix,checklist,,,,,,,Lighting,,,,
,step,,,,,,,Heating ,,,,
,step,,,,,Second fix,,,,,,
Switchboard,checklist,,,,,,Switchboard,,,,,
Power circuits second fix,checklist,,,,,,Power,,,,,
Lighting circuits second fix,checklist,,,,,,Lighting,,,,,
,step,,,,,,Heating ,,,,,
,step,,,,Flex Learn DG7-15,,,,,,,
,step,,,,,First fix,,,,,,
Flush box,checklist,,,,,,Flush boxes,,,,,
,step,,,,,,Cabling,,,,,
Power circuits first fix,checklist,,,,,,,Power,,,,
Lighting circuits first fix,checklist,,,,,,,Lighting,,,,
,step,,,,,,,Heating ,,,,
,step,,,,,Second fix,,,,,,
Switchboard,checklist,,,,,,Switchboard,,,,,
Power circuits second fix,checklist,,,,,,Power,,,,,
Lighting circuits second fix,checklist,,,,,,Lighting,,,,,
,step,,,,,,Heating ,,,,,
,step,,,,Toilets DG-7,,,,,,,
,step,,,,,First fix,,,,,,
Flush box,checklist,,,,,,Flush boxes,,,,,
,step,,,,,,Cabling,,,,,
Power circuits first fix,checklist,,,,,,,Power,,,,
Lighting circuits first fix,checklist,,,,,,,Lighting,,,,
,step,,,,,,,Heating ,,,,
,step,,,,,Second fix,,,,,,
Switchboard,checklist,,,,,,Switchboard,,,,,
Power circuits second fix,checklist,,,,,,Power,,,,,
Lighting circuits second fix,checklist,,,,,,Lighting,,,,,
,step,,,,,,Heating ,,,,,
,step,,,,Reprographic DG7-3,,,,,,,
,step,,,,,First fix,,,,,,
Flush box,checklist,,,,,,Flush boxes,,,,,
,step,,,,,,Cabling,,,,,
Power circuits first fix,checklist,,,,,,,Power,,,,
Lighting circuits first fix,checklist,,,,,,,Lighting,,,,
,step,,,,,,,Heating ,,,,
,step,,,,,Second fix,,,,,,
Switchboard,checklist,,,,,,Switchboard,,,,,
Power circuits second fix,checklist,,,,,,Power,,,,,
Lighting circuits second fix,checklist,,,,,,Lighting,,,,,
,step,,,,,,Heating ,,,,,
,step,,,,Office DG7-9,,,,,,,
,step,,,,,First fix,,,,,,
Flush box,checklist,,,,,,Flush boxes,,,,,
,step,,,,,,Cabling,,,,,
Power circuits first fix,checklist,,,,,,,Power,,,,
Lighting circuits first fix,checklist,,,,,,,Lighting,,,,
,step,,,,,,,Heating ,,,,
,step,,,,,Second fix,,,,,,
Switchboard,checklist,,,,,,Switchboard,,,,,
Power circuits second fix,checklist,,,,,,Power,,,,,
Lighting circuits second fix,checklist,,,,,,Lighting,,,,,
,step,,,,,,Heating ,,,,,
,step,,,,Office DG7-10,,,,,,,
,step,,,,,First fix,,,,,,
Flush box,checklist,,,,,,Flush boxes,,,,,
,step,,,,,,Cabling,,,,,
Power circuits first fix,checklist,,,,,,,Power,,,,
Lighting circuits first fix,checklist,,,,,,,Lighting,,,,
,step,,,,,,,Heating ,,,,
,step,,,,,Second fix,,,,,,
Switchboard,checklist,,,,,,Switchboard,,,,,
Power circuits second fix,checklist,,,,,,Power,,,,,
Lighting circuits second fix,checklist,,,,,,Lighting,,,,,
,step,,,,,,Heating ,,,,,
,step,,,,Breakout DG7-11,,,,,,,
,step,,,,,First fix,,,,,,
Flush box,checklist,,,,,,Flush boxes,,,,,
,step,,,,,,Cabling,,,,,
Power circuits first fix,checklist,,,,,,,Power,,,,
Lighting circuits first fix,checklist,,,,,,,Lighting,,,,
,step,,,,,,,Heating ,,,,
,step,,,,,Second fix,,,,,,
Switchboard,checklist,,,,,,Switchboard,,,,,
Power circuits second fix,checklist,,,,,,Power,,,,,
Lighting circuits second fix,checklist,,,,,,Lighting,,,,,
,step,,,,,,Heating ,,,,,
,step,,,,Food/Wet DG7-12,,,,,,,
,step,,,,,First fix,,,,,,
Flush box,checklist,,,,,,Flush boxes,,,,,
,step,,,,,,Cabling,,,,,
Power circuits first fix,checklist,,,,,,,Power,,,,
Lighting circuits first fix,checklist,,,,,,,Lighting,,,,
,step,,,,,,,Heating ,,,,
,step,,,,,Second fix,,,,,,
Switchboard,checklist,,,,,,Switchboard,,,,,
Power circuits second fix,checklist,,,,,,Power,,,,,
Lighting circuits second fix,checklist,,,,,,Lighting,,,,,
,step,,,,,,Heating ,,,,,
,step,,,,Science DG7-13,,,,,,,
,step,,,,,First fix,,,,,,
Flush box,checklist,,,,,,Flush boxes,,,,,
,step,,,,,,Cabling,,,,,
Power circuits first fix,checklist,,,,,,,Power,,,,
Lighting circuits first fix,checklist,,,,,,,Lighting,,,,
,step,,,,,,,Heating ,,,,
,step,,,,,Second fix,,,,,,
Switchboard,checklist,,,,,,Switchboard,,,,,
Power circuits second fix,checklist,,,,,,Power,,,,,
Lighting circuits second fix,checklist,,,,,,Lighting,,,,,
,step,,,,,,Heating ,,,,,
,step,,,,Flex Learn DG7-14,,,,,,,
,step,,,,,First fix,,,,,,
Flush box,checklist,,,,,,Flush boxes,,,,,
,step,,,,,,Cabling,,,,,
Power circuits first fix,checklist,,,,,,,Power,,,,
Lighting circuits first fix,checklist,,,,,,,Lighting,,,,
,step,,,,,,,Heating ,,,,
,step,,,,,Second fix,,,,,,
Switchboard,checklist,,,,,,Switchboard,,,,,
Power circuits second fix,checklist,,,,,,Power,,,,,
Lighting circuits second fix,checklist,,,,,,Lighting,,,,,
,step,,,,,,Heating ,,,,,
,step,,,,Reception DG7-1,,,,,,,
,step,,,,,First fix,,,,,,
Flush box,checklist,,,,,,Flush boxes,,,,,
,step,,,,,,Cabling,,,,,
Power circuits first fix,checklist,,,,,,,Power,,,,
Lighting circuits first fix,checklist,,,,,,,Lighting,,,,
,step,,,,,,,Heating ,,,,
,step,,,,,Second fix,,,,,,
Switchboard,checklist,,,,,,Switchboard,,,,,
Power circuits second fix,checklist,,,,,,Power,,,,,
Lighting circuits second fix,checklist,,,,,,Lighting,,,,,
,step,,,,,,Heating ,,,,,
,step,,,,Staff Work Room DG7-2,,,,,,,
,step,,,,,First fix,,,,,,
Flush box,checklist,,,,,,Flush boxes,,,,,
,step,,,,,,Cabling,,,,,
Power circuits first fix,checklist,,,,,,,Power,,,,
Lighting circuits first fix,checklist,,,,,,,Lighting,,,,
,step,,,,,,,Heating ,,,,
,step,,,,,Second fix,,,,,,
Switchboard,checklist,,,,,,Switchboard,,,,,
Power circuits second fix,checklist,,,,,,Power,,,,,
Lighting circuits second fix,checklist,,,,,,Lighting,,,,,
,step,,,,,,Heating ,,,,,
,step,,,ZONE A - Admin,,,,,,,,
,step,,,,Cable Containment,,,,,,,
Catenaries,checklist,,,,,Catenaries,,,,,,
Cable tray,checklist,,,,,Cable Tray,,,,,,
Floor penetrations,checklist,,,,,Floor Penetrations,,,,,,
Documentation,checklist,,,,Documentation,,,,,,,
,step,,,,Staff Lounge AG2-2,,,,,,,
,step,,,,,First fix,,,,,,
Flush box,checklist,,,,,,Flush boxes,,,,,
,step,,,,,,Cabling,,,,,
Power circuits first fix,checklist,,,,,,,Power,,,,
Lighting circuits first fix,checklist,,,,,,,Lighting,,,,
,step,,,,,,,Heating ,,,,
,step,,,,,Second fix,,,,,,
Switchboard,checklist,,,,,,Switchboard,,,,,
Power circuits second fix,checklist,,,,,,Power,,,,,
Lighting circuits second fix,checklist,,,,,,Lighting,,,,,
,step,,,,,,Heating ,,,,,
,step,,,,Office Works AG2-7,,,,,,,
,step,,,,,First fix,,,,,,
Flush box,checklist,,,,,,Flush boxes,,,,,
,step,,,,,,Cabling,,,,,
Power circuits first fix,checklist,,,,,,,Power,,,,
Lighting circuits first fix,checklist,,,,,,,Lighting,,,,
,step,,,,,,,Heating ,,,,
,step,,,,,Second fix,,,,,,
Switchboard,checklist,,,,,,Switchboard,,,,,
Power circuits second fix,checklist,,,,,,Power,,,,,
Lighting circuits second fix,checklist,,,,,,Lighting,,,,,
,step,,,,,,Heating ,,,,,
,step,,,,Meeting AG2-11,,,,,,,
,step,,,,,First fix,,,,,,
Flush box,checklist,,,,,,Flush boxes,,,,,
,step,,,,,,Cabling,,,,,
Power circuits first fix,checklist,,,,,,,Power,,,,
Lighting circuits first fix,checklist,,,,,,,Lighting,,,,
,step,,,,,,,Heating ,,,,
,step,,,,,Second fix,,,,,,
Switchboard,checklist,,,,,,Switchboard,,,,,
Power circuits second fix,checklist,,,,,,Power,,,,,
Lighting circuits second fix,checklist,,,,,,Lighting,,,,,
,step,,,,,,Heating ,,,,,
,step,,,,Meeting AG2-12,,,,,,,
,step,,,,,First fix,,,,,,
Flush box,checklist,,,,,,Flush boxes,,,,,
