resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
Heating circuits second fix,checklist,,,,,,Heating ,,,,,
,step,,,,Flex Learn DG7-14,,,,,,,
,step,,,,,First fix,,,,,,
Flush box,checklist,,,,,,Flush boxes,,,,,
,step,,,,,,Cabling,,,,,
Power circuits first fix,checklist,,,,,,,Power,,,,
Lighting circuits first fix,checklist,,,,,,,Lighting,,,,
Heating circuits first fix,checklist,,,,,,,Heating ,,,,
,step,,,,,Second fix,,,,,,
Switchboard,checklist,,,,,,Switchboard,,,,,
Power circuits second fix,checklist,,,,,,Power,,,,,
Lighting circuits second fix,checklist,,,,,,Lighting,,,,,
Heating circuits second fix,checklist,,,,,,Heating ,,,,,
,step,,,,Reception DG7-1,,,,,,,
,step,,,,,First fix,,,,,,
Flush box,checklist,,,,,,Flush boxes,,,,,
,step,,,,,,Cabling,,,,,
Power circuits first fix,checklist,,,,,,,Power,,,,
Lighting circuits first fix,checklist,,,,,,,Lighting,,,,
Heating circuits first fix,checklist,,,,,,,Heating ,,,,
,step,,,,,Second fix,,,,,,
Switchboard,checklist,,,,,,Switchboard,,,,,
Power circuits second fix,checklist,,,,,,Power,,,,,
Lighting circuits second fix,checklist,,,,,,Lighting,,,,,
Heating circuits second fix,checklist,,,,,,Heating ,,,,,
,step,,,,Staff Work Room DG7-2,,,,,,,
,step,,,,,First fix,,,,,,
Flush box,checklist,,,,,,Flush boxes,,,,,
,step,,,,,,Cabling,,,,,
Power circuits first fix,checklist,,,,,,,Power,,,,
Lighting circuits first fix,checklist,,,,,,,Lighting,,,,
Heating circuits first fix,checklist,,,,,,,Heating ,,,,
,step,,,,,Second fix,,,,,,
Switchboard,checklist,,,,,,Switchboard,,,,,
Power circuits second fix,checklist,,,,,,Power,,,,,
Lighting circuits second fix,checklist,,,,,,Lighting,,,,,
Heating circuits second fix,checklist,,,,,,Heating ,,,,,
,step,,,ZONE A - Admin,,,,,,,,
,step,,,,Cable Containment,,,,,,,
Catenaries,checklist,,,,,Catenaries,,,,,,
Cable tray,checklist,,,,,Cable Tray,,,,,,
Floor penetrations,checklist,,,,,Floor Penetrations,,,,,,
Documentation,checklist,,,,Documentation,,,,,,,
,step,,,,Staff Lounge AG2-2,,,,,,,
,step,,,,,First fix,,,,,,
Flush box,checklist,,,,,,Flush boxes,,,,,
,step,,,,,,Cabling,,,,,
Power circuits first fix,checklist,,,,,,,Power,,,,
Lighting circuits first fix,checklist,,,,,,,Lighting,,,,
Heating circuits first fix,checklist,,,,,,,Heating ,,,,
,step,,,,,Second fix,,,,,,
Switchboard,checklist,,,,,,Switchboard,,,,,
Power circuits second fix,checklist,,,,,,Power,,,,,
Lighting circuits second fix,checklist,,,,,,Lighting,,,,,
Heating circuits second fix,checklist,,,,,,Heating ,,,,,
,step,,,,Office Works AG2-7,,,,,,,
,step,,,,,First fix,,,,,,
Flush box,checklist,,,,,,Flush boxes,,,,,
,step,,,,,,Cabling,,,,,
