"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Lift Cores Progress"
,"Scope",,
,"Rows"
,,"Tower","dynamic","lift cores","tower"
,,"School","dynamic","lift cores","school"
,,"Parish","dynamic","lift cores","parish"
,"Columns"
,,"Pre Pour",,"pre pour"
,,"Formwork",,"formwork"

"Stairs Progress"
,"Scope",,
,"Rows"
,,"Stair Core (Tower)","dynamic","stair core (tower)","stairs"
,,"Stair 04 (South West Stair)","dynamic","stair 04 (south west stair)","stairs"
,,"Stair 05 (RAC Western Egress)","dynamic","stairs","stair 05 (rac western egress)"
,,"Stair 06","dynamic","stair 06","stairs"
,,"Stair 07 (Parish Core)","dynamic","stair 07 (parish core)","stairs"
,,"Stair 08 (School Core)","dynamic","stairs","stair 08 (school core)"
,,"External Stair 01","dynamic","external stair 01","stairs"
,,"External Stair 02","dynamic","external stair 02","stairs"
,,"External Stair 03","dynamic","stairs","external stair 03"
,,"Miscellaneous Stairs","dynamic","miscellaneous stairs","stairs"
,"Columns"
,,"Pre Pour",,"pre pour"
,,"Formwork",,"formwork"

"B2, B1, LG & UG Progress"
,"Scope",,
,"Rows"
,,"Basement 2","dynamic","basement 2"
,,"Basement 1 - Pour 1","dynamic","pour 1","basement 1"
,,"Basement 1 - Pour 2","dynamic","basement 1","pour 2"
,,"Basement 1 - Pour 3","dynamic","pour 3","basement 1"
,,"Basement 1 - Pour 4","dynamic","pour 4","basement 1"
,,"Lower Ground - Pour 1","dynamic","pour 1","lower ground"
,,"Lower Ground - Pour 2","dynamic","lower ground","pour 2"
,,"Lower Ground - Pour 3","dynamic","pour 3","lower ground"
,,"Lower Ground - Pour 4","dynamic","pour 4","lower ground"
,,"Upper Ground - Pour 1","dynamic","pour 1","upper ground"
,,"Upper Ground - Pour 2","dynamic","upper ground","pour 2"
,,"Upper Ground - Pour 3","dynamic","upper ground","pour 3"
,,"Upper Ground - Pour 4","dynamic","pour 4","upper ground"
,"Columns"
,,"Formwork",,"formwork"

"School, Parish Hall, RAC, RL Progress"
,"Scope",,
,"Rows"
,,"School - Level 1","dynamic","school","level 1"
,,"School - Level 2","dynamic","school","level 2"
,,"School - Level 3","dynamic","school","level 3"
,,"School - Level 4","dynamic","level 4","school"
,,"Parish Hall - Level 1","dynamic","level 1","parish hall"
,,"Parish Hall - Level 2","dynamic","level 2","parish hall"
,,"Parish Hall - Level 3","dynamic","parish hall","level 3"
,,"Parish Hall - Level 4","dynamic","level 4","parish hall"
,,"RAC (Residential Aged Care) - Level 1","dynamic","level 1","rac (residential aged care)"
,,"RAC (Residential Aged Care) - Level 2","dynamic","level 2","rac (residential aged care)"
,,"RAC (Residential Aged Care) - Level 3","dynamic","rac (residential aged care)","level 3"
,,"RAC (Residential Aged Care) - Level 4","dynamic","level 4","rac (residential aged care)"
,,"RL (Retired Living) - Level 5","dynamic","rl (retired living)","level 5"
,,"RL (Retired Living) - Level 6","dynamic","rl (retired living)","level 6"
,,"RL (Retired Living) - Level 7","dynamic","rl (retired living)","level 7"
,,"RL (Retired Living) - Level 8","dynamic","rl (retired living)","level 8"
,,"RL (Retired Living) - Level 9","dynamic","rl (retired living)","level 9"
,,"RL (Retired Living) - Level 10","dynamic","rl (retired living)","level 10"
,,"RL (Retired Living) - Level 11","dynamic","rl (retired living)","level 11"
,,"RL (Retired Living) - Level 12","dynamic","rl (retired living)","level 12"
,,"RL (Retired Living) - Level 13","dynamic","rl (retired living)","level 13"
,,"RL (Retired Living) - Level 14","dynamic","rl (retired living)","level 14"
,,"RL (Retired Living) - Level 15","dynamic","rl (retired living)","level 15"
,,"RL (Retired Living) - Level 16","dynamic","rl (retired living)","level 16"
,,"RL (Retired Living) - Level 17","dynamic","rl (retired living)","level 17"
,,"RL (Retired Living) - Level 18","dynamic","rl (retired living)","level 18"
,,"RL (Retired Living) - Level 19","dynamic","rl (retired living)","level 19"
,,"RL (Retired Living) - Level 20","dynamic","rl (retired living)","level 20"
,,"RL (Retired Living) - Level 21","dynamic","rl (retired living)","level 21"
,,"RL (Retired Living) - Level 22","dynamic","rl (retired living)","level 22"
,,"RL (Retired Living) - Level 23","dynamic","rl (retired living)","level 23"
,,"RL (Retired Living) - Level 24","dynamic","rl (retired living)","level 24"
,,"RL (Retired Living) - Level 25","dynamic","rl (retired living)","level 25"
,,"RL (Retired Living) - Level 26","dynamic","rl (retired living)","level 26"
,,"RL (Retired Living) - Level 27","dynamic","rl (retired living)","level 27"
,,"RL (Retired Living) - Level 28","dynamic","rl (retired living)","level 28"
,,"RL (Retired Living) - Level 29","dynamic","rl (retired living)","level 29"
,"Columns"
,,"Pre Pour",,"pre pour"
,,"Formwork",,"formwork"

