"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"5ee26e90-09ed-427d-bc2b-5df00db3341d","","folder-normal","work-in-progress","","step","TRUE","FALSE","B1"
"6450498c-b7a7-4d1b-a9c4-913d4e1775b2","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","B1","B1-CP01"
"7a4583b5-d0a3-4a71-8872-359f9a6b141d","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","B1","B1-CP01A"
"7d0351f1-efdd-4e4d-a10e-3f7214720d54","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","B1","B1-CP03"
"47852856-95dc-4438-bdf3-89318177c1ba","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","B1","B1-CP04"
"425873c2-c403-4a52-8380-d1b8b9ea58f8","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","B1","B1-CP06"
"cb3d8444-b547-4894-b170-bd08b368d44f","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","B1","B1-CP07"
"60bb9871-a4c4-4471-99e8-3ca02e1a0d30","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","B1","B1-CP08"
"5763d99f-e635-4efd-b9ac-391d5d3a0296","","checklist-sectioned","work-in-progress","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","B1","B1-CP09"
"621ca312-fea2-4071-8aff-f66a0db9e15b","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","B1","B1-CP10"
"9e78d80a-299f-40f7-9e9f-44b55a6a7795","","folder-normal","pass","","step","TRUE","FALSE","B2"
"41de01db-d6fb-41fb-840e-0a0ef41cd574","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","B2","B2-C01"
"84913889-25fc-41e9-8afd-29608e9a6c5f","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","B2","B2-C02"
"39b1812a-f084-4cc0-bb7c-56b37cb19b51","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","B2","B2-C03"
"69b89303-0c20-4f0a-9408-595db75080ee","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","B2","B2-C04"
"20f35a1f-0a11-4202-8450-be82c9e17293","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","B2","B2-C05"
"3b3d19ea-f934-4bce-b928-0630e3f5f9bd","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","B2","B2-C06"
"664a5051-4a93-4a92-bfe0-92bd873a0b09","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","B2","B2-C07"
"8dc11f02-6e23-4fbd-9e59-f688ee2067f0","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","B2","B2-C08"
"8fade81e-3e92-4194-a3aa-e67db7a3a2c4","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","B2","B2-C09"
"d1607a1f-8584-491a-8e85-164f9c106f39","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","B2","B2-C10"
"4c8dd77c-5256-45c0-bdc4-11649756c995","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","B2","B2-C11"
"e500420b-b576-4369-bbcb-09a0b19bdeba","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","B2","B2-C12"
"e3a41fdb-7e54-4e13-a12c-1a12b22f83f9","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","B2","B2-C13"
"c93e4a37-0b2e-4a6b-be11-0977c2cb12f3","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","B2","B2-C14"
"64dfcc62-493f-4523-a531-90a850c9b6ea","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","B2","B2-C15"
"f9fb1bd6-9fb2-4838-92a6-161e1d5b6a18","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","B2","B2-C16"
"103ede4c-2b15-4676-a29a-386d67c30b7f","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","B2","B2-C17"
"408403a7-ea71-4c24-8aa0-617aad75fcfa","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","B2","B2-CP01"
"032b5f6f-19a0-49a1-b2d0-820164ca56d7","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","B2","B2-CP03"
"a6f39961-33a8-437d-a532-4dbeb23d63b4","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","B2","B2-CP04"
"8b7f208b-8b55-47e8-aea2-e7b8994d4e2a","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","B2","B2-CP06"
"2b799225-0f8f-41b2-9811-d8578896184a","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","B2","B2-CP07"
"686e0607-1a27-48c3-8cf2-b2e1b245c7ec","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","B2","B2-CP08"
"7fb22e77-abe8-451f-b926-1c39b740593d","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","B2","B2-CP09"
"391893c4-2c93-4381-9791-e6b042a1e0ee","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","B2","B2-CP10"
"08deeda8-06e5-4a82-b7c2-e12e5f760619","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","B2","B2-P01"
"2f6c62dc-818a-45f8-8389-c98dbeb13f17","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","B2","B2-P02"
"dc72db83-2c8e-4368-ab1f-4bc95368d372","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","B2","B2-P03"
"e925610c-339b-4b86-8f2e-84629fc4caae","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","B2","B2-P04"
"29864dff-08d4-4ae5-b37f-d879e1369d69","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","B2","B2-P05"
"4e0d25da-e056-4de7-9e80-bc2829cde71b","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","B2","B2-P06"
"d5a176d2-f178-4571-af4f-d9896ae7670c","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","B2","B2-P07"
"33837674-0186-4647-95f7-fa9a34ea1448","","folder-normal","fail","","step","TRUE","FALSE","Ground Floor"
"bad035cf-c1e4-467c-ac8d-1805930f530f","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground Floor","G-C03"
"8e8293f4-de5e-4bd8-a487-fcf021ee2790","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground Floor","G-C04"
"81b597d0-749e-4196-bb93-ffa1cd33d0a1","","checklist-sectioned","work-in-progress","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground Floor","G-C05"
"569b60ed-fa3c-4116-9182-6db99e0cd8f2","","checklist-sectioned","work-in-progress","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Ground Floor","G-C06"
"f11ee382-4073-451f-a69d-2fbd78c822fa","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Ground Floor","G-C07"
"4f958bb6-cb1f-435a-8f2b-cebacd1a5f9e","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Ground Floor","G-C07A"
