"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"fd44f24e-dbf5-492c-9c69-8aa42f5edf35","","folder-normal","fail","","step","TRUE","FALSE","Building A"
"d55a5baf-0625-4007-9d6c-aaa067c43a76","","folder-normal","pass","","step","TRUE","FALSE","Building A","Basement 1"
"4d5900d9-162c-4ccd-9205-32542413ffab","","checklist-sectioned","pass","1d8d0fa0f5c8883a1ba329756fd27f98ad764a32bb713cc6ff922814d841199e","checklist","FALSE","FALSE","Building A","Basement 2","B2C10"
"fece1361-8b05-4677-8fe7-9bdde2215094","","checklist-sectioned","pass","1d8d0fa0f5c8883a1ba329756fd27f98ad764a32bb713cc6ff922814d841199e","checklist","FALSE","FALSE","Building A","Basement 2","B2C11"
"c411e53f-f3fc-4da0-b960-351e50f40c1c","","checklist-sectioned","pass","1d8d0fa0f5c8883a1ba329756fd27f98ad764a32bb713cc6ff922814d841199e","checklist","FALSE","FALSE","Building A","Basement 2","B2C12"
"673d78f0-7d42-4e46-8086-a1e64ce84798","","checklist-sectioned","pass","1d8d0fa0f5c8883a1ba329756fd27f98ad764a32bb713cc6ff922814d841199e","checklist","FALSE","FALSE","Building A","Basement 2","B2C13"
"cec129b7-0863-4fc6-b082-4432d53af5c6","","checklist-sectioned","pass","0d7cc021392ddd0b1c0167cd424e65ec011894ff5c022c22b98f7bcd50f84d87","checklist","FALSE","FALSE","Building A","Basement 2","B2C14"
"935e7c08-0094-4e22-afce-26bee3cbf0be","","checklist-sectioned","pass","0d7cc021392ddd0b1c0167cd424e65ec011894ff5c022c22b98f7bcd50f84d87","checklist","FALSE","FALSE","Building A","Basement 2","B2C15"
"d6ee5448-e533-470b-8b39-836c69197ac7","","checklist-sectioned","pass","0d7cc021392ddd0b1c0167cd424e65ec011894ff5c022c22b98f7bcd50f84d87","checklist","FALSE","FALSE","Building A","Basement 2","B2C16"
"f0b917a7-4f63-4439-b02b-892d4c240bf2","","checklist-sectioned","pass","0d7cc021392ddd0b1c0167cd424e65ec011894ff5c022c22b98f7bcd50f84d87","checklist","FALSE","FALSE","Building A","Basement 2","B2C17"
"8c620d5f-9808-4eb0-9987-af01916440e6","","checklist-sectioned","pass","0d7cc021392ddd0b1c0167cd424e65ec011894ff5c022c22b98f7bcd50f84d87","checklist","FALSE","FALSE","Building A","Basement 2","B2C18"
"2e9a4d30-e7a9-423b-bbbe-ebd5ca8ca323","","checklist-sectioned","pass","0d7cc021392ddd0b1c0167cd424e65ec011894ff5c022c22b98f7bcd50f84d87","checklist","FALSE","FALSE","Building A","Basement 2","B2C19"
"e97e8564-1f62-437c-82f8-f8ec833deb98","","checklist-sectioned","pass","0d7cc021392ddd0b1c0167cd424e65ec011894ff5c022c22b98f7bcd50f84d87","checklist","FALSE","FALSE","Building A","Basement 2","B2C20"
"28b2f1d3-1f96-412f-bf47-28e067d326bc","","checklist-sectioned","pass","0d7cc021392ddd0b1c0167cd424e65ec011894ff5c022c22b98f7bcd50f84d87","checklist","FALSE","FALSE","Building A","Basement 2","B2C21"
"53fddd10-8cd3-40d9-90cf-455b796fb419","","checklist-sectioned","pass","0d7cc021392ddd0b1c0167cd424e65ec011894ff5c022c22b98f7bcd50f84d87","checklist","FALSE","FALSE","Building A","Basement 2","B2C22"
"463bf2ef-a0f3-4ee9-983e-372a79d31550","","checklist-sectioned","pass","0d7cc021392ddd0b1c0167cd424e65ec011894ff5c022c22b98f7bcd50f84d87","checklist","FALSE","FALSE","Building A","Basement 2","B2C23"
"93ea488c-81dc-4993-9fd7-5c484133bfee","","checklist-sectioned","pass","0d7cc021392ddd0b1c0167cd424e65ec011894ff5c022c22b98f7bcd50f84d87","checklist","FALSE","FALSE","Building A","Basement 2","B2C24"
"2d29516e-28a2-4297-8291-7206aaf68946","","checklist-sectioned","pass","1d8d0fa0f5c8883a1ba329756fd27f98ad764a32bb713cc6ff922814d841199e","checklist","FALSE","FALSE","Building A","Basement 2","B2C25"
"e8cbdb16-cb5d-4b35-bb62-fbea093a39fc","","checklist-sectioned","pass","1d8d0fa0f5c8883a1ba329756fd27f98ad764a32bb713cc6ff922814d841199e","checklist","FALSE","FALSE","Building A","Basement 2","B2C26"
"addf9719-a84d-4b71-bf59-7193c937b205","","checklist-sectioned","pass","0d7cc021392ddd0b1c0167cd424e65ec011894ff5c022c22b98f7bcd50f84d87","checklist","FALSE","FALSE","Building A","Basement 2","B2C27"
"df8e023b-7a3d-46d2-9b0d-cd5c2d8792d2","","checklist-sectioned","pass","0d7cc021392ddd0b1c0167cd424e65ec011894ff5c022c22b98f7bcd50f84d87","checklist","FALSE","FALSE","Building A","Basement 2","B2C28"
"c3a6f6cf-1f6f-4985-9cf0-47017c05a807","","checklist-sectioned","pass","1d8d0fa0f5c8883a1ba329756fd27f98ad764a32bb713cc6ff922814d841199e","checklist","FALSE","FALSE","Building A","Basement 2","B2C29"
"b698b03b-986a-4ebd-8e5a-913ef063ffdf","","checklist-sectioned","pass","1d8d0fa0f5c8883a1ba329756fd27f98ad764a32bb713cc6ff922814d841199e","checklist","FALSE","FALSE","Building A","Basement 2","B2C30"
"eb5166f1-db6d-4876-b800-6f1353040e97","","checklist-sectioned","pass","1d8d0fa0f5c8883a1ba329756fd27f98ad764a32bb713cc6ff922814d841199e","checklist","FALSE","FALSE","Building A","Basement 2","B2C31"
"f0d7370f-477c-43d7-b617-4974da2dcf45","","checklist-sectioned","pass","1d8d0fa0f5c8883a1ba329756fd27f98ad764a32bb713cc6ff922814d841199e","checklist","FALSE","FALSE","Building A","Basement 2","B2C32"
"1829b7b2-a45b-47e3-935c-15c6a9e04acd","","checklist-sectioned","pass","1d8d0fa0f5c8883a1ba329756fd27f98ad764a32bb713cc6ff922814d841199e","checklist","FALSE","FALSE","Building A","Basement 2","B2C33"
"0f84e800-d4dc-4989-8ce0-be1c28ab62d6","","checklist-sectioned","pass","0d7cc021392ddd0b1c0167cd424e65ec011894ff5c022c22b98f7bcd50f84d87","checklist","FALSE","FALSE","Building A","Basement 2","B2C34"
"bb1af6ee-1f10-4972-9a2d-ab2e3e09b320","","checklist-sectioned","pass","0d7cc021392ddd0b1c0167cd424e65ec011894ff5c022c22b98f7bcd50f84d87","checklist","FALSE","FALSE","Building A","Basement 2","B2C35"
"fd427598-c5e7-4a59-b340-af36c1fdaac3","","checklist-sectioned","pass","0d7cc021392ddd0b1c0167cd424e65ec011894ff5c022c22b98f7bcd50f84d87","checklist","FALSE","FALSE","Building A","Basement 2","B2C36"
"c30b164c-3a43-4081-97f4-98d933902fdb","","checklist-sectioned","pass","0d7cc021392ddd0b1c0167cd424e65ec011894ff5c022c22b98f7bcd50f84d87","checklist","FALSE","FALSE","Building A","Basement 2","B2C37"
"407330ae-d075-4250-9649-6d141cb6d7a4","","checklist-sectioned","pass","1d8d0fa0f5c8883a1ba329756fd27f98ad764a32bb713cc6ff922814d841199e","checklist","FALSE","FALSE","Building A","Basement 2","B2C38"
"847850b7-a029-4aa6-a218-fc1fad7f5147","","checklist-sectioned","pass","1d8d0fa0f5c8883a1ba329756fd27f98ad764a32bb713cc6ff922814d841199e","checklist","FALSE","FALSE","Building A","Basement 2","B2C39"
"53a38a1b-52e4-48b8-bd25-90b3c2a8f6fd","","checklist-sectioned","pass","1d8d0fa0f5c8883a1ba329756fd27f98ad764a32bb713cc6ff922814d841199e","checklist","FALSE","FALSE","Building A","Basement 2","B2C40"
"a8ebe210-bb35-42c6-bdbb-2e9a4cda0bd7","","checklist-sectioned","pass","1d8d0fa0f5c8883a1ba329756fd27f98ad764a32bb713cc6ff922814d841199e","checklist","FALSE","FALSE","Building A","Basement 2","B2C41"
"6022df79-7e5c-4737-b5b2-f53cea952eaf","","checklist-sectioned","pass","1d8d0fa0f5c8883a1ba329756fd27f98ad764a32bb713cc6ff922814d841199e","checklist","FALSE","FALSE","Building A","Basement 2","B2C42"
"883581ff-814d-4238-90f4-b3efc1b81b2b","","checklist-sectioned","pass","1d8d0fa0f5c8883a1ba329756fd27f98ad764a32bb713cc6ff922814d841199e","checklist","FALSE","FALSE","Building A","Basement 2","B2C43"
"5dc2cb90-809e-48d8-b050-1496ab497ef4","","checklist-sectioned","pass","1d8d0fa0f5c8883a1ba329756fd27f98ad764a32bb713cc6ff922814d841199e","checklist","FALSE","FALSE","Building A","Basement 2","B2C44"
"a5c9f869-ae8f-4419-80f8-f82642511839","","checklist-sectioned","pass","1d8d0fa0f5c8883a1ba329756fd27f98ad764a32bb713cc6ff922814d841199e","checklist","FALSE","FALSE","Building A","Basement 2","B2C45"
"2e4853c2-2f9d-43f8-a9b5-566929d511c4","","checklist-sectioned","pass","1d8d0fa0f5c8883a1ba329756fd27f98ad764a32bb713cc6ff922814d841199e","checklist","FALSE","FALSE","Building A","Basement 2","B2C46"
"2f1592f0-db5b-4fc5-8098-ea1e6a584f9e","","checklist-sectioned","pass","1d8d0fa0f5c8883a1ba329756fd27f98ad764a32bb713cc6ff922814d841199e","checklist","FALSE","FALSE","Building A","Basement 2","B2C47"
"eee00ec6-95c2-4890-a6de-fafc95957e08","","checklist-sectioned","pass","1d8d0fa0f5c8883a1ba329756fd27f98ad764a32bb713cc6ff922814d841199e","checklist","FALSE","FALSE","Building A","Basement 2","B2C48"
"dbfb239e-56d4-4fb5-a031-4c70798b558c","","checklist-sectioned","pass","1d8d0fa0f5c8883a1ba329756fd27f98ad764a32bb713cc6ff922814d841199e","checklist","FALSE","FALSE","Building A","Basement 2","B2C49"
"a9072b54-fbb8-43b0-97e0-0a3e2075ec44","","checklist-sectioned","pass","0d7cc021392ddd0b1c0167cd424e65ec011894ff5c022c22b98f7bcd50f84d87","checklist","FALSE","FALSE","Building A","Basement 2","B2C50"
"8fb34888-eac3-424b-9e81-b5f9dbbcabcc","","checklist-sectioned","pass","0d7cc021392ddd0b1c0167cd424e65ec011894ff5c022c22b98f7bcd50f84d87","checklist","FALSE","FALSE","Building A","Basement 2","B2C51"
"4b141142-fddb-45f1-a169-ded2d596c8ad","","checklist-sectioned","pass","0d7cc021392ddd0b1c0167cd424e65ec011894ff5c022c22b98f7bcd50f84d87","checklist","FALSE","FALSE","Building A","Basement 2","B2C52"
"8a2c962e-a7e1-4e11-b6a8-9321211fce26","","checklist-sectioned","pass","0d7cc021392ddd0b1c0167cd424e65ec011894ff5c022c22b98f7bcd50f84d87","checklist","FALSE","FALSE","Building A","Basement 2","B2C53"
"f73d7539-7a7c-4440-9d51-25e82859a210","","checklist-sectioned","pass","0d7cc021392ddd0b1c0167cd424e65ec011894ff5c022c22b98f7bcd50f84d87","checklist","FALSE","FALSE","Building A","Basement 2","B2C54"
"7818184f-d595-4e12-9255-2d615503e17f","","checklist-sectioned","pass","1d8d0fa0f5c8883a1ba329756fd27f98ad764a32bb713cc6ff922814d841199e","checklist","FALSE","FALSE","Building A","Basement 2","B2C55"
"8f544b6d-4c69-490c-b82c-1f772cc1d99a","","checklist-sectioned","pass","1d8d0fa0f5c8883a1ba329756fd27f98ad764a32bb713cc6ff922814d841199e","checklist","FALSE","FALSE","Building A","Basement 2","B2C56"
"a463c8b1-98ae-4025-b3d6-c7768414e625","","checklist-sectioned","pass","1d8d0fa0f5c8883a1ba329756fd27f98ad764a32bb713cc6ff922814d841199e","checklist","FALSE","FALSE","Building A","Basement 2","B2C57"
"6c428c08-fc40-45e2-8815-404a859bd78e","","checklist-sectioned","pass","1d8d0fa0f5c8883a1ba329756fd27f98ad764a32bb713cc6ff922814d841199e","checklist","FALSE","FALSE","Building A","Basement 2","B2C58"
"09a2d9e3-02cf-455d-829a-f22c9c2b6e78","","checklist-sectioned","pass","1d8d0fa0f5c8883a1ba329756fd27f98ad764a32bb713cc6ff922814d841199e","checklist","FALSE","FALSE","Building A","Basement 2","B2C59"
"d9092014-0a0b-40a2-bd9a-b5de163f9e0d","","checklist-sectioned","pass","10136613c91c092fbadc0c59c24bb8ec7997da0e7bc1b642c6703fb8f20c94f3","checklist","FALSE","FALSE","Building A","Basement 2","B2C60"
"e72d9c5a-1d9c-4154-aa07-6a5ee9a15163","","checklist-sectioned","pass","0d7cc021392ddd0b1c0167cd424e65ec011894ff5c022c22b98f7bcd50f84d87","checklist","FALSE","FALSE","Building A","Basement 2","B2C61"
"f7310fb6-26ec-4ca2-9129-29d49365a77c","","checklist-sectioned","pass","a7d6c81fc712a5ab68a066215771eb7300a6ed80e0152fbcf83729cd37ba5ed7","checklist","FALSE","FALSE","Building A","Basement 2","B2P01"
"e009997a-0994-4ce4-93d5-3443518b38cc","","checklist-sectioned","pass","0d7cc021392ddd0b1c0167cd424e65ec011894ff5c022c22b98f7bcd50f84d87","checklist","FALSE","FALSE","Building A","Basement 2","B2P02"
"426c4b37-1131-4273-91a9-845e56281ef9","","checklist-sectioned","pass","52a866f09c0eefed5bf578b1a665bfdc13dce5915e4dbbf0fea11432f1cf8c4c","checklist","FALSE","FALSE","Building A","Basement 2","B2P03"
"e1e62a1c-522d-4f01-a105-8e6287a30f95","","checklist-sectioned","pass","0d7cc021392ddd0b1c0167cd424e65ec011894ff5c022c22b98f7bcd50f84d87","checklist","FALSE","FALSE","Building A","Basement 2","B2P04"
"e98d6c9b-f4b8-4771-866b-c26194d40b81","","checklist-sectioned","pass","a7d6c81fc712a5ab68a066215771eb7300a6ed80e0152fbcf83729cd37ba5ed7","checklist","FALSE","FALSE","Building A","Basement 2","B2P05"
"c5579743-d2e3-437b-8204-535efa3ae99b","","checklist-sectioned","pass","0d7cc021392ddd0b1c0167cd424e65ec011894ff5c022c22b98f7bcd50f84d87","checklist","FALSE","FALSE","Building A","Basement 2","B2P06"
"85c66a76-48ce-4f09-8253-f1b72e31d748","","checklist-sectioned","pass","0d7cc021392ddd0b1c0167cd424e65ec011894ff5c022c22b98f7bcd50f84d87","checklist","FALSE","FALSE","Building A","Basement 2","B2P07"
"ad475e65-4a8c-4ea4-b445-a05af08829a8","","checklist-sectioned","pass","0d7cc021392ddd0b1c0167cd424e65ec011894ff5c022c22b98f7bcd50f84d87","checklist","FALSE","FALSE","Building A","Basement 2","B2P08"
"b3334cb8-d95d-4ef4-8650-fedd0ba52a81","","checklist-sectioned","pass","0d7cc021392ddd0b1c0167cd424e65ec011894ff5c022c22b98f7bcd50f84d87","checklist","FALSE","FALSE","Building A","Basement 2","B2P09"
"ffb2f0c9-648d-47b4-ae79-159b07008762","","checklist-sectioned","pass","0d7cc021392ddd0b1c0167cd424e65ec011894ff5c022c22b98f7bcd50f84d87","checklist","FALSE","FALSE","Building A","Basement 2","B2P10"
"051bc843-4ad2-4d5c-898c-66cc176e8595","","checklist-sectioned","pass","a7d6c81fc712a5ab68a066215771eb7300a6ed80e0152fbcf83729cd37ba5ed7","checklist","FALSE","FALSE","Building A","Basement 2","B2P11"
"f035655b-7ff0-4530-a7b7-687b8138c4e8","","checklist-sectioned","pass","0d7cc021392ddd0b1c0167cd424e65ec011894ff5c022c22b98f7bcd50f84d87","checklist","FALSE","FALSE","Building A","Basement 2","B2P12"
"08a7b20d-826e-4c6e-a1af-abe3a9d9b7a1","","checklist-sectioned","pass","0d7cc021392ddd0b1c0167cd424e65ec011894ff5c022c22b98f7bcd50f84d87","checklist","FALSE","FALSE","Building A","Basement 2","B2P13"
"47d1d254-43c6-4430-bef8-0e504702f8fa","","checklist-sectioned","pass","0d7cc021392ddd0b1c0167cd424e65ec011894ff5c022c22b98f7bcd50f84d87","checklist","FALSE","FALSE","Building A","Basement 2","B2P14"
"b68a2b80-ec7a-4e0d-b1c7-e558df88a45f","","checklist-sectioned","pass","a7d6c81fc712a5ab68a066215771eb7300a6ed80e0152fbcf83729cd37ba5ed7","checklist","FALSE","FALSE","Building A","Basement 2","B2P15"
"8540d036-71f1-43b5-947b-41a2582467c1","","checklist-sectioned","pass","a7d6c81fc712a5ab68a066215771eb7300a6ed80e0152fbcf83729cd37ba5ed7","checklist","FALSE","FALSE","Building A","Basement 2","B2P15A"
"26ec4679-fcf1-4e91-97d6-b48f6a573079","","checklist-sectioned","pass","0d7cc021392ddd0b1c0167cd424e65ec011894ff5c022c22b98f7bcd50f84d87","checklist","FALSE","FALSE","Building A","Basement 2","B2P16"
"ebe2bd26-9102-453d-a16a-997807bc9321","","checklist-sectioned","pass","0d7cc021392ddd0b1c0167cd424e65ec011894ff5c022c22b98f7bcd50f84d87","checklist","FALSE","FALSE","Building A","Basement 2","B2P17"
"f737da2a-7180-4165-87bb-a3348878b4f8","","checklist-sectioned","pass","0d7cc021392ddd0b1c0167cd424e65ec011894ff5c022c22b98f7bcd50f84d87","checklist","FALSE","FALSE","Building A","Basement 2","B2P18"
"78bbfb5a-ce2f-47dd-8297-60104213d7de","","folder-normal","pass","","step","TRUE","FALSE","Building A","Level 1"
"e30140d6-4190-45eb-85d1-2e50ee610a58","","checklist-sectioned","pass","96b5fc3d0f619705191ead6bb99a4ca9c7f7c14937c2e2798191ac53df5ee897","checklist","FALSE","FALSE","Building A","Level 1","A-L1C01"
"30020b8c-a652-4085-bb38-1b84cb051a9a","","checklist-sectioned","pass","96b5fc3d0f619705191ead6bb99a4ca9c7f7c14937c2e2798191ac53df5ee897","checklist","FALSE","FALSE","Building A","Level 1","A-L1C02"
"d8ca1f16-86be-4fe4-a872-119d4bbdca17","","checklist-sectioned","pass","96b5fc3d0f619705191ead6bb99a4ca9c7f7c14937c2e2798191ac53df5ee897","checklist","FALSE","FALSE","Building A","Level 1","A-L1C03"
"0044af74-2495-41ea-b030-d3628634ac71","","checklist-sectioned","pass","96b5fc3d0f619705191ead6bb99a4ca9c7f7c14937c2e2798191ac53df5ee897","checklist","FALSE","FALSE","Building A","Level 1","A-L1C62"
"01ef625a-c6b5-4e60-b52d-9d505bab8f69","","checklist-sectioned","pass","96b5fc3d0f619705191ead6bb99a4ca9c7f7c14937c2e2798191ac53df5ee897","checklist","FALSE","FALSE","Building A","Level 1","A-L1C63"
"adf1ccbd-08cb-4a94-904a-0577adb5fb7a","","checklist-sectioned","pass","96b5fc3d0f619705191ead6bb99a4ca9c7f7c14937c2e2798191ac53df5ee897","checklist","FALSE","FALSE","Building A","Level 1","A-L1C64"
"2d44ee4c-71eb-4ba5-9fe7-68444a84de4f","","checklist-sectioned","pass","96b5fc3d0f619705191ead6bb99a4ca9c7f7c14937c2e2798191ac53df5ee897","checklist","FALSE","FALSE","Building A","Level 1","A-L1C65"
"275c5406-1287-4ca6-adc2-eb50ef4e1680","","checklist-sectioned","pass","96b5fc3d0f619705191ead6bb99a4ca9c7f7c14937c2e2798191ac53df5ee897","checklist","FALSE","FALSE","Building A","Level 1","A-L1C66"
"3fd16c26-8ba6-41cb-8003-0ef5a6cbafbe","","checklist-sectioned","pass","96b5fc3d0f619705191ead6bb99a4ca9c7f7c14937c2e2798191ac53df5ee897","checklist","FALSE","FALSE","Building A","Level 1","A-L1C67"
"df763841-f2b9-46c0-9041-1d92b7f5a4bb","","checklist-sectioned","pass","96b5fc3d0f619705191ead6bb99a4ca9c7f7c14937c2e2798191ac53df5ee897","checklist","FALSE","FALSE","Building A","Level 1","A-L1C68"
"d1a03cf2-1e3e-4c6e-9845-d79195e5ddf5","","checklist-sectioned","pass","96b5fc3d0f619705191ead6bb99a4ca9c7f7c14937c2e2798191ac53df5ee897","checklist","FALSE","FALSE","Building A","Level 1","A-L1C69"
"69bf4ff6-f6bd-40a4-94d5-6607d718d491","","checklist-sectioned","pass","96b5fc3d0f619705191ead6bb99a4ca9c7f7c14937c2e2798191ac53df5ee897","checklist","FALSE","FALSE","Building A","Level 1","A-L1C70"
"2e02c4a7-cf05-4d7c-a287-3943975fbfb4","","checklist-sectioned","pass","96b5fc3d0f619705191ead6bb99a4ca9c7f7c14937c2e2798191ac53df5ee897","checklist","FALSE","FALSE","Building A","Level 1","A-L1C71"
"44d20a97-f1bf-4dc8-b6a7-59a8fcc8e7bd","","checklist-sectioned","pass","96b5fc3d0f619705191ead6bb99a4ca9c7f7c14937c2e2798191ac53df5ee897","checklist","FALSE","FALSE","Building A","Level 1","A-L1C72"
"bc021b20-af57-4c4d-b7fc-cc5cf4565d80","","checklist-sectioned","pass","96b5fc3d0f619705191ead6bb99a4ca9c7f7c14937c2e2798191ac53df5ee897","checklist","FALSE","FALSE","Building A","Level 1","A-L1C73"
"b3978a9e-f3f0-4974-bac3-da30627b8b00","","checklist-sectioned","pass","96b5fc3d0f619705191ead6bb99a4ca9c7f7c14937c2e2798191ac53df5ee897","checklist","FALSE","FALSE","Building A","Level 1","A-L1C74"
"1e105e60-e4fe-451f-8fc5-d93584d5312f","","checklist-sectioned","pass","96b5fc3d0f619705191ead6bb99a4ca9c7f7c14937c2e2798191ac53df5ee897","checklist","FALSE","FALSE","Building A","Level 1","A-L1C75"
"2d091246-0597-448c-8fca-93c0a6a556f3","","checklist-sectioned","pass","96b5fc3d0f619705191ead6bb99a4ca9c7f7c14937c2e2798191ac53df5ee897","checklist","FALSE","FALSE","Building A","Level 1","A-L1C76"
"a65e5f63-fce8-4c2e-85dc-7081104ebad4","","checklist-sectioned","pass","96b5fc3d0f619705191ead6bb99a4ca9c7f7c14937c2e2798191ac53df5ee897","checklist","FALSE","FALSE","Building A","Level 1","A-L1C77"
