"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"964e8635-3a8f-4a1f-b7ad-90a459b17da6","","folder-normal","work-in-progress","","step","TRUE","FALSE","ROOF LEVEL 1 "
"da7deaf5-bc27-4270-a0b7-22cc8ee20363","","folder-normal","work-in-progress","","step","TRUE","FALSE","ROOF LEVEL 1 ","AREA 5"
"52faeeac-e11a-4ec8-be48-459d8537b2b0","","checklist-sectioned","work-in-progress","9afb06f1a24d31470eee9ec118cae77baf733ac09ffb0ce5e0fdbf3910bbe7ce","checklist","FALSE","FALSE","ROOF LEVEL 1 ","AREA 5","EnviroShield+ 250NS"
"ff52aa4f-ac51-512c-9428-82015bf8bb90","","checkpoint-group","pass","","","FALSE","FALSE","ROOF LEVEL 1 ","AREA 5","EnviroShield+ 250NS","BATCH DETAIL NUMBER OF PRODUCTS"
"f53e04c5-0f4a-579f-a9e9-a11e4565c6da","","checkpoint-status","pass","","","TRUE","TRUE","ROOF LEVEL 1 ","AREA 5","EnviroShield+ 250NS","BATCH DETAIL NUMBER OF PRODUCTS","Enviro Shield"
"b37382e9-fa4d-5a76-b6a2-8bf582421676","","checkpoint-status","pass","","","TRUE","TRUE","ROOF LEVEL 1 ","AREA 5","EnviroShield+ 250NS","BATCH DETAIL NUMBER OF PRODUCTS","Enviro Flex FC"
"d48a8067-b477-5faa-90b5-e93fbbae9ef6","","checkpoint-status","pass","","","TRUE","TRUE","ROOF LEVEL 1 ","AREA 5","EnviroShield+ 250NS","BATCH DETAIL NUMBER OF PRODUCTS","Enviro 250NS"
"fecf1e60-134f-55ca-b513-1f296c449b08","","checkpoint-status","pass","","","TRUE","TRUE","ROOF LEVEL 1 ","AREA 5","EnviroShield+ 250NS","BATCH DETAIL NUMBER OF PRODUCTS","Enviro 700X"
"864f0054-f500-55a6-a437-70bd79974245","","checkpoint-group","pass","","","FALSE","FALSE","ROOF LEVEL 1 ","AREA 5","EnviroShield+ 250NS","PRE COMMENCEMENT"
"c67ed3c9-da89-5bb1-9bd7-8fd86476d665","","checkpoint-status","pass","","","TRUE","TRUE","ROOF LEVEL 1 ","AREA 5","EnviroShield+ 250NS","PRE COMMENCEMENT","Material Management & Storage"
"8f5ef6d2-be73-5e52-9fc4-e575792b25d3","","checkpoint-status","pass","","","TRUE","TRUE","ROOF LEVEL 1 ","AREA 5","EnviroShield+ 250NS","PRE COMMENCEMENT","Subfloor Preperation"
"102872a4-f346-5c31-a211-148e337348ee","","checkpoint-group","work-in-progress","","","FALSE","FALSE","ROOF LEVEL 1 ","AREA 5","EnviroShield+ 250NS","PRIMING APPLICATION - ENVIROSHIELD"
"c24db4fc-75ad-569e-9143-48ec4e4da68e","","checkpoint-status","pass","","","TRUE","TRUE","ROOF LEVEL 1 ","AREA 5","EnviroShield+ 250NS","PRIMING APPLICATION - ENVIROSHIELD","Weather/RH"
"79a5d98e-9c72-5dfc-93db-ece0bf58505d","","checkpoint-status","not-started","","","TRUE","TRUE","ROOF LEVEL 1 ","AREA 5","EnviroShield+ 250NS","PRIMING APPLICATION - ENVIROSHIELD","Product Mixing"
"d3f42569-469a-5bdf-ab0c-348666cfc64a","","checkpoint-status","pass","","","TRUE","TRUE","ROOF LEVEL 1 ","AREA 5","EnviroShield+ 250NS","PRIMING APPLICATION - ENVIROSHIELD","Primer Application"
"79ef5fcc-0dab-5f67-ac78-12974ec6a8b2","","checkpoint-group","not-started","","","FALSE","FALSE","ROOF LEVEL 1 ","AREA 5","EnviroShield+ 250NS","Enviro 250-NS COATING - FIRST COAT"
"b7b652ed-5a0e-579d-b2c5-2c92e8116893","","checkpoint-status","not-started","","","TRUE","TRUE","ROOF LEVEL 1 ","AREA 5","EnviroShield+ 250NS","Enviro 250-NS COATING - FIRST COAT","Weather/RH"
"c35d350d-139c-534d-bcc4-b2cdc17a8cf0","","checkpoint-status","not-started","","","TRUE","TRUE","ROOF LEVEL 1 ","AREA 5","EnviroShield+ 250NS","Enviro 250-NS COATING - FIRST COAT","Product mixing"
"c43ba1bf-85d9-5553-8e7c-05bfd9deb79a","","checkpoint-status","not-started","","","TRUE","TRUE","ROOF LEVEL 1 ","AREA 5","EnviroShield+ 250NS","Enviro 250-NS COATING - FIRST COAT","250-NS Application"
"d8b54453-4964-5a55-a14f-6f043cbb9b8a","","checkpoint-group","not-started","","","FALSE","FALSE","ROOF LEVEL 1 ","AREA 5","EnviroShield+ 250NS","Enviro 250-NS COATING - SECOND COAT"
"52fc91b6-f57d-59e3-828a-f53e0e0a3d7d","","checkpoint-status","not-started","","","TRUE","TRUE","ROOF LEVEL 1 ","AREA 5","EnviroShield+ 250NS","Enviro 250-NS COATING - SECOND COAT","Weather/RH"
"10fe3b9c-f6d4-5815-b4c4-d91aba3ebea1","","checkpoint-status","not-started","","","TRUE","TRUE","ROOF LEVEL 1 ","AREA 5","EnviroShield+ 250NS","Enviro 250-NS COATING - SECOND COAT","Product mixing"
"90ddcd67-2c27-578a-855c-18433d390190","","checkpoint-status","not-started","","","TRUE","TRUE","ROOF LEVEL 1 ","AREA 5","EnviroShield+ 250NS","Enviro 250-NS COATING - SECOND COAT","250-NS Application"
"702379ab-bd0d-5c98-9033-9a62e2687306","","checkpoint-group","not-started","","","FALSE","FALSE","ROOF LEVEL 1 ","AREA 5","EnviroShield+ 250NS","QA/TESTING"
"bdf7f4ea-b3b8-56c9-88cb-1ecc5bcc838f","","checkpoint-status","not-started","","","TRUE","TRUE","ROOF LEVEL 1 ","AREA 5","EnviroShield+ 250NS","QA/TESTING","Inspection"
"476ff24a-71f7-59fd-9edb-23cbe97e9002","","checkpoint-group","no-status-not-started","","","FALSE","FALSE","ROOF LEVEL 1 ","AREA 5","EnviroShield+ 250NS","FINAL BUILDERS SIGN OFF"
"00629fa3-2359-5a3f-8022-b8907e0aadc2","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","ROOF LEVEL 1 ","AREA 5","EnviroShield+ 250NS","FINAL BUILDERS SIGN OFF","Signed off by Builder"
"288c4691-056e-5a86-9135-a0773c279b8f","","holdpoint","no-status-not-started","","","TRUE","TRUE","ROOF LEVEL 1 ","AREA 5","EnviroShield+ 250NS","FINAL BUILDERS SIGN OFF","Final Sign off."
"0462f32c-ac29-4671-abf1-5f5d650c0193","","checklist-flat","pass","Document Upload Checklist","checklist-flat","FALSE","FALSE","ROOF LEVEL 1 ","AREA 5","Markup drawing"
"fb499ea2-8412-51b9-b93a-4583f2823b17","","checkpoint-status","pass","","","TRUE","TRUE","ROOF LEVEL 1 ","AREA 5","Markup drawing","Documents attached below - details entered in comments"
"d8b12267-0084-4996-8312-c7260533e7c8","","folder-normal","work-in-progress","","step","TRUE","FALSE","ROOF LEVEL 1 ","AREA 6"
"5a06d932-f69d-457d-8284-00eb7478dddd","","checklist-sectioned","work-in-progress","8b9883c93ca0b58113b9fdcf8c898272d64d08bae4f2f9a49f3e26c29aa842ea","checklist","FALSE","FALSE","ROOF LEVEL 1 ","AREA 6","EnviroShield+ 250NS"
"7e02c28b-18f5-5a05-9aad-5a1ee2b0934d","","checkpoint-group","not-started","","","FALSE","FALSE","ROOF LEVEL 1 ","AREA 6","EnviroShield+ 250NS","BATCH DETAIL NUMBER OF PRODUCTS"
"9b67e86b-758a-5151-af54-46170b96e47f","","checkpoint-status","not-started","","","TRUE","TRUE","ROOF LEVEL 1 ","AREA 6","EnviroShield+ 250NS","BATCH DETAIL NUMBER OF PRODUCTS","Enviro Shield"
"11f8bb65-17e3-571b-9bd2-8f6671d21c8c","","checkpoint-status","not-started","","","TRUE","TRUE","ROOF LEVEL 1 ","AREA 6","EnviroShield+ 250NS","BATCH DETAIL NUMBER OF PRODUCTS","Enviro Flex FC"
"5eab2dba-bf07-5e9a-90a4-b41f1c6fae38","","checkpoint-status","not-started","","","TRUE","TRUE","ROOF LEVEL 1 ","AREA 6","EnviroShield+ 250NS","BATCH DETAIL NUMBER OF PRODUCTS","Enviro 250NS"
"33513c23-ffec-5707-a590-56a3057f7cda","","checkpoint-group","pass","","","FALSE","FALSE","ROOF LEVEL 1 ","AREA 6","EnviroShield+ 250NS","PRE COMMENCEMENT"
"af1dc37e-4f38-58cc-b889-f74a4f401ad4","","checkpoint-status","pass","","","TRUE","TRUE","ROOF LEVEL 1 ","AREA 6","EnviroShield+ 250NS","PRE COMMENCEMENT","Material Management & Storage"
"3de8fe32-64f9-5f28-b809-224e73b59a5a","","checkpoint-status","pass","","","TRUE","TRUE","ROOF LEVEL 1 ","AREA 6","EnviroShield+ 250NS","PRE COMMENCEMENT","Subfloor Preperation"
"9b2730be-d483-5a06-8f23-ba53385ec53e","","checkpoint-group","not-started","","","FALSE","FALSE","ROOF LEVEL 1 ","AREA 6","EnviroShield+ 250NS","PRIMING APPLICATION - ENVIROSHIELD"
"ccfb5cec-9d70-508b-9812-65cb746ebe13","","checkpoint-status","not-started","","","TRUE","TRUE","ROOF LEVEL 1 ","AREA 6","EnviroShield+ 250NS","PRIMING APPLICATION - ENVIROSHIELD","Weather/RH"
"e049d1f4-3f52-5169-b2ad-038ba3270086","","checkpoint-status","not-started","","","TRUE","TRUE","ROOF LEVEL 1 ","AREA 6","EnviroShield+ 250NS","PRIMING APPLICATION - ENVIROSHIELD","Product Mixing"
"3e35ea4b-5bb8-5bf4-8413-f7c407f84b78","","checkpoint-status","not-started","","","TRUE","TRUE","ROOF LEVEL 1 ","AREA 6","EnviroShield+ 250NS","PRIMING APPLICATION - ENVIROSHIELD","Primer Application"
"341377b5-1714-59ab-ad57-ec32b6e720dd","","checkpoint-group","not-started","","","FALSE","FALSE","ROOF LEVEL 1 ","AREA 6","EnviroShield+ 250NS","Enviro 250-NS COATING - FIRST COAT"
"ef5dc976-888c-5d28-a5ae-cd451a3f1d6e","","checkpoint-status","not-started","","","TRUE","TRUE","ROOF LEVEL 1 ","AREA 6","EnviroShield+ 250NS","Enviro 250-NS COATING - FIRST COAT","Weather/RH"
"523f74dd-c672-5972-b004-5bb8968b8a4d","","checkpoint-status","not-started","","","TRUE","TRUE","ROOF LEVEL 1 ","AREA 6","EnviroShield+ 250NS","Enviro 250-NS COATING - FIRST COAT","Product mixing"
"6225affc-89b9-5169-acc9-352905b6c2bc","","checkpoint-status","not-started","","","TRUE","TRUE","ROOF LEVEL 1 ","AREA 6","EnviroShield+ 250NS","Enviro 250-NS COATING - FIRST COAT","250-NS Application"
"1da1367a-8817-5094-b6b4-d75461a06458","","checkpoint-group","not-started","","","FALSE","FALSE","ROOF LEVEL 1 ","AREA 6","EnviroShield+ 250NS","Enviro 250-NS COATING - SECOND COAT"
"2f770de1-7243-5e63-8dcc-849837691f6e","","checkpoint-status","not-started","","","TRUE","TRUE","ROOF LEVEL 1 ","AREA 6","EnviroShield+ 250NS","Enviro 250-NS COATING - SECOND COAT","Weather/RH"
"99aae4d9-8017-58c5-adee-6506eb05f135","","checkpoint-status","not-started","","","TRUE","TRUE","ROOF LEVEL 1 ","AREA 6","EnviroShield+ 250NS","Enviro 250-NS COATING - SECOND COAT","Product mixing"
"e2c987d3-dfff-58d2-96c4-efdfa21f5602","","checkpoint-status","not-started","","","TRUE","TRUE","ROOF LEVEL 1 ","AREA 6","EnviroShield+ 250NS","Enviro 250-NS COATING - SECOND COAT","250-NS Application"
"bdd7ec9c-8ed5-5a50-b9af-7974ae049f0c","","checkpoint-group","not-started","","","FALSE","FALSE","ROOF LEVEL 1 ","AREA 6","EnviroShield+ 250NS","QA/TESTING"
"418600e4-842c-5507-ac50-f348359094ab","","checkpoint-status","not-started","","","TRUE","TRUE","ROOF LEVEL 1 ","AREA 6","EnviroShield+ 250NS","QA/TESTING","Inspection"
"51836834-631c-567e-aa6d-794baf4cb49b","","checkpoint-group","no-status-not-started","","","FALSE","FALSE","ROOF LEVEL 1 ","AREA 6","EnviroShield+ 250NS","FINAL BUILDERS SIGN OFF"
"ba8803fb-d7c2-5035-ae87-15d44c5ce819","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","ROOF LEVEL 1 ","AREA 6","EnviroShield+ 250NS","FINAL BUILDERS SIGN OFF","Signed off by Builder"
"e665c850-1238-5e1e-bd2d-701b8ea90086","","holdpoint","no-status-not-started","","","TRUE","TRUE","ROOF LEVEL 1 ","AREA 6","EnviroShield+ 250NS","FINAL BUILDERS SIGN OFF","Final Sign off."
"62334944-ee31-4980-abc4-bd9d6ca888a1","","checklist-flat","pass","Document Upload Checklist","checklist-flat","FALSE","FALSE","ROOF LEVEL 1 ","AREA 6","Markup drawing"
"6af214e3-a083-5312-8674-a7d67a79b18f","","checkpoint-status","pass","","","TRUE","TRUE","ROOF LEVEL 1 ","AREA 6","Markup drawing","Documents attached below - details entered in comments"
"6fdd4c86-d063-4881-a678-859b5ba3e2c1","","folder-normal","work-in-progress","","step","TRUE","FALSE","ROOF LEVEL 1 ","AREA 8 "
"a2b0a037-4abf-4031-ac08-73158ae003fc","","checklist-sectioned","work-in-progress","8b9883c93ca0b58113b9fdcf8c898272d64d08bae4f2f9a49f3e26c29aa842ea","checklist","FALSE","FALSE","ROOF LEVEL 1 ","AREA 8 ","EnviroShield+ 250NS"
"3be5ada1-b6ba-5dea-8642-139c9a9894d0","","checkpoint-group","not-started","","","FALSE","FALSE","ROOF LEVEL 1 ","AREA 8 ","EnviroShield+ 250NS","BATCH DETAIL NUMBER OF PRODUCTS"
"61e9bdee-f2ad-52d0-bbf6-4b40f9d6a456","","checkpoint-status","not-started","","","TRUE","TRUE","ROOF LEVEL 1 ","AREA 8 ","EnviroShield+ 250NS","BATCH DETAIL NUMBER OF PRODUCTS","Enviro Shield"
"28f023c2-bb3e-549c-b3e5-6bed367cfa1f","","checkpoint-status","not-started","","","TRUE","TRUE","ROOF LEVEL 1 ","AREA 8 ","EnviroShield+ 250NS","BATCH DETAIL NUMBER OF PRODUCTS","Enviro Flex FC"
"c7eb41c5-a2cf-5666-bb55-1ef3c6919cc2","","checkpoint-status","not-started","","","TRUE","TRUE","ROOF LEVEL 1 ","AREA 8 ","EnviroShield+ 250NS","BATCH DETAIL NUMBER OF PRODUCTS","Enviro 250NS"
"cd309e49-81db-502f-9e41-81a1130855f7","","checkpoint-group","pass","","","FALSE","FALSE","ROOF LEVEL 1 ","AREA 8 ","EnviroShield+ 250NS","PRE COMMENCEMENT"
"c3e4cd26-5a68-5dce-adc1-4c64dfd18cb9","","checkpoint-status","pass","","","TRUE","TRUE","ROOF LEVEL 1 ","AREA 8 ","EnviroShield+ 250NS","PRE COMMENCEMENT","Material Management & Storage"
"e7550035-a091-533e-8629-5f1cca428ce2","","checkpoint-status","pass","","","TRUE","TRUE","ROOF LEVEL 1 ","AREA 8 ","EnviroShield+ 250NS","PRE COMMENCEMENT","Subfloor Preperation"
"1c7656dc-ce1b-5f16-9b71-4f5cd042f5fd","","checkpoint-group","not-started","","","FALSE","FALSE","ROOF LEVEL 1 ","AREA 8 ","EnviroShield+ 250NS","PRIMING APPLICATION - ENVIROSHIELD"
"7ea13c10-4c1c-5ce6-900d-e408d981392c","","checkpoint-status","not-started","","","TRUE","TRUE","ROOF LEVEL 1 ","AREA 8 ","EnviroShield+ 250NS","PRIMING APPLICATION - ENVIROSHIELD","Weather/RH"
"c5eae7ce-a9f4-53f7-8ff4-bd220af29a2b","","checkpoint-status","not-started","","","TRUE","TRUE","ROOF LEVEL 1 ","AREA 8 ","EnviroShield+ 250NS","PRIMING APPLICATION - ENVIROSHIELD","Product Mixing"
"15b7e21f-3bb9-5654-babc-56911e35e711","","checkpoint-status","not-started","","","TRUE","TRUE","ROOF LEVEL 1 ","AREA 8 ","EnviroShield+ 250NS","PRIMING APPLICATION - ENVIROSHIELD","Primer Application"
"fddcc919-1195-57d8-930d-c83baa8e1d61","","checkpoint-group","not-started","","","FALSE","FALSE","ROOF LEVEL 1 ","AREA 8 ","EnviroShield+ 250NS","Enviro 250-NS COATING - FIRST COAT"
"edc14e2b-af8e-5f41-852d-b68b6f711886","","checkpoint-status","not-started","","","TRUE","TRUE","ROOF LEVEL 1 ","AREA 8 ","EnviroShield+ 250NS","Enviro 250-NS COATING - FIRST COAT","Weather/RH"
"93509c4c-184c-5af8-81b2-7ef1cb2cfea4","","checkpoint-status","not-started","","","TRUE","TRUE","ROOF LEVEL 1 ","AREA 8 ","EnviroShield+ 250NS","Enviro 250-NS COATING - FIRST COAT","Product mixing"
"47c79991-221c-5a79-8bef-d536d13626b9","","checkpoint-status","not-started","","","TRUE","TRUE","ROOF LEVEL 1 ","AREA 8 ","EnviroShield+ 250NS","Enviro 250-NS COATING - FIRST COAT","250-NS Application"
"4776c0e5-53b6-5ab6-ba48-699d174a1212","","checkpoint-group","not-started","","","FALSE","FALSE","ROOF LEVEL 1 ","AREA 8 ","EnviroShield+ 250NS","Enviro 250-NS COATING - SECOND COAT"
"ca71956a-b22c-5188-a017-4dc3897030b9","","checkpoint-status","not-started","","","TRUE","TRUE","ROOF LEVEL 1 ","AREA 8 ","EnviroShield+ 250NS","Enviro 250-NS COATING - SECOND COAT","Weather/RH"
"8d63a74b-b4f2-569a-abb7-a32862974eec","","checkpoint-status","not-started","","","TRUE","TRUE","ROOF LEVEL 1 ","AREA 8 ","EnviroShield+ 250NS","Enviro 250-NS COATING - SECOND COAT","Product mixing"
"2089cb5d-6e85-52b2-b84a-c0f024780e1a","","checkpoint-status","not-started","","","TRUE","TRUE","ROOF LEVEL 1 ","AREA 8 ","EnviroShield+ 250NS","Enviro 250-NS COATING - SECOND COAT","250-NS Application"
"e88da95f-899a-5e09-8774-a2ad7eec03d3","","checkpoint-group","not-started","","","FALSE","FALSE","ROOF LEVEL 1 ","AREA 8 ","EnviroShield+ 250NS","QA/TESTING"
"ddcb70b9-06d9-586c-a29e-99e762608704","","checkpoint-status","not-started","","","TRUE","TRUE","ROOF LEVEL 1 ","AREA 8 ","EnviroShield+ 250NS","QA/TESTING","Inspection"
"12712bea-7a98-5ead-ad54-bf761bf12c99","","checkpoint-group","no-status-not-started","","","FALSE","FALSE","ROOF LEVEL 1 ","AREA 8 ","EnviroShield+ 250NS","FINAL BUILDERS SIGN OFF"
"9a9fc713-a8a0-5e18-a711-dedff5dfcd9a","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","ROOF LEVEL 1 ","AREA 8 ","EnviroShield+ 250NS","FINAL BUILDERS SIGN OFF","Signed off by Builder"
"f97c94ee-0f70-5cb2-82ca-dd4c259fa67e","","holdpoint","no-status-not-started","","","TRUE","TRUE","ROOF LEVEL 1 ","AREA 8 ","EnviroShield+ 250NS","FINAL BUILDERS SIGN OFF","Final Sign off."
"c0e34693-b0cc-488b-92a7-5da27c41a652","","checklist-flat","pass","Document Upload Checklist","checklist-flat","FALSE","FALSE","ROOF LEVEL 1 ","AREA 8 ","Markup drawing"
"4e3c3bd6-c077-592b-88d3-d789bf2e8adb","","checkpoint-status","pass","","","TRUE","TRUE","ROOF LEVEL 1 ","AREA 8 ","Markup drawing","Documents attached below - details entered in comments"
