"Rich Type","Id","Warnings","type","name","values","prefix","postfix","Usage Count","User Addable","Template Name","Template Id"
"checklist-sectioned",,"","checklist","QA - Curtain Window Install",,,,26,"Yes","QA - Curtain Window Install","065271b5-b9bf-466d-9dec-52f53660de49"
"checkpoint-status",,"","checkpoint","Internal flashing/Seal"
"checkpoint-status",,"","checkpoint","External Flashing/Seal"
"checkpoint-group",,"","section","Install curtain wall on ground floor"
"checkpoint-status",,"","checkpoint","Set to correct/same height (Using M8 bolt facade system) (Level)"
"checkpoint-status",,"","checkpoint","Gutter Splice"
"checkpoint-status",,"","checkpoint","Mullion spacing"
"checkpoint-status",,"","checkpoint","Fireproofing installed (by others)"
"checkpoint-status",,"","checkpoint","Internal flashing installed to mezzanine level"
"checkpoint-status",,"","checkpoint","Internal Sealant (if any)"
"checkpoint-status",,"","checkpoint","Vertical accuracy (Plumb)"
"checkpoint-group",,"","section","Trade Clean (Reported damages, Finished product)"
"checkpoint-status",,"","checkpoint","Remove unnecessary packers, glass stickers"
"checkpoint-status",,"","checkpoint","Remove excess silicone (if any)"
"checkpoint-status",,"","checkpoint","Damages to product (Scratches, dents, etc.)"

"checklist-sectioned",,"","checklist","QA - Curtain Window Install (Mezzanine)",,,,32,"Yes","QA - Curtain Window Install (Mezzanine)","b9369d88-8deb-425c-ac63-d5fe942b48f6"
"checkpoint-group",,"","section","Sill tray set out"
"checkpoint-status",,"","checkpoint","Gutter Splice"
"checkpoint-status",,"","checkpoint","Hole centers (Max 450 centers)"
"checkpoint-status",,"","checkpoint","Correct packing"
"checkpoint-status",,"","checkpoint","Internal Weather Seal"
"checkpoint-status",,"","checkpoint","External Weather Seal"
"checkpoint-status",,"","checkpoint","External flashing"
"checkpoint-status",,"","checkpoint","Bolt hole seal"
"checkpoint-status",,"","checkpoint","Correct height/Position on the gridline"
"checkpoint-status",,"","checkpoint","End dam installed/sealed"
"checkpoint-group",,"","section","Bracket installation (Type A, B,C & D)"
"checkpoint-status",,"","checkpoint","2x M12 316 Stainless Steel Dynabolt fixings (70mm min)"
"checkpoint-status",,"","checkpoint","Installed in correct location according to drawings"
"checkpoint-group",,"","section","Install curtain wall on Mezzanine"
"checkpoint-status",,"","checkpoint","Set to correct/same height (Using M8 bolt facade system) (Level)"
"checkpoint-status",,"","checkpoint","Vertical accuracy (Plumb)"
"checkpoint-status",,"","checkpoint","Mullion spacing"
"checkpoint-status",,"","checkpoint","External flashing (If any)"
"checkpoint-status",,"","checkpoint","External weatherproof seal (Head Seal)"
"checkpoint-group",,"","section","Trade Clean (Reported damages, Finished product)"
"checkpoint-status",,"","checkpoint","Remove unnecessary packers, glass stickers"
"checkpoint-status",,"","checkpoint","Remove excess silicone (if any)"
"checkpoint-status",,"","checkpoint","Damages to product (Scratches, dents, etc.)"

"checklist-sectioned",,"","checklist","QA - Curtain Window Install (Mezzanine & Seismic Jamb)",,,,2,"Yes","QA - Curtain Window Install (Mezzanine & Seismic Jamb)","ff8138ae-6719-46ea-8cd7-efe4a06d8d70"
"checkpoint-group",,"","section","Sill tray set out"
"checkpoint-status",,"","checkpoint","Gutter Splice"
"checkpoint-status",,"","checkpoint","Hole centers (Max 450 centers)"
"checkpoint-status",,"","checkpoint","Correct packing"
"checkpoint-status",,"","checkpoint","Internal Weather Seal"
"checkpoint-status",,"","checkpoint","External Weather Seal"
"checkpoint-status",,"","checkpoint","External flashing"
"checkpoint-status",,"","checkpoint","Bolt hole seal"
"checkpoint-status",,"","checkpoint","Correct height/Position on the gridline"
"checkpoint-status",,"","checkpoint","End dam installed/sealed"
"checkpoint-group",,"","section","Bracket installation (Type A, B,C & D)"
"checkpoint-status",,"","checkpoint","2x M12 316 Stainless Steel Dynabolt fixings (70mm min)"
"checkpoint-status",,"","checkpoint","Installed in correct location according to drawings"
"checkpoint-group",,"","section","Seismic Jamb Installation"
"checkpoint-status",,"","checkpoint","Concrete primer (Sika Primer)"
"checkpoint-status",,"","checkpoint","Galvanised steel angle installed in correct position"
"checkpoint-status",,"","checkpoint","M8 316 Stainless steel dynabolts installed (Max 450 centers)"
"checkpoint-status",,"","checkpoint","Jamb installed to correct orientation"
"checkpoint-status",,"","checkpoint","Internal flashing/Seal"
"checkpoint-status",,"","checkpoint","External Flashing/Seal"
"checkpoint-group",,"","section","Install curtain wall on Mezzanine"
"checkpoint-status",,"","checkpoint","Set to correct/same height (Using M8 bolt facade system) (Level)"
"checkpoint-status",,"","checkpoint","Vertical accuracy (Plumb)"
"checkpoint-status",,"","checkpoint","Mullion spacing"
"checkpoint-status",,"","checkpoint","External flashing (If any)"
"checkpoint-status",,"","checkpoint","External weatherproof seal (Head Seal)"
"checkpoint-group",,"","section","Trade Clean (Reported damages, Finished product)"
"checkpoint-status",,"","checkpoint","Remove unnecessary packers, glass stickers"
"checkpoint-status",,"","checkpoint","Remove excess silicone (if any)"
"checkpoint-status",,"","checkpoint","Damages to product (Scratches, dents, etc.)"

