"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"8b0d0c07-2b4b-4c1c-9111-88c35c6cacc6","","checklist-flat","work-in-progress","Job Details","checklist-flat","FALSE","FALSE","Mowbray - Job Details"
"309dfd82-2a51-4844-8226-1d1ea15430c0","","folder-normal","work-in-progress","","step","TRUE","FALSE","Manufacture QA"
"54fe2989-c31e-4ace-a0f9-00b83fa308e2","","folder-normal","pass","","step","TRUE","FALSE","Manufacture QA","Level 1"
"06676a39-f534-4b34-ae62-b48a31c9b91b","","folder-normal","pass","","step","TRUE","FALSE","Manufacture QA","Level 1","Panel"
"84640fd4-694d-4bb3-973f-8e97c2a0e385","","checklist-sectioned","pass","513a39fe7f98da523653d74b035a9e8bd8e23d86f75f635fe185b0c000cb2ab9","checklist","FALSE","FALSE","Manufacture QA","Level 1","Panel","01-01"
"f269f66e-eb34-476d-9e4f-04846a5b8e32","","checklist-sectioned","pass","513a39fe7f98da523653d74b035a9e8bd8e23d86f75f635fe185b0c000cb2ab9","checklist","FALSE","FALSE","Manufacture QA","Level 1","Panel","01-02"
"0b954056-4352-4012-9023-e9e3f85db3b1","","checklist-sectioned","pass","513a39fe7f98da523653d74b035a9e8bd8e23d86f75f635fe185b0c000cb2ab9","checklist","FALSE","FALSE","Manufacture QA","Level 1","Panel","01-03"
"92f435c6-0907-4b2f-bd37-4525b824fb53","","checklist-sectioned","pass","513a39fe7f98da523653d74b035a9e8bd8e23d86f75f635fe185b0c000cb2ab9","checklist","FALSE","FALSE","Manufacture QA","Level 1","Panel","01-04"
"4bf63be9-1824-4648-856b-372e42d0ff4b","","checklist-sectioned","pass","513a39fe7f98da523653d74b035a9e8bd8e23d86f75f635fe185b0c000cb2ab9","checklist","FALSE","FALSE","Manufacture QA","Level 1","Panel","01-05"
"f464f179-a43f-4bfe-bc1e-7900f501788a","","checklist-sectioned","pass","513a39fe7f98da523653d74b035a9e8bd8e23d86f75f635fe185b0c000cb2ab9","checklist","FALSE","FALSE","Manufacture QA","Level 1","Panel","01-06"
"44548d57-4b83-4340-bc40-cd5b7ec3c211","","checklist-sectioned","pass","513a39fe7f98da523653d74b035a9e8bd8e23d86f75f635fe185b0c000cb2ab9","checklist","FALSE","FALSE","Manufacture QA","Level 1","Panel","01-07"
"f03b735f-2c9b-4e96-9862-a79422640a13","","checklist-sectioned","pass","513a39fe7f98da523653d74b035a9e8bd8e23d86f75f635fe185b0c000cb2ab9","checklist","FALSE","FALSE","Manufacture QA","Level 1","Panel","01-08"
"7313d932-55d7-4320-a010-09a631ce9569","","checklist-sectioned","pass","513a39fe7f98da523653d74b035a9e8bd8e23d86f75f635fe185b0c000cb2ab9","checklist","FALSE","FALSE","Manufacture QA","Level 1","Panel","01-09"
"91d51bdb-cc7f-4c30-befe-45068130aa9f","","folder-normal","pass","","step","TRUE","FALSE","Manufacture QA","Level 1","Special"
"16d7404d-0769-4a7a-bbdb-adfdcacc25aa","","checklist-sectioned","pass","Manufacturing Checklist","checklist","FALSE","FALSE","Manufacture QA","Level 1","Special","01-10"
"57c424be-124d-491b-bcde-1eccf15deddf","","checklist-sectioned","pass","Manufacturing Checklist","checklist","FALSE","FALSE","Manufacture QA","Level 1","Special","01-11"
"9efee6c5-c6fa-4a49-836d-383894012125","","checklist-sectioned","pass","Manufacturing Checklist","checklist","FALSE","FALSE","Manufacture QA","Level 1","Special","01-12"
"89fa55c5-63e7-42fc-8d0c-ad45b64e6bc2","","checklist-sectioned","pass","Manufacturing Checklist","checklist","FALSE","FALSE","Manufacture QA","Level 1","Special","01-13"
