Step Id,Warnings,Rich Type,State,resource,type,addStep,addPost,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5
6f024ef3-54fc-5ebe-acb0-0d447338524f,,checkpoint-group,not-started,,,FALSE,FALSE,Site QA,Level 1,External,Westside,
483fa55a-d93d-5b09-9b1b-4dfafd9c0c00,,checkpoint-group,not-started,,,FALSE,FALSE,Site QA,Level 2,External,Westside,
f3a8942e-64d8-5b81-b99d-c7ed5f62b1f7,,checkpoint-group,not-started,,,FALSE,FALSE,Site QA,Level 3,External,Westside,
f5144ed3-90dd-52bb-a061-dbd7c80c5ff2,,checkpoint-group,not-started,,,FALSE,FALSE,Site QA,Level 4,External,Westside,
02bf27a1-c204-54d3-9c9f-ce75242689ef,,checkpoint-group,not-started,,,FALSE,FALSE,Site QA,Level 5,External,Westside,
87638b24-ab97-5c26-b02f-3938da55248e,,checkpoint-group,not-started,,,FALSE,FALSE,Site QA,Level 6,External,Westside,
6aab639d-b208-54d7-8315-ec2ea27b04ad,,checkpoint-group,not-started,,,FALSE,FALSE,Site QA,Level 7,External,Westside,
05b827e6-9f90-5182-a0d9-4cd11972d7d4,,checkpoint-group,work-in-progress,,,FALSE,FALSE,Site QA,Level 8,External,Westside,
21415b3a-4b8c-5a27-ac44-cc2498480be0,,checkpoint-group,not-started,,,FALSE,FALSE,Site QA,Level 9,External,Westside,
bd2d7969-ca55-5272-9a44-1c48d2a26fa4,,checkpoint-group,not-started,,,FALSE,FALSE,Site QA,Level 10,External,Westside,
d32db9bc-c919-5b0c-97bf-4d97aa55f9db,,checkpoint-group,not-started,,,FALSE,FALSE,Site QA,Level 11,External,Westside,
ff7bbede-2bd0-5ee7-8446-0e3a221479a1,,checkpoint-group,not-started,,,FALSE,FALSE,Site QA,Level 12,External,Westside,
7c92b7e7-aa17-5f67-8c1b-2efe407acd35,,checkpoint-group,not-started,,,FALSE,FALSE,Site QA,Level 13,External,Westside,
32bf4637-7daa-5f45-a303-a8dbd51d5a17,,checkpoint-group,not-started,,,FALSE,FALSE,Site QA,Level 14,External,Westside,
2ecbb481-bce7-5e41-8d2c-f338ffd70390,,checkpoint-group,not-started,,,FALSE,FALSE,Site QA,Level 15,External,Westside,
88762d43-55d7-5e54-97ef-701019fa88b8,,checkpoint-group,not-started,,,FALSE,FALSE,Site QA,Level 16,External,Westside,
00462cbd-746e-5c8a-bd48-f1510bd5cb80,,checkpoint-group,not-started,,,FALSE,FALSE,Site QA,Level 17,External,Westside,
0e7d9609-762c-505b-b01c-52b8beb3a51b,,checkpoint-group,not-started,,,FALSE,FALSE,Site QA,Level 18,External,Westside,
96625196-2719-5aaa-b866-a79d55c628f1,,checkpoint-group,not-started,,,FALSE,FALSE,Site QA,Level 19,External,Westside,
7645bb2b-5666-50ea-bed8-6fe3797aff9d,,checkpoint-group,not-started,,,FALSE,FALSE,Site QA,Level 20,External,Westside,
afb1bd42-96c3-5b16-8e08-ecb31b29c651,,checkpoint-group,not-started,,,FALSE,FALSE,Site QA,Level 21,External,Westside,
cc15d23e-fb07-5b6b-95e4-4013cc2b21ee,,checkpoint-group,not-started,,,FALSE,FALSE,Site QA,Level 22,External,Westside,
08da5965-2a0c-504e-899b-fbd3d60c4925,,checkpoint-group,not-started,,,FALSE,FALSE,Site QA,Level 23,External,Westside,
a143344d-0aea-531e-861d-744d68d51060,,checkpoint-group,not-started,,,FALSE,FALSE,Site QA,Level 24,External,Westside,
f2248231-8a81-5e0f-beca-5eb2263944a8,,checkpoint-group,not-started,,,FALSE,FALSE,Site QA,Level 25,External,Westside,
bd2b8de4-7ae7-5132-81c0-bf94295f8a9d,,checkpoint-group,not-started,,,FALSE,FALSE,Site QA,Level 26,External,Westside,
a404fec5-6a66-5b16-90a8-30b3fbb43d14,,checkpoint-group,not-started,,,FALSE,FALSE,Site QA,Level 27,External,Westside,
f9b8b568-5640-5003-9850-71804995b2ba,,checkpoint-group,not-started,,,FALSE,FALSE,Site QA,Level 28,External,Westside,
66cf182a-d950-59b3-a985-8b34293e849a,,checkpoint-group,not-started,,,FALSE,FALSE,Site QA,Level 29,External,Westside,
c541b1c2-b0cc-5b68-bf67-6ed384174c43,,checkpoint-group,not-started,,,FALSE,FALSE,Site QA,Level 30,External,Westside,
9f91c749-d65b-5009-9eac-ee5608f89696,,checkpoint-group,not-started,,,FALSE,FALSE,Site QA,Level 31,External,Westside,
f0b33194-33c1-56ad-b706-99fc4555db00,,checkpoint-group,not-started,,,FALSE,FALSE,Site QA,Level 32,External,Westside,
93810393-4f2d-50d4-a8c0-074afdf7d65a,,checkpoint-group,not-started,,,FALSE,FALSE,Site QA,Level 33,External,Westside,
9a54c552-3986-5b09-88e8-2624f98057c4,,checkpoint-group,not-started,,,FALSE,FALSE,Site QA,Level 34,External,Westside,
f6e862d4-db3b-5513-8f7c-45259b926f60,,checkpoint-group,not-started,,,FALSE,FALSE,Site QA,Level 35,External,Westside,
7cea7f44-6d8f-5b7d-9112-882c2ca6d19d,,checkpoint-group,not-started,,,FALSE,FALSE,Site QA,Level 36,External,Westside,
3ec439bd-f408-51e8-a7de-f9dbbfed37b3,,checkpoint-group,not-started,,,FALSE,FALSE,Site QA,Level 37,External,Westside,
8fd6deb2-571c-54bd-a3ab-5265f1ed9aed,,checkpoint-group,not-started,,,FALSE,FALSE,Site QA,Level 38,External,Westside,
