"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"b7fb5dcb-864d-4df6-97e3-0c36e86f272d","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA"
"bba66228-5cbf-4ed0-a025-fd7efd218ffd","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Level 1"
"891fcc24-1c60-4bdc-8e4a-1d7735c0c195","","checklist-sectioned","work-in-progress","External Elements Installation Checklist","checklist","FALSE","FALSE","Site QA","Level 1","External"
"44fe3c77-7bbf-5177-9727-c154ba557a49","","checkpoint-group","work-in-progress","","","FALSE","FALSE","Site QA","Level 1","External","Westside"
"827113a0-110a-549e-9fdb-b83ceed9db30","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Site QA","Level 1","External","Westside","Slab edge installation Completed"
"820f2bcd-59a8-5497-beb9-375286d66e64","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","External","Westside","Vertical Full height sunshades installed"
"25aa7e9a-59c5-5a79-abc2-bd771bcbef3e","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","External","Westside","BMU Brackets installed"
"47cb5d9c-3961-5d86-bfb0-4858f78bd996","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","External","Westside","All end caps to feature completed"
"0ee90b71-5a4b-5589-a4d2-5ec16e4b6eae","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","External","Westside","All external trimming completed"
"fbbbd194-3ba3-5107-8f89-0493d2dc746e","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Site QA","Level 1","External","Westside","All external sealing completed"
"6f024ef3-54fc-5ebe-acb0-0d447338524f","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Level 1","External","Eastside"
"ec2cf812-8d3a-5366-b1c7-adbd47b9c2de","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","External","Eastside","Horizontal sunshade installed"
"ec0653a7-0f7a-5a0d-80ed-e3cb038bba4c","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","External","Eastside","Vertical fins detail installed"
"d1b02c55-5c52-54e8-9499-5964c23d7352","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","External","Eastside","All end caps to feature completed"
"1f9f8008-0428-5989-a642-55c7f445c747","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","External","Eastside","All external trimming completed"
"1d661785-af7b-5a71-b75e-a5e179dce9b8","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","External","Eastside","All external sealing completed"
"3d5fed2d-7ca8-4bfb-8ca9-2d1405bb3f6e","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Level 1","Lobby"
"c3b3015e-2ac5-4afc-bb50-7ea28043fa13","","checklist-flat","work-in-progress","Windows/Doors Installation Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 1","Lobby","W09-A"
"90a65435-5c42-54d4-baff-6643ce50de18","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Site QA","Level 1","Lobby","W09-A","Waterproofing angle completed"
"7da3b371-2c18-5193-be8b-e4df32b6c0b2","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Site QA","Level 1","Lobby","W09-A","(Attach photo)"
"70fcf04e-8f08-5443-b8b3-c8a4ad6655ae","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","Lobby","W09-A","Installation of sub-sill and caulked"
"3c0d3545-378e-5890-b342-dfaba3783557","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","Lobby","W09-A","(Attach photo)"
"4716e07e-4f71-57f7-96f4-e3bcd1140bee","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","Lobby","W09-A","Water test sub-sill"
"3eb42e9d-9ee1-588f-b7a4-f3ef80033ecd","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","Lobby","W09-A","(Attach photo)"
"a6a23a5c-85fb-50c5-83b7-1607a8f6d192","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","Lobby","W09-A","Installation of sub-head and caulked"
"2d222a54-a2d1-5649-92bf-fc8d24c79bf5","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","Lobby","W09-A","Install frames including trims to doors"
