resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
Balcony Checklist - Flinders Tower West,checklist,,,,,Balcony 17,,,,,,
,step,,,Level 11,,,,,,,,
,step,,,,Balconies,,,,,,,
Balcony Checklist - Flinders Tower West,checklist,,,,,Balcony 1,,,,,,
Balcony Checklist - Flinders Tower West,checklist,,,,,Balcony 2,,,,,,
Balcony Checklist - Flinders Tower West,checklist,,,,,Balcony 3,,,,,,
Balcony Checklist - Flinders Tower West,checklist,,,,,Balcony 4,,,,,,
Balcony Checklist - Flinders Tower West,checklist,,,,,Balcony 5,,,,,,
Balcony Checklist - Flinders Tower West,checklist,,,,,Balcony 6,,,,,,
Balcony Checklist - Flinders Tower West,checklist,,,,,Balcony 7,,,,,,
Balcony Checklist - Flinders Tower West,checklist,,,,,Balcony 8,,,,,,
Balcony Checklist - Flinders Tower West,checklist,,,,,Balcony 9,,,,,,
Balcony Checklist - Flinders Tower West,checklist,,,,,Balcony 10,,,,,,
Balcony Checklist - Flinders Tower West,checklist,,,,,Balcony 11,,,,,,
Balcony Checklist - Flinders Tower West,checklist,,,,,Balcony 12,,,,,,
Balcony Checklist - Flinders Tower West,checklist,,,,,Balcony 13,,,,,,
Balcony Checklist - Flinders Tower West,checklist,,,,,Balcony 14,,,,,,
Balcony Checklist - Flinders Tower West,checklist,,,,,Balcony 15,,,,,,
Balcony Checklist - Flinders Tower West,checklist,,,,,Balcony 16,,,,,,
Balcony Checklist - Flinders Tower West,checklist,,,,,Balcony 17,,,,,,
,step,,,Level 12,,,,,,,,
,step,,,,Balconies,,,,,,,
Balcony Checklist - Flinders Tower West,checklist,,,,,Balcony 1,,,,,,
Balcony Checklist - Flinders Tower West,checklist,,,,,Balcony 2,,,,,,
Balcony Checklist - Flinders Tower West,checklist,,,,,Balcony 3,,,,,,
Balcony Checklist - Flinders Tower West,checklist,,,,,Balcony 4,,,,,,
Balcony Checklist - Flinders Tower West,checklist,,,,,Balcony 5,,,,,,
Balcony Checklist - Flinders Tower West,checklist,,,,,Balcony 6,,,,,,
Balcony Checklist - Flinders Tower West,checklist,,,,,Balcony 7,,,,,,
Balcony Checklist - Flinders Tower West,checklist,,,,,Balcony 8,,,,,,
Balcony Checklist - Flinders Tower West,checklist,,,,,Balcony 9,,,,,,
Balcony Checklist - Flinders Tower West,checklist,,,,,Balcony 10,,,,,,
Balcony Checklist - Flinders Tower West,checklist,,,,,Balcony 11,,,,,,
Balcony Checklist - Flinders Tower West,checklist,,,,,Balcony 12,,,,,,
Balcony Checklist - Flinders Tower West,checklist,,,,,Balcony 13,,,,,,
Balcony Checklist - Flinders Tower West,checklist,,,,,Balcony 14,,,,,,
Balcony Checklist - Flinders Tower West,checklist,,,,,Balcony 15,,,,,,
Balcony Checklist - Flinders Tower West,checklist,,,,,Balcony 16,,,,,,
Balcony Checklist - Flinders Tower West,checklist,,,,,Balcony 17,,,,,,
