resource,resource,resource,resource,resource,resource,resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
"Amenities - Drains: Underslung - Sewer, Stormwater & Vent","Amenities - Drains: Stack Riser - Sewer, Stormwater & Vent",Amenities - Drains: Syphonic - Underslung,Amenities - Drains: Syphonic - Stack Riser,"Amenities - Drains: Greasy Waste - Underslung, Stacks & Vents","Amenities - Drains: Trade Waste - Underslung, Stacks & Vents",Amenities - Drains: Pumpline - Underslung & Stacks,Amenities - Pod Drain Connection (Prefab Bathroom or Laundry),folder-with-checklists,,,,,Cleaners Room,,,,,,
,,,,,,,,step,,,,Level 2,,,,,,,
"Amenities - Drains: Underslung - Sewer, Stormwater & Vent","Amenities - Drains: Stack Riser - Sewer, Stormwater & Vent",Amenities - Drains: Syphonic - Underslung,Amenities - Drains: Syphonic - Stack Riser,"Amenities - Drains: Greasy Waste - Underslung, Stacks & Vents","Amenities - Drains: Trade Waste - Underslung, Stacks & Vents",Amenities - Drains: Pumpline - Underslung & Stacks,Amenities - Pod Drain Connection (Prefab Bathroom or Laundry),folder-with-checklists,,,,,Male,,,,,,
"Amenities - Drains: Underslung - Sewer, Stormwater & Vent","Amenities - Drains: Stack Riser - Sewer, Stormwater & Vent",Amenities - Drains: Syphonic - Underslung,Amenities - Drains: Syphonic - Stack Riser,"Amenities - Drains: Greasy Waste - Underslung, Stacks & Vents","Amenities - Drains: Trade Waste - Underslung, Stacks & Vents",Amenities - Drains: Pumpline - Underslung & Stacks,Amenities - Pod Drain Connection (Prefab Bathroom or Laundry),folder-with-checklists,,,,,Female,,,,,,
"Amenities - Drains: Underslung - Sewer, Stormwater & Vent","Amenities - Drains: Stack Riser - Sewer, Stormwater & Vent",Amenities - Drains: Syphonic - Underslung,Amenities - Drains: Syphonic - Stack Riser,"Amenities - Drains: Greasy Waste - Underslung, Stacks & Vents","Amenities - Drains: Trade Waste - Underslung, Stacks & Vents",Amenities - Drains: Pumpline - Underslung & Stacks,Amenities - Pod Drain Connection (Prefab Bathroom or Laundry),folder-with-checklists,,,,,DDA,,,,,,
"Amenities - Drains: Underslung - Sewer, Stormwater & Vent","Amenities - Drains: Stack Riser - Sewer, Stormwater & Vent",Amenities - Drains: Syphonic - Underslung,Amenities - Drains: Syphonic - Stack Riser,"Amenities - Drains: Greasy Waste - Underslung, Stacks & Vents","Amenities - Drains: Trade Waste - Underslung, Stacks & Vents",Amenities - Drains: Pumpline - Underslung & Stacks,Amenities - Pod Drain Connection (Prefab Bathroom or Laundry),folder-with-checklists,,,,,Cleaners Room,,,,,,
,,,,,,,,step,,,,Level 3,,,,,,,
"Amenities - Drains: Underslung - Sewer, Stormwater & Vent","Amenities - Drains: Stack Riser - Sewer, Stormwater & Vent",Amenities - Drains: Syphonic - Underslung,Amenities - Drains: Syphonic - Stack Riser,"Amenities - Drains: Greasy Waste - Underslung, Stacks & Vents","Amenities - Drains: Trade Waste - Underslung, Stacks & Vents",Amenities - Drains: Pumpline - Underslung & Stacks,Amenities - Pod Drain Connection (Prefab Bathroom or Laundry),folder-with-checklists,,,,,Male,,,,,,
"Amenities - Drains: Underslung - Sewer, Stormwater & Vent","Amenities - Drains: Stack Riser - Sewer, Stormwater & Vent",Amenities - Drains: Syphonic - Underslung,Amenities - Drains: Syphonic - Stack Riser,"Amenities - Drains: Greasy Waste - Underslung, Stacks & Vents","Amenities - Drains: Trade Waste - Underslung, Stacks & Vents",Amenities - Drains: Pumpline - Underslung & Stacks,Amenities - Pod Drain Connection (Prefab Bathroom or Laundry),folder-with-checklists,,,,,Female,,,,,,
"Amenities - Drains: Underslung - Sewer, Stormwater & Vent","Amenities - Drains: Stack Riser - Sewer, Stormwater & Vent",Amenities - Drains: Syphonic - Underslung,Amenities - Drains: Syphonic - Stack Riser,"Amenities - Drains: Greasy Waste - Underslung, Stacks & Vents","Amenities - Drains: Trade Waste - Underslung, Stacks & Vents",Amenities - Drains: Pumpline - Underslung & Stacks,Amenities - Pod Drain Connection (Prefab Bathroom or Laundry),folder-with-checklists,,,,,DDA,,,,,,
"Amenities - Drains: Underslung - Sewer, Stormwater & Vent","Amenities - Drains: Stack Riser - Sewer, Stormwater & Vent",Amenities - Drains: Syphonic - Underslung,Amenities - Drains: Syphonic - Stack Riser,"Amenities - Drains: Greasy Waste - Underslung, Stacks & Vents","Amenities - Drains: Trade Waste - Underslung, Stacks & Vents",Amenities - Drains: Pumpline - Underslung & Stacks,Amenities - Pod Drain Connection (Prefab Bathroom or Laundry),folder-with-checklists,,,,,Cleaners Room,,,,,,
,,,,,,,,step,,,,Level 4,,,,,,,
"Amenities - Drains: Underslung - Sewer, Stormwater & Vent","Amenities - Drains: Stack Riser - Sewer, Stormwater & Vent",Amenities - Drains: Syphonic - Underslung,Amenities - Drains: Syphonic - Stack Riser,"Amenities - Drains: Greasy Waste - Underslung, Stacks & Vents","Amenities - Drains: Trade Waste - Underslung, Stacks & Vents",Amenities - Drains: Pumpline - Underslung & Stacks,Amenities - Pod Drain Connection (Prefab Bathroom or Laundry),folder-with-checklists,,,,,Male,,,,,,
"Amenities - Drains: Underslung - Sewer, Stormwater & Vent","Amenities - Drains: Stack Riser - Sewer, Stormwater & Vent",Amenities - Drains: Syphonic - Underslung,Amenities - Drains: Syphonic - Stack Riser,"Amenities - Drains: Greasy Waste - Underslung, Stacks & Vents","Amenities - Drains: Trade Waste - Underslung, Stacks & Vents",Amenities - Drains: Pumpline - Underslung & Stacks,Amenities - Pod Drain Connection (Prefab Bathroom or Laundry),folder-with-checklists,,,,,Female,,,,,,
"Amenities - Drains: Underslung - Sewer, Stormwater & Vent","Amenities - Drains: Stack Riser - Sewer, Stormwater & Vent",Amenities - Drains: Syphonic - Underslung,Amenities - Drains: Syphonic - Stack Riser,"Amenities - Drains: Greasy Waste - Underslung, Stacks & Vents","Amenities - Drains: Trade Waste - Underslung, Stacks & Vents",Amenities - Drains: Pumpline - Underslung & Stacks,Amenities - Pod Drain Connection (Prefab Bathroom or Laundry),folder-with-checklists,,,,,DDA,,,,,,
"Amenities - Drains: Underslung - Sewer, Stormwater & Vent","Amenities - Drains: Stack Riser - Sewer, Stormwater & Vent",Amenities - Drains: Syphonic - Underslung,Amenities - Drains: Syphonic - Stack Riser,"Amenities - Drains: Greasy Waste - Underslung, Stacks & Vents","Amenities - Drains: Trade Waste - Underslung, Stacks & Vents",Amenities - Drains: Pumpline - Underslung & Stacks,Amenities - Pod Drain Connection (Prefab Bathroom or Laundry),folder-with-checklists,,,,,Cleaners Room,,,,,,
,,,,,,,,step,,,,Level 5,,,,,,,
"Amenities - Drains: Underslung - Sewer, Stormwater & Vent","Amenities - Drains: Stack Riser - Sewer, Stormwater & Vent",Amenities - Drains: Syphonic - Underslung,Amenities - Drains: Syphonic - Stack Riser,"Amenities - Drains: Greasy Waste - Underslung, Stacks & Vents","Amenities - Drains: Trade Waste - Underslung, Stacks & Vents",Amenities - Drains: Pumpline - Underslung & Stacks,Amenities - Pod Drain Connection (Prefab Bathroom or Laundry),folder-with-checklists,,,,,Male,,,,,,
"Amenities - Drains: Underslung - Sewer, Stormwater & Vent","Amenities - Drains: Stack Riser - Sewer, Stormwater & Vent",Amenities - Drains: Syphonic - Underslung,Amenities - Drains: Syphonic - Stack Riser,"Amenities - Drains: Greasy Waste - Underslung, Stacks & Vents","Amenities - Drains: Trade Waste - Underslung, Stacks & Vents",Amenities - Drains: Pumpline - Underslung & Stacks,Amenities - Pod Drain Connection (Prefab Bathroom or Laundry),folder-with-checklists,,,,,Female,,,,,,
"Amenities - Drains: Underslung - Sewer, Stormwater & Vent","Amenities - Drains: Stack Riser - Sewer, Stormwater & Vent",Amenities - Drains: Syphonic - Underslung,Amenities - Drains: Syphonic - Stack Riser,"Amenities - Drains: Greasy Waste - Underslung, Stacks & Vents","Amenities - Drains: Trade Waste - Underslung, Stacks & Vents",Amenities - Drains: Pumpline - Underslung & Stacks,Amenities - Pod Drain Connection (Prefab Bathroom or Laundry),folder-with-checklists,,,,,DDA,,,,,,
"Amenities - Drains: Underslung - Sewer, Stormwater & Vent","Amenities - Drains: Stack Riser - Sewer, Stormwater & Vent",Amenities - Drains: Syphonic - Underslung,Amenities - Drains: Syphonic - Stack Riser,"Amenities - Drains: Greasy Waste - Underslung, Stacks & Vents","Amenities - Drains: Trade Waste - Underslung, Stacks & Vents",Amenities - Drains: Pumpline - Underslung & Stacks,Amenities - Pod Drain Connection (Prefab Bathroom or Laundry),folder-with-checklists,,,,,Cleaners Room,,,,,,
,,,,,,,,step,,,,Level 6,,,,,,,
"Amenities - Drains: Underslung - Sewer, Stormwater & Vent","Amenities - Drains: Stack Riser - Sewer, Stormwater & Vent",Amenities - Drains: Syphonic - Underslung,Amenities - Drains: Syphonic - Stack Riser,"Amenities - Drains: Greasy Waste - Underslung, Stacks & Vents","Amenities - Drains: Trade Waste - Underslung, Stacks & Vents",Amenities - Drains: Pumpline - Underslung & Stacks,Amenities - Pod Drain Connection (Prefab Bathroom or Laundry),folder-with-checklists,,,,,Male,,,,,,
"Amenities - Drains: Underslung - Sewer, Stormwater & Vent","Amenities - Drains: Stack Riser - Sewer, Stormwater & Vent",Amenities - Drains: Syphonic - Underslung,Amenities - Drains: Syphonic - Stack Riser,"Amenities - Drains: Greasy Waste - Underslung, Stacks & Vents","Amenities - Drains: Trade Waste - Underslung, Stacks & Vents",Amenities - Drains: Pumpline - Underslung & Stacks,Amenities - Pod Drain Connection (Prefab Bathroom or Laundry),folder-with-checklists,,,,,Female,,,,,,
"Amenities - Drains: Underslung - Sewer, Stormwater & Vent","Amenities - Drains: Stack Riser - Sewer, Stormwater & Vent",Amenities - Drains: Syphonic - Underslung,Amenities - Drains: Syphonic - Stack Riser,"Amenities - Drains: Greasy Waste - Underslung, Stacks & Vents","Amenities - Drains: Trade Waste - Underslung, Stacks & Vents",Amenities - Drains: Pumpline - Underslung & Stacks,Amenities - Pod Drain Connection (Prefab Bathroom or Laundry),folder-with-checklists,,,,,DDA,,,,,,
"Amenities - Drains: Underslung - Sewer, Stormwater & Vent","Amenities - Drains: Stack Riser - Sewer, Stormwater & Vent",Amenities - Drains: Syphonic - Underslung,Amenities - Drains: Syphonic - Stack Riser,"Amenities - Drains: Greasy Waste - Underslung, Stacks & Vents","Amenities - Drains: Trade Waste - Underslung, Stacks & Vents",Amenities - Drains: Pumpline - Underslung & Stacks,Amenities - Pod Drain Connection (Prefab Bathroom or Laundry),folder-with-checklists,,,,,Cleaners Room,,,,,,
,,,,,,,,step,,,,Level 7,,,,,,,
"Amenities - Drains: Underslung - Sewer, Stormwater & Vent","Amenities - Drains: Stack Riser - Sewer, Stormwater & Vent",Amenities - Drains: Syphonic - Underslung,Amenities - Drains: Syphonic - Stack Riser,"Amenities - Drains: Greasy Waste - Underslung, Stacks & Vents","Amenities - Drains: Trade Waste - Underslung, Stacks & Vents",Amenities - Drains: Pumpline - Underslung & Stacks,Amenities - Pod Drain Connection (Prefab Bathroom or Laundry),folder-with-checklists,,,,,Male,,,,,,
"Amenities - Drains: Underslung - Sewer, Stormwater & Vent","Amenities - Drains: Stack Riser - Sewer, Stormwater & Vent",Amenities - Drains: Syphonic - Underslung,Amenities - Drains: Syphonic - Stack Riser,"Amenities - Drains: Greasy Waste - Underslung, Stacks & Vents","Amenities - Drains: Trade Waste - Underslung, Stacks & Vents",Amenities - Drains: Pumpline - Underslung & Stacks,Amenities - Pod Drain Connection (Prefab Bathroom or Laundry),folder-with-checklists,,,,,Female,,,,,,
"Amenities - Drains: Underslung - Sewer, Stormwater & Vent","Amenities - Drains: Stack Riser - Sewer, Stormwater & Vent",Amenities - Drains: Syphonic - Underslung,Amenities - Drains: Syphonic - Stack Riser,"Amenities - Drains: Greasy Waste - Underslung, Stacks & Vents","Amenities - Drains: Trade Waste - Underslung, Stacks & Vents",Amenities - Drains: Pumpline - Underslung & Stacks,Amenities - Pod Drain Connection (Prefab Bathroom or Laundry),folder-with-checklists,,,,,DDA,,,,,,
"Amenities - Drains: Underslung - Sewer, Stormwater & Vent","Amenities - Drains: Stack Riser - Sewer, Stormwater & Vent",Amenities - Drains: Syphonic - Underslung,Amenities - Drains: Syphonic - Stack Riser,"Amenities - Drains: Greasy Waste - Underslung, Stacks & Vents","Amenities - Drains: Trade Waste - Underslung, Stacks & Vents",Amenities - Drains: Pumpline - Underslung & Stacks,Amenities - Pod Drain Connection (Prefab Bathroom or Laundry),folder-with-checklists,,,,,Cleaners Room,,,,,,
,,,,,,,,step,,,,Level 8,,,,,,,
"Amenities - Drains: Underslung - Sewer, Stormwater & Vent","Amenities - Drains: Stack Riser - Sewer, Stormwater & Vent",Amenities - Drains: Syphonic - Underslung,Amenities - Drains: Syphonic - Stack Riser,"Amenities - Drains: Greasy Waste - Underslung, Stacks & Vents","Amenities - Drains: Trade Waste - Underslung, Stacks & Vents",Amenities - Drains: Pumpline - Underslung & Stacks,Amenities - Pod Drain Connection (Prefab Bathroom or Laundry),folder-with-checklists,,,,,Male,,,,,,
"Amenities - Drains: Underslung - Sewer, Stormwater & Vent","Amenities - Drains: Stack Riser - Sewer, Stormwater & Vent",Amenities - Drains: Syphonic - Underslung,Amenities - Drains: Syphonic - Stack Riser,"Amenities - Drains: Greasy Waste - Underslung, Stacks & Vents","Amenities - Drains: Trade Waste - Underslung, Stacks & Vents",Amenities - Drains: Pumpline - Underslung & Stacks,Amenities - Pod Drain Connection (Prefab Bathroom or Laundry),folder-with-checklists,,,,,Female,,,,,,
"Amenities - Drains: Underslung - Sewer, Stormwater & Vent","Amenities - Drains: Stack Riser - Sewer, Stormwater & Vent",Amenities - Drains: Syphonic - Underslung,Amenities - Drains: Syphonic - Stack Riser,"Amenities - Drains: Greasy Waste - Underslung, Stacks & Vents","Amenities - Drains: Trade Waste - Underslung, Stacks & Vents",Amenities - Drains: Pumpline - Underslung & Stacks,Amenities - Pod Drain Connection (Prefab Bathroom or Laundry),folder-with-checklists,,,,,DDA,,,,,,
"Amenities - Drains: Underslung - Sewer, Stormwater & Vent","Amenities - Drains: Stack Riser - Sewer, Stormwater & Vent",Amenities - Drains: Syphonic - Underslung,Amenities - Drains: Syphonic - Stack Riser,"Amenities - Drains: Greasy Waste - Underslung, Stacks & Vents","Amenities - Drains: Trade Waste - Underslung, Stacks & Vents",Amenities - Drains: Pumpline - Underslung & Stacks,Amenities - Pod Drain Connection (Prefab Bathroom or Laundry),folder-with-checklists,,,,,Cleaners Room,,,,,,
,,,,,,,,step,,,,Level 9,,,,,,,
"Amenities - Drains: Underslung - Sewer, Stormwater & Vent","Amenities - Drains: Stack Riser - Sewer, Stormwater & Vent",Amenities - Drains: Syphonic - Underslung,Amenities - Drains: Syphonic - Stack Riser,"Amenities - Drains: Greasy Waste - Underslung, Stacks & Vents","Amenities - Drains: Trade Waste - Underslung, Stacks & Vents",Amenities - Drains: Pumpline - Underslung & Stacks,Amenities - Pod Drain Connection (Prefab Bathroom or Laundry),folder-with-checklists,,,,,Male,,,,,,
"Amenities - Drains: Underslung - Sewer, Stormwater & Vent","Amenities - Drains: Stack Riser - Sewer, Stormwater & Vent",Amenities - Drains: Syphonic - Underslung,Amenities - Drains: Syphonic - Stack Riser,"Amenities - Drains: Greasy Waste - Underslung, Stacks & Vents","Amenities - Drains: Trade Waste - Underslung, Stacks & Vents",Amenities - Drains: Pumpline - Underslung & Stacks,Amenities - Pod Drain Connection (Prefab Bathroom or Laundry),folder-with-checklists,,,,,Female,,,,,,
"Amenities - Drains: Underslung - Sewer, Stormwater & Vent","Amenities - Drains: Stack Riser - Sewer, Stormwater & Vent",Amenities - Drains: Syphonic - Underslung,Amenities - Drains: Syphonic - Stack Riser,"Amenities - Drains: Greasy Waste - Underslung, Stacks & Vents","Amenities - Drains: Trade Waste - Underslung, Stacks & Vents",Amenities - Drains: Pumpline - Underslung & Stacks,Amenities - Pod Drain Connection (Prefab Bathroom or Laundry),folder-with-checklists,,,,,DDA,,,,,,
"Amenities - Drains: Underslung - Sewer, Stormwater & Vent","Amenities - Drains: Stack Riser - Sewer, Stormwater & Vent",Amenities - Drains: Syphonic - Underslung,Amenities - Drains: Syphonic - Stack Riser,"Amenities - Drains: Greasy Waste - Underslung, Stacks & Vents","Amenities - Drains: Trade Waste - Underslung, Stacks & Vents",Amenities - Drains: Pumpline - Underslung & Stacks,Amenities - Pod Drain Connection (Prefab Bathroom or Laundry),folder-with-checklists,,,,,Cleaners Room,,,,,,
,,,,,,,,step,,,,Level 10,,,,,,,
"Amenities - Drains: Underslung - Sewer, Stormwater & Vent","Amenities - Drains: Stack Riser - Sewer, Stormwater & Vent",Amenities - Drains: Syphonic - Underslung,Amenities - Drains: Syphonic - Stack Riser,"Amenities - Drains: Greasy Waste - Underslung, Stacks & Vents","Amenities - Drains: Trade Waste - Underslung, Stacks & Vents",Amenities - Drains: Pumpline - Underslung & Stacks,Amenities - Pod Drain Connection (Prefab Bathroom or Laundry),folder-with-checklists,,,,,Male,,,,,,
"Amenities - Drains: Underslung - Sewer, Stormwater & Vent","Amenities - Drains: Stack Riser - Sewer, Stormwater & Vent",Amenities - Drains: Syphonic - Underslung,Amenities - Drains: Syphonic - Stack Riser,"Amenities - Drains: Greasy Waste - Underslung, Stacks & Vents","Amenities - Drains: Trade Waste - Underslung, Stacks & Vents",Amenities - Drains: Pumpline - Underslung & Stacks,Amenities - Pod Drain Connection (Prefab Bathroom or Laundry),folder-with-checklists,,,,,Female,,,,,,
"Amenities - Drains: Underslung - Sewer, Stormwater & Vent","Amenities - Drains: Stack Riser - Sewer, Stormwater & Vent",Amenities - Drains: Syphonic - Underslung,Amenities - Drains: Syphonic - Stack Riser,"Amenities - Drains: Greasy Waste - Underslung, Stacks & Vents","Amenities - Drains: Trade Waste - Underslung, Stacks & Vents",Amenities - Drains: Pumpline - Underslung & Stacks,Amenities - Pod Drain Connection (Prefab Bathroom or Laundry),folder-with-checklists,,,,,DDA,,,,,,
"Amenities - Drains: Underslung - Sewer, Stormwater & Vent","Amenities - Drains: Stack Riser - Sewer, Stormwater & Vent",Amenities - Drains: Syphonic - Underslung,Amenities - Drains: Syphonic - Stack Riser,"Amenities - Drains: Greasy Waste - Underslung, Stacks & Vents","Amenities - Drains: Trade Waste - Underslung, Stacks & Vents",Amenities - Drains: Pumpline - Underslung & Stacks,Amenities - Pod Drain Connection (Prefab Bathroom or Laundry),folder-with-checklists,,,,,Cleaners Room,,,,,,
,,,,,,,,step,,,,Level 11,,,,,,,
"Amenities - Drains: Underslung - Sewer, Stormwater & Vent","Amenities - Drains: Stack Riser - Sewer, Stormwater & Vent",Amenities - Drains: Syphonic - Underslung,Amenities - Drains: Syphonic - Stack Riser,"Amenities - Drains: Greasy Waste - Underslung, Stacks & Vents","Amenities - Drains: Trade Waste - Underslung, Stacks & Vents",Amenities - Drains: Pumpline - Underslung & Stacks,Amenities - Pod Drain Connection (Prefab Bathroom or Laundry),folder-with-checklists,,,,,Male,,,,,,
"Amenities - Drains: Underslung - Sewer, Stormwater & Vent","Amenities - Drains: Stack Riser - Sewer, Stormwater & Vent",Amenities - Drains: Syphonic - Underslung,Amenities - Drains: Syphonic - Stack Riser,"Amenities - Drains: Greasy Waste - Underslung, Stacks & Vents","Amenities - Drains: Trade Waste - Underslung, Stacks & Vents",Amenities - Drains: Pumpline - Underslung & Stacks,Amenities - Pod Drain Connection (Prefab Bathroom or Laundry),folder-with-checklists,,,,,Female,,,,,,
"Amenities - Drains: Underslung - Sewer, Stormwater & Vent","Amenities - Drains: Stack Riser - Sewer, Stormwater & Vent",Amenities - Drains: Syphonic - Underslung,Amenities - Drains: Syphonic - Stack Riser,"Amenities - Drains: Greasy Waste - Underslung, Stacks & Vents","Amenities - Drains: Trade Waste - Underslung, Stacks & Vents",Amenities - Drains: Pumpline - Underslung & Stacks,Amenities - Pod Drain Connection (Prefab Bathroom or Laundry),folder-with-checklists,,,,,DDA,,,,,,
"Amenities - Drains: Underslung - Sewer, Stormwater & Vent","Amenities - Drains: Stack Riser - Sewer, Stormwater & Vent",Amenities - Drains: Syphonic - Underslung,Amenities - Drains: Syphonic - Stack Riser,"Amenities - Drains: Greasy Waste - Underslung, Stacks & Vents","Amenities - Drains: Trade Waste - Underslung, Stacks & Vents",Amenities - Drains: Pumpline - Underslung & Stacks,Amenities - Pod Drain Connection (Prefab Bathroom or Laundry),folder-with-checklists,,,,,Cleaners Room,,,,,,
,,,,,,,,step,,,,Level 12,,,,,,,
"Amenities - Drains: Underslung - Sewer, Stormwater & Vent","Amenities - Drains: Stack Riser - Sewer, Stormwater & Vent",Amenities - Drains: Syphonic - Underslung,Amenities - Drains: Syphonic - Stack Riser,"Amenities - Drains: Greasy Waste - Underslung, Stacks & Vents","Amenities - Drains: Trade Waste - Underslung, Stacks & Vents",Amenities - Drains: Pumpline - Underslung & Stacks,Amenities - Pod Drain Connection (Prefab Bathroom or Laundry),folder-with-checklists,,,,,Male,,,,,,
"Amenities - Drains: Underslung - Sewer, Stormwater & Vent","Amenities - Drains: Stack Riser - Sewer, Stormwater & Vent",Amenities - Drains: Syphonic - Underslung,Amenities - Drains: Syphonic - Stack Riser,"Amenities - Drains: Greasy Waste - Underslung, Stacks & Vents","Amenities - Drains: Trade Waste - Underslung, Stacks & Vents",Amenities - Drains: Pumpline - Underslung & Stacks,Amenities - Pod Drain Connection (Prefab Bathroom or Laundry),folder-with-checklists,,,,,Female,,,,,,
"Amenities - Drains: Underslung - Sewer, Stormwater & Vent","Amenities - Drains: Stack Riser - Sewer, Stormwater & Vent",Amenities - Drains: Syphonic - Underslung,Amenities - Drains: Syphonic - Stack Riser,"Amenities - Drains: Greasy Waste - Underslung, Stacks & Vents","Amenities - Drains: Trade Waste - Underslung, Stacks & Vents",Amenities - Drains: Pumpline - Underslung & Stacks,Amenities - Pod Drain Connection (Prefab Bathroom or Laundry),folder-with-checklists,,,,,DDA,,,,,,
"Amenities - Drains: Underslung - Sewer, Stormwater & Vent","Amenities - Drains: Stack Riser - Sewer, Stormwater & Vent",Amenities - Drains: Syphonic - Underslung,Amenities - Drains: Syphonic - Stack Riser,"Amenities - Drains: Greasy Waste - Underslung, Stacks & Vents","Amenities - Drains: Trade Waste - Underslung, Stacks & Vents",Amenities - Drains: Pumpline - Underslung & Stacks,Amenities - Pod Drain Connection (Prefab Bathroom or Laundry),folder-with-checklists,,,,,Cleaners Room,,,,,,
,,,,,,,,step,,,,Level 13,,,,,,,
"Amenities - Drains: Underslung - Sewer, Stormwater & Vent","Amenities - Drains: Stack Riser - Sewer, Stormwater & Vent",Amenities - Drains: Syphonic - Underslung,Amenities - Drains: Syphonic - Stack Riser,"Amenities - Drains: Greasy Waste - Underslung, Stacks & Vents","Amenities - Drains: Trade Waste - Underslung, Stacks & Vents",Amenities - Drains: Pumpline - Underslung & Stacks,Amenities - Pod Drain Connection (Prefab Bathroom or Laundry),folder-with-checklists,,,,,Male,,,,,,
"Amenities - Drains: Underslung - Sewer, Stormwater & Vent","Amenities - Drains: Stack Riser - Sewer, Stormwater & Vent",Amenities - Drains: Syphonic - Underslung,Amenities - Drains: Syphonic - Stack Riser,"Amenities - Drains: Greasy Waste - Underslung, Stacks & Vents","Amenities - Drains: Trade Waste - Underslung, Stacks & Vents",Amenities - Drains: Pumpline - Underslung & Stacks,Amenities - Pod Drain Connection (Prefab Bathroom or Laundry),folder-with-checklists,,,,,Female,,,,,,
"Amenities - Drains: Underslung - Sewer, Stormwater & Vent","Amenities - Drains: Stack Riser - Sewer, Stormwater & Vent",Amenities - Drains: Syphonic - Underslung,Amenities - Drains: Syphonic - Stack Riser,"Amenities - Drains: Greasy Waste - Underslung, Stacks & Vents","Amenities - Drains: Trade Waste - Underslung, Stacks & Vents",Amenities - Drains: Pumpline - Underslung & Stacks,Amenities - Pod Drain Connection (Prefab Bathroom or Laundry),folder-with-checklists,,,,,DDA,,,,,,
