"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"f3430af0-41a4-4cfb-83a9-7ae6fbb33a7d","","folder-normal","","","step","TRUE","FALSE","Site QA"
"0a9a72cc-0729-443c-ab4a-f3ad7c4d0f0e","","folder-normal","","","step","TRUE","FALSE","Site QA","Area 1"
"adc5c9cd-205a-4fe9-968c-26afc1a4c12b","","folder-normal","","","step","TRUE","FALSE","Site QA","Area 1","A01 - Accommodation Unit 1"
"3b9d4752-d20d-4529-91b0-6cdbf232a18e","","folder-normal","","","step","TRUE","FALSE","Site QA","Area 1","A01 - Accommodation Unit 1","Ground Core"
"694785f9-1b34-578d-9076-9f02c0627378","","checklist-sectioned","","Partition Framing ITP","checklist","FALSE","FALSE","Site QA","Area 1","A01 - Accommodation Unit 1","Ground Core","Partition Framing"
"a39976ec-a44d-5de9-9f59-01cf49a162ca","","checklist-sectioned","","Partition Lining ITP V2","checklist","FALSE","FALSE","Site QA","Area 1","A01 - Accommodation Unit 1","Ground Core","Partition Lining"
"f6dc61c4-66e6-5790-945e-607dc5261f41","","checklist-sectioned","","Ceiling Framing ITP","checklist","FALSE","FALSE","Site QA","Area 1","A01 - Accommodation Unit 1","Ground Core","Ceiling Framing"
"79888770-e822-55c7-b63e-f2f87ce61c41","","checklist-sectioned","","Ceiling Lining ITP","checklist","FALSE","FALSE","Site QA","Area 1","A01 - Accommodation Unit 1","Ground Core","Ceiling Lining"
"539a9b8d-133f-4bb3-92f2-bf740bac754e","","folder-normal","","","step","TRUE","FALSE","Site QA","Area 1","A01 - Accommodation Unit 1","Wing 1, Ground & Level 01"
"025c877e-101f-5876-9327-9db98349727e","","checklist-sectioned","","Partition Framing ITP","checklist","FALSE","FALSE","Site QA","Area 1","A01 - Accommodation Unit 1","Wing 1, Ground & Level 01","Partition Framing"
"72c3e063-bedd-56dd-be9d-612d72d5648d","","checklist-sectioned","","Partition Lining ITP V2","checklist","FALSE","FALSE","Site QA","Area 1","A01 - Accommodation Unit 1","Wing 1, Ground & Level 01","Partition Lining"
"03148d34-8953-56de-a431-c317dc73275d","","checklist-sectioned","","Ceiling Framing ITP","checklist","FALSE","FALSE","Site QA","Area 1","A01 - Accommodation Unit 1","Wing 1, Ground & Level 01","Ceiling Framing"
"9cda0ce5-8253-5580-82c2-1a13232513af","","checklist-sectioned","","Ceiling Lining ITP","checklist","FALSE","FALSE","Site QA","Area 1","A01 - Accommodation Unit 1","Wing 1, Ground & Level 01","Ceiling Lining"
"7c77f814-a700-4489-a0d5-e7fc4c2e9ab2","","folder-normal","","","step","TRUE","FALSE","Site QA","Area 1","A01 - Accommodation Unit 1","Wing 2, Ground & Level 01"
"f26c3c63-6563-5e98-bc07-36841487981e","","checklist-sectioned","","Partition Framing ITP","checklist","FALSE","FALSE","Site QA","Area 1","A01 - Accommodation Unit 1","Wing 2, Ground & Level 01","Partition Framing"
"9292ecfb-5df1-57df-b3e8-47d1608c536f","","checklist-sectioned","","Partition Lining ITP V2","checklist","FALSE","FALSE","Site QA","Area 1","A01 - Accommodation Unit 1","Wing 2, Ground & Level 01","Partition Lining"
"28e4d811-e7d1-54f1-a9cd-c50fbae1720f","","checklist-sectioned","","Ceiling Framing ITP","checklist","FALSE","FALSE","Site QA","Area 1","A01 - Accommodation Unit 1","Wing 2, Ground & Level 01","Ceiling Framing"
"32e8be23-aded-5759-ae50-bb051af3e222","","checklist-sectioned","","Ceiling Lining ITP","checklist","FALSE","FALSE","Site QA","Area 1","A01 - Accommodation Unit 1","Wing 2, Ground & Level 01","Ceiling Lining"
"28c485ab-e655-443c-b3cf-166591be13ff","","folder-normal","","","step","TRUE","FALSE","Site QA","Area 1","A01 - Accommodation Unit 1","Wing 1, & Wing 2 - Service Area"
"2c049f84-acd4-5628-b4c9-37cb6e2ea385","","checklist-sectioned","","Partition Framing ITP","checklist","FALSE","FALSE","Site QA","Area 1","A01 - Accommodation Unit 1","Wing 1, & Wing 2 - Service Area","Partition Framing"
"49a36f67-ca2d-52f2-b93b-2c61ebfb979e","","checklist-sectioned","","Partition Lining ITP V2","checklist","FALSE","FALSE","Site QA","Area 1","A01 - Accommodation Unit 1","Wing 1, & Wing 2 - Service Area","Partition Lining"
"e90c0ac6-e212-57f0-a5f2-64120ae5b6e4","","checklist-sectioned","","Ceiling Framing ITP","checklist","FALSE","FALSE","Site QA","Area 1","A01 - Accommodation Unit 1","Wing 1, & Wing 2 - Service Area","Ceiling Framing"
"1e9c43db-b12c-56b2-b437-14ab3d9eb897","","checklist-sectioned","","Ceiling Lining ITP","checklist","FALSE","FALSE","Site QA","Area 1","A01 - Accommodation Unit 1","Wing 1, & Wing 2 - Service Area","Ceiling Lining"
"a811d2de-eda3-418f-9423-666b36137b9b","","folder-normal","","","step","TRUE","FALSE","Site QA","Area 1","A01/A02 - Accommodation Unit 1/2"
