"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"5bd6aa1b-cd48-505e-bba4-9c0f7c076d9e","","fail","","folder","TRUE","FALSE","Tasks"
"9517562d-0f5d-4eff-89ff-52bd1e7ccb43","","fail","","folder","TRUE","FALSE","Tasks","2024"
"0d3ba4aa-7a1f-56d3-9684-f284c8e96fc7","","not-started","","folder","TRUE","FALSE","Tasks","2024","March 11, 2024 - March 15, 2024"
"67465695-4a37-561a-a1e3-266bc9053d2b","","not-started","SYS - Monday (v0)","checklist","FALSE","FALSE","Tasks","2024","March 11, 2024 - March 15, 2024","Monday"
"ea4e4915-8607-5b49-ad25-377e3216eb38","","not-started","SYS - Tuesday (v0)","checklist","FALSE","FALSE","Tasks","2024","March 11, 2024 - March 15, 2024","Tuesday"
"a28f3c73-ed1a-5b57-befa-42b44f19b7d2","","not-started","SYS - Wednesday (v0)","checklist","FALSE","FALSE","Tasks","2024","March 11, 2024 - March 15, 2024","Wednesday"
"a0de980b-d334-5869-b91e-becfb788eee6","","not-started","SYS - Thursday (v0)","checklist","FALSE","FALSE","Tasks","2024","March 11, 2024 - March 15, 2024","Thursday"
"b1cef73b-7e7d-5b16-9e8d-5e7c8f1a149f","","not-started","SYS - Tuesday (v0)","checklist","FALSE","FALSE","Tasks","2024","March 11, 2024 - March 15, 2024","Friday"
"143308ef-3622-513f-b8f1-f559c7ab4b0d","","not-started","","folder","TRUE","FALSE","Tasks","2024","March 18, 2024 - March 22, 2024"
"803e6f09-f5be-5f99-b0bc-367edd51f248","","not-started","SYS - Monday (v0)","checklist","FALSE","FALSE","Tasks","2024","March 18, 2024 - March 22, 2024","Monday"
"cae9257c-ba7e-5502-91c8-7fac7554e953","","not-started","SYS - Tuesday (v0)","checklist","FALSE","FALSE","Tasks","2024","March 18, 2024 - March 22, 2024","Tuesday"
"5c9cbb6a-7e72-5637-bd27-450d781b2409","","not-started","SYS - Wednesday (v0)","checklist","FALSE","FALSE","Tasks","2024","March 18, 2024 - March 22, 2024","Wednesday"
"0654a8d5-4bdc-5d1c-880e-6b3836f56019","","not-started","SYS - Thursday (v0)","checklist","FALSE","FALSE","Tasks","2024","March 18, 2024 - March 22, 2024","Thursday"
"1d148107-e0aa-5d91-933f-39940becc084","","not-started","SYS - Tuesday (v0)","checklist","FALSE","FALSE","Tasks","2024","March 18, 2024 - March 22, 2024","Friday"
"f7764d1c-38c1-5bff-8ba1-1d8130d99efb","","not-started","","folder","TRUE","FALSE","Tasks","2024","March 25, 2024 - March 29, 2024"
"ca6d4b66-fb1d-517c-9df2-0f81d41be09b","","not-started","SYS - Monday (v0)","checklist","FALSE","FALSE","Tasks","2024","March 25, 2024 - March 29, 2024","Monday"
"e92e871f-e7e0-5999-9139-f12822a48e05","","not-started","SYS - Tuesday (v0)","checklist","FALSE","FALSE","Tasks","2024","March 25, 2024 - March 29, 2024","Tuesday"
"8ce6922c-b236-5b1e-9640-797c34224ebd","","not-started","SYS - Wednesday (v0)","checklist","FALSE","FALSE","Tasks","2024","March 25, 2024 - March 29, 2024","Wednesday"
"ebe11f86-f0b5-5211-abe3-74370fde3f7c","","not-started","SYS - Thursday (v0)","checklist","FALSE","FALSE","Tasks","2024","March 25, 2024 - March 29, 2024","Thursday"
"7f7a0d86-c9fb-51e8-9698-eb5eaf670341","","not-started","SYS - Tuesday (v0)","checklist","FALSE","FALSE","Tasks","2024","March 25, 2024 - March 29, 2024","Friday"
"dbda29cb-bed7-570c-ae4b-fa3ddb014e78","","fail","","folder","TRUE","FALSE","Tasks","2024","April 1, 2024 - April 5, 2024"
"085b4ec4-297a-5aff-8207-cc2abc51e152","","not-started","SYS - Monday (v0)","checklist","FALSE","FALSE","Tasks","2024","April 1, 2024 - April 5, 2024","Monday"
"4bb9b601-d658-5c73-9120-12fcd740cdd1","","not-started","SYS - Tuesday (v0)","checklist","FALSE","FALSE","Tasks","2024","April 1, 2024 - April 5, 2024","Tuesday"
"c2d0c473-97d2-53e4-b95b-250630b19bb5","","fail","SYS - Wednesday (v0)","checklist","FALSE","FALSE","Tasks","2024","April 1, 2024 - April 5, 2024","Wednesday"
"4567f6d8-719e-5f74-a4e8-9c763a67e26f","","fail","SYS - Thursday (v0)","checklist","FALSE","FALSE","Tasks","2024","April 1, 2024 - April 5, 2024","Thursday"
"55461aba-216f-57de-a219-84f87e376cde","","fail","SYS - Tuesday (v0)","checklist","FALSE","FALSE","Tasks","2024","April 1, 2024 - April 5, 2024","Friday"
"bdf2e753-bc62-5561-be9a-5f89a21d02c6","","fail","","folder","TRUE","FALSE","Tasks","2024","April 8, 2024 - April 12, 2024"
"6e96b36f-a1ae-5585-bb6c-5edb2add213e","","fail","SYS - Monday (v0)","checklist","FALSE","FALSE","Tasks","2024","April 8, 2024 - April 12, 2024","Monday"
"c96a08e5-8402-59c2-980f-ef0193f8cc2f","","fail","SYS - Tuesday (v0)","checklist","FALSE","FALSE","Tasks","2024","April 8, 2024 - April 12, 2024","Tuesday"
"1aca6562-f181-598f-ab4c-d62c6979ec4e","","pass","SYS - Wednesday (v0)","checklist","FALSE","FALSE","Tasks","2024","April 8, 2024 - April 12, 2024","Wednesday"
