Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,
Level 24 - Panel Installation Progress,,,,,,,
,Scope,,,Site QA,Level 24,Panels,
,Rows,,,,,,
,,Level 24,grouping,Level 24,,,
,,UN24-001,,Site QA,Level 24,Panels,UN24-001
,,UN24-002,,Site QA,Level 24,Panels,UN24-002
,,UN24-003,,Site QA,Level 24,Panels,UN24-003
,,UN24-004,,Site QA,Level 24,Panels,UN24-004
,,UN24-005-A,,Site QA,Level 24,Panels,UN24-005-A
,,UN24-006-A,,Site QA,Level 24,Panels,UN24-006-A
,,UN24-007-A,,Site QA,Level 24,Panels,UN24-007-A
,,UN24-008-A,,Site QA,Level 24,Panels,UN24-008-A
,,UN24-009-A,,Site QA,Level 24,Panels,UN24-009-A
,,UN24-010,,Site QA,Level 24,Panels,UN24-010
,,UN24-011,,Site QA,Level 24,Panels,UN24-011
,,UN24-012,,Site QA,Level 24,Panels,UN24-012
,,UN24-013,,Site QA,Level 24,Panels,UN24-013
,,UN24-014,,Site QA,Level 24,Panels,UN24-014
,,UN24-015,,Site QA,Level 24,Panels,UN24-015
,,UN24-016,,Site QA,Level 24,Panels,UN24-016
,,UN24-017,,Site QA,Level 24,Panels,UN24-017
,,UN24-018,,Site QA,Level 24,Panels,UN24-018
,,UN24-019,,Site QA,Level 24,Panels,UN24-019
,,UN24-020,,Site QA,Level 24,Panels,UN24-020
,,UN24-021,,Site QA,Level 24,Panels,UN24-021
,,UN24-022,,Site QA,Level 24,Panels,UN24-022
,,UN24-023,,Site QA,Level 24,Panels,UN24-023
,,UN24-024,,Site QA,Level 24,Panels,UN24-024
,,UN24-025,,Site QA,Level 24,Panels,UN24-025
,,UN24-026,,Site QA,Level 24,Panels,UN24-026
,,UN24-027,,Site QA,Level 24,Panels,UN24-027
,,UN24-028,,Site QA,Level 24,Panels,UN24-028
,,UN24-029,,Site QA,Level 24,Panels,UN24-029
,,UN24-030,,Site QA,Level 24,Panels,UN24-030
,,UN24-031,,Site QA,Level 24,Panels,UN24-031
,,UN24-032,,Site QA,Level 24,Panels,UN24-032
,,UN24-033,,Site QA,Level 24,Panels,UN24-033
,,UN24-034,,Site QA,Level 24,Panels,UN24-034
,,UN24-035,,Site QA,Level 24,Panels,UN24-035
,,UN24-036,,Site QA,Level 24,Panels,UN24-036
,,UN24-037,,Site QA,Level 24,Panels,UN24-037
,,UN24-038,,Site QA,Level 24,Panels,UN24-038
,,UN24-039,,Site QA,Level 24,Panels,UN24-039
,,UN24-040,,Site QA,Level 24,Panels,UN24-040
,,UN24-041,,Site QA,Level 24,Panels,UN24-041
,,UN24-042,,Site QA,Level 24,Panels,UN24-042
,,UN24-043,,Site QA,Level 24,Panels,UN24-043
,,UN24-044,,Site QA,Level 24,Panels,UN24-044
,,UN24-045,,Site QA,Level 24,Panels,UN24-045
,,UN24-046,,Site QA,Level 24,Panels,UN24-046
,,UN24-047,,Site QA,Level 24,Panels,UN24-047
,,UN24-047A,,Site QA,Level 24,Panels,UN24-047A
,,UN24-048,,Site QA,Level 24,Panels,UN24-048
,,UN24-049,,Site QA,Level 24,Panels,UN24-049
,,UN24-050,,Site QA,Level 24,Panels,UN24-050
,,UN24-051,,Site QA,Level 24,Panels,UN24-051
,,UN24-052,,Site QA,Level 24,Panels,UN24-052
,,UN24-053,,Site QA,Level 24,Panels,UN24-053
,,UN24-054,,Site QA,Level 24,Panels,UN24-054
,,UN24-055,,Site QA,Level 24,Panels,UN24-055
,,UN24-055A,,Site QA,Level 24,Panels,UN24-055A
,,UN24-056,,Site QA,Level 24,Panels,UN24-056
,,UN24-057,,Site QA,Level 24,Panels,UN24-057
,,UN24-058,,Site QA,Level 24,Panels,UN24-058
,,UN24-059,,Site QA,Level 24,Panels,UN24-059
,,UN24-060,,Site QA,Level 24,Panels,UN24-060
,,UN24-061,,Site QA,Level 24,Panels,UN24-061
