"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Rough In"
,"Scope",,
,"Rows"
,,"Mech - Level 1","dynamic","level 1","mech","rough in"
,,"Mech - Level 2","dynamic","mech","level 2","rough in"
,,"Mech - Level 3","dynamic","mech","rough in","level 3"
,,"Mech - Level 4","dynamic","level 4","mech","rough in"
,,"Mech - Roof","dynamic","roof","mech","rough in"
,,"BMS - Level 1","dynamic","bms","level 1","rough in"
,,"BMS - Level 2","dynamic","bms","level 2","rough in"
,,"BMS - Level 3","dynamic","bms","rough in","level 3"
,,"BMS - Level 4","dynamic","level 4","bms","rough in"
,,"BMS - Roof","dynamic","roof","bms","rough in"
,,"Elec - Power - Level 1","dynamic","level 1","elec - power","rough in"
,,"Elec - Power - Level 2","dynamic","elec - power","level 2","rough in"
,,"Elec - Power - Level 3","dynamic","elec - power","rough in","level 3"
,,"Elec - Power - Level 4","dynamic","level 4","elec - power","rough in"
,,"Elec - Lighting - Level 1","dynamic","elec - lighting","level 1","rough in"
,,"Elec - Lighting - Level 2","dynamic","elec - lighting","level 2","rough in"
,,"Elec - Lighting - Level 3","dynamic","elec - lighting","rough in","level 3"
,,"Elec - Lighting - Level 4","dynamic","level 4","elec - lighting","rough in"
,,"Comms - Level 1","dynamic","comms","level 1","rough in"
,,"Comms - Level 2","dynamic","comms","level 2","rough in"
,,"Comms - Level 3","dynamic","comms","rough in","level 3"
,,"Comms - Level 4","dynamic","comms","level 4","rough in"
,,"Hydraulic Drainage  - Level 1","dynamic","hydraulic drainage","level 1","rough in"
,,"Hydraulic Drainage  - Level 2","dynamic","hydraulic drainage","level 2","rough in"
,,"Hydraulic Drainage  - Level 3","dynamic","hydraulic drainage","rough in","level 3"
,,"Hydraulic Drainage  - Level 4","dynamic","level 4","hydraulic drainage","rough in"
,,"Hydraulic Water - Level 1","dynamic","hydraulic water","level 1","rough in"
,,"Hydraulic Water - Level 2","dynamic","hydraulic water","level 2","rough in"
,,"Hydraulic Water - Level 3","dynamic","hydraulic water","rough in","level 3"
,,"Hydraulic Water - Level 4","dynamic","level 4","hydraulic water","rough in"
,,"Hydraulic Gas  - Level 1","dynamic","hydraulic gas","level 1","rough in"
,,"Hydraulic Gas  - Level 2","dynamic","hydraulic gas","level 2","rough in"
,,"Hydraulic Gas  - Level 3","dynamic","hydraulic gas","rough in","level 3"
,,"Hydraulic Gas  - Level 4","dynamic","level 4","hydraulic gas","rough in"
,,"Wet Fire - Level 1","dynamic","level 1","wet fire","rough in"
,,"Wet Fire - Level 2","dynamic","wet fire","level 2","rough in"
,,"Wet Fire - Level 3","dynamic","wet fire","rough in","level 3"
,,"Wet Fire - Level 4","dynamic","level 4","wet fire","rough in"
,,"Dry Fire - Level 1","dynamic","level 1","dry fire","rough in"
,,"Dry Fire - Level 2","dynamic","dry fire","level 2","rough in"
,,"Dry Fire - Level 3","dynamic","dry fire","rough in","level 3"
,,"Dry Fire - Level 4","dynamic","level 4","dry fire","rough in"
,,"CCTV - Level 1","dynamic","cctv","level 1","rough in"
,,"CCTV - Level 2","dynamic","cctv","level 2","rough in"
,,"CCTV - Level 3","dynamic","cctv","rough in","level 3"
,,"CCTV - Level 4","dynamic","level 4","cctv","rough in"
,,"CCTV - The Avenue (Ambience 7)","dynamic","cctv","the avenue (ambience 7)","rough in"
,,"CCTV - Cross Mall","dynamic","cctv","cross mall","rough in"
,,"CCTV - Galleria Central (Ambience 6)","dynamic","cctv","galleria central (ambience 6)","rough in"
,,"CCTV - Access Areas","dynamic","access areas","cctv","rough in"
,,"CCTV - APM Locations","dynamic","cctv","apm locations","rough in"
,,"EACS  - Level 1","dynamic","level 1","eacs","rough in"
,,"EACS  - Level 2","dynamic","level 2","eacs","rough in"
,,"EACS  - Level 3","dynamic","eacs","rough in","level 3"
,,"EACS  - Level 4","dynamic","level 4","eacs","rough in"
,,"Ticketless Parking - Access Area","dynamic","access areas","ticketless parking","rough in"
,,"Ticketless Parking - APM Locations","dynamic","apm locations","ticketless parking","rough in"
,"Columns"
,,"Please attach Approved Coordinated Shop Drawings",,"please attach approved coordinated shop drawings - please take photo of title block"
,,"Rough In Complete",,"rough in complete"

"Ceiling Closure / Fit Off"
,"Scope",,
,"Rows"
,,"Mech - Level 1","dynamic","level 1","mech","ceiling closure / fit off"
,,"Mech - Level 2","dynamic","mech","level 2","ceiling closure / fit off"
,,"Mech - Level 3","dynamic","mech","ceiling closure / fit off","level 3"
,,"Mech - Level 4","dynamic","level 4","mech","ceiling closure / fit off"
,,"Mech - Roof","dynamic","roof","mech","ceiling closure / fit off"
,,"BMS - Level 1","dynamic","bms","level 1","ceiling closure / fit off"
,,"BMS - Level 2","dynamic","bms","level 2","ceiling closure / fit off"
,,"BMS - Level 3","dynamic","bms","ceiling closure / fit off","level 3"
,,"BMS - Level 4","dynamic","level 4","bms","ceiling closure / fit off"
,,"BMS - Roof","dynamic","roof","bms","ceiling closure / fit off"
,,"Elec - Power - Level 1","dynamic","level 1","elec - power","ceiling closure / fit off"
,,"Elec - Power - Level 2","dynamic","elec - power","level 2","ceiling closure / fit off"
,,"Elec - Power - Level 3","dynamic","elec - power","ceiling closure / fit off","level 3"
,,"Elec - Power - Level 4","dynamic","level 4","elec - power","ceiling closure / fit off"
,,"Elec - Lighting - Level 1","dynamic","elec - lighting","level 1","ceiling closure / fit off"
,,"Elec - Lighting - Level 2","dynamic","elec - lighting","level 2","ceiling closure / fit off"
,,"Elec - Lighting - Level 3","dynamic","elec - lighting","ceiling closure / fit off","level 3"
,,"Elec - Lighting - Level 4","dynamic","level 4","elec - lighting","ceiling closure / fit off"
,,"Comms - Level 1","dynamic","comms","level 1","ceiling closure / fit off"
,,"Comms - Level 2","dynamic","comms","level 2","ceiling closure / fit off"
,,"Comms - Level 3","dynamic","comms","ceiling closure / fit off","level 3"
,,"Comms - Level 4","dynamic","comms","level 4","ceiling closure / fit off"
,,"Hydraulic Drainage  - Level 1","dynamic","hydraulic drainage","level 1","ceiling closure / fit off"
,,"Hydraulic Drainage  - Level 2","dynamic","hydraulic drainage","level 2","ceiling closure / fit off"
,,"Hydraulic Drainage  - Level 3","dynamic","hydraulic drainage","ceiling closure / fit off","level 3"
,,"Hydraulic Drainage  - Level 4","dynamic","level 4","hydraulic drainage","ceiling closure / fit off"
,,"Hydraulic Water - Level 1","dynamic","hydraulic water","level 1","ceiling closure / fit off"
,,"Hydraulic Water - Level 2","dynamic","hydraulic water","level 2","ceiling closure / fit off"
,,"Hydraulic Water - Level 3","dynamic","hydraulic water","ceiling closure / fit off","level 3"
,,"Hydraulic Water - Level 4","dynamic","level 4","hydraulic water","ceiling closure / fit off"
,,"Hydraulic Gas  - Level 1","dynamic","hydraulic gas","level 1","ceiling closure / fit off"
,,"Hydraulic Gas  - Level 2","dynamic","hydraulic gas","level 2","ceiling closure / fit off"
,,"Hydraulic Gas  - Level 3","dynamic","hydraulic gas","ceiling closure / fit off","level 3"
,,"Hydraulic Gas  - Level 4","dynamic","level 4","hydraulic gas","ceiling closure / fit off"
,,"Wet Fire - Level 1","dynamic","level 1","wet fire","ceiling closure / fit off"
,,"Wet Fire - Level 2","dynamic","wet fire","level 2","ceiling closure / fit off"
,,"Wet Fire - Level 3","dynamic","wet fire","ceiling closure / fit off","level 3"
,,"Wet Fire - Level 4","dynamic","level 4","wet fire","ceiling closure / fit off"
,,"Dry Fire - Level 1","dynamic","level 1","dry fire","ceiling closure / fit off"
,,"Dry Fire - Level 2","dynamic","dry fire","level 2","ceiling closure / fit off"
,,"Dry Fire - Level 3","dynamic","dry fire","ceiling closure / fit off","level 3"
,,"Dry Fire - Level 4","dynamic","level 4","dry fire","ceiling closure / fit off"
,,"CCTV - Level 1","dynamic","cctv","level 1","ceiling closure / fit off"
,,"CCTV - Level 2","dynamic","cctv","level 2","ceiling closure / fit off"
,,"CCTV - Level 3","dynamic","cctv","ceiling closure / fit off","level 3"
,,"CCTV - Level 4","dynamic","level 4","cctv","ceiling closure / fit off"
,,"CCTV - The Avenue (Ambience 7)","dynamic","cctv","the avenue (ambience 7)","ceiling closure / fit off"
,,"CCTV - Cross Mall","dynamic","cctv","cross mall","ceiling closure / fit off"
,,"CCTV - Galleria Central (Ambience 6)","dynamic","cctv","galleria central (ambience 6)","ceiling closure / fit off"
,,"CCTV - Access Areas","dynamic","access areas","cctv","ceiling closure / fit off"
