"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"63dff424-d237-46bc-b79a-0347cbcf7627","","folder-normal","fail","","step","TRUE","FALSE","Site QA"
"662b7a40-3e39-474f-b057-25961f575050","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","SOG B-1"
"a8c32d51-7f64-45d3-9673-8fcb4f02cbd3","","checklist-flat","work-in-progress","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","SOG B-1","Lift Over Run"
"942c7061-cc35-4266-8de1-4e8eb25fff36","","checklist-flat","not-started","S.O.G Checklist","checklist-flat","FALSE","FALSE","Site QA","SOG B-1","SOG Edge Boards"
"ea1c2c6d-ca70-45d9-a4fb-58e7a12ff319","","checklist-flat","pass","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","SOG B-1","stair 4 core B1 lower to upper"
"695ad882-9418-4dbb-bfdf-dc35ba855fd0","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","B-1"
"6137eed4-b9cd-47af-81c0-cc97fa853a2b","","checklist-flat","not-started","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","B-1","Columns"
"036958bc-facc-4c73-8a17-1893ec8d9697","","checklist-flat","pass","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","B-1","lift core P2 B1-Ground"
"a074b9b6-3b7f-4298-993a-48584d9843ad","","checklist-sectioned","not-started","Jump System / Climb Track Checklist","checklist","FALSE","FALSE","Site QA","B-1","System"
"2e2735f0-47d5-495d-8ab7-7e7df90378cb","","checklist-flat","not-started","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","B-1","Slab"
"8bcd63d3-cf0f-47cc-91f4-b872cd23367a","","checklist-sectioned","work-in-progress","Stairs Checklist","checklist","FALSE","FALSE","Site QA","B-1","Stairs"
"7593d816-65f7-40ed-bde6-cb0e972784d0","","checklist-flat","work-in-progress","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","B-1","stair 3 core"
"04ed3528-8a77-4c90-b1c6-ba3c668474dd","","checklist-flat","work-in-progress","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","B-1","Column pre-pour check 18/02/23"
"c1b0ec1d-31ab-4244-acba-76a4a20a4f4d","","checklist-flat","work-in-progress","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","B-1","column pre pour 22/03/23"
"c6c3931d-92cc-4d4b-bbf2-375f1ffc8928","","checklist-flat","pass","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","B-1","Columns Checklist 27/02/23"
"ead0dc0d-33d0-4232-83b0-3399caa6b9cb","","checklist-flat","work-in-progress","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","B-1","fold walls pre pour 02/03/23"
"b5dcdfbe-1f54-4fdd-b454-44640b95bde3","","checklist-flat","pass","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","B-1","fold walls pre pour 08/03/23"
"024846bc-5795-4f8c-9564-e00cf810a65a","","checklist-flat","pass","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","B-1","Columns Checklist 21/03/23"
"33c3578a-3e37-463e-949b-4056901884e9","","checklist-flat","work-in-progress","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","B-1","fold walls pre pour 21/03/23"
"834423d5-147c-4e92-a4ec-3511faae3115","","checklist-flat","pass","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","B-1","ramp wall pour 1 23/03/23"
"02fe18d1-3b78-4e19-9949-f7fdfbabac1f","","checklist-flat","work-in-progress","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","B-1","stair core 4 B1 to G "
"e6faa64c-488c-43d8-b398-3562c91b8c55","","folder-normal","fail","","step","TRUE","FALSE","Site QA","Ground"
"20e08515-35db-454d-88eb-c7959f4c383d","","checklist-flat","not-started","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Ground","Columns"
