type,name,values,prefix,postfix,usage count,user addable,template name,Resource Id
dropdown,Select the condtion observation from the below options which best summaries and the current condition requirements.,"4.1 - Ordinary maintenance - a condition identified at the time of inspection that is not characterized as an “unsafe condition” or “requires repair/stabilisation” but requires maintenance (Representative photos required of ‘ordinary maintenance’ observations),4.2 - Requires repair/stabilisation - a condition identified at the time of inspection that shall be repaired or stabilised to prevent progression into an “unsafe condition” prior to the next scheduled inspection. (Representative photos required of ‘requires repair/stabilisation’ observations),4.3 - Unsafe condition - a condition identified at the time of inspection of a component or system that presents an imminent threat of harm/injury/damage or loss to persons or property. (photos required of each unsafe condition observed)",,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
checklist,ON SITE QA - Inspections,,,,,,ON SITE QA - Inspections (G51 - 266 Smart Water Horizontal),
section,G51 - 266 Smart Water Research Centre - Horizontal Louvres,,,,,,,
checkpoint-no-status,Details,,,,,,,
textbox,Date of Inspection:,,,,,,,
textbox,Inspectors Name and Qualitifcation:,,,,,,,
textbox,Aspect to be inspected:,,,,,,,
textbox,Elevation: ,,,,,,,
textbox,Notes Provided at Tender,,,,,,,
checkpoint,1 - Description of General Condition (100% of structure),,,,,,,
label,Insert Description and photos of the area being inspected:,,,,,,,
checkpoint,1.1 - Are there any out of plane displacement of overhead structure element/s.,,,,,,,
label,Insert Description and photos of the area being inspected:,,,,,,,
checkpoint,"1.2 - Obvious visible signs of distress including, but not limited to failure, leaks, corrosion, cracking and spalling.",,,,,,,
label,Insert Description and photos of the area being inspected:,,,,,,,
checkpoint,1.3 - Take photos of general conditon of structure and include any items identified above. ,,,,,,,
label,Insert Description and photos of the area being inspected:,,,,,,,
checkpoint,2 - Detailed Inspection (25% of structure),,,,,,,
label,Insert Description and photos of the area being inspected:,,,,,,,
checkpoint,2.1 - Are there horizontal surfaces where water can pond from above. ,,,,,,,
label,Insert Description and photos of the area being inspected:,,,,,,,
checkpoint,2.2 - Inspect condition of connections to check if bolts / screws appear to be visibly tight and if connection shows any signs of distress.,,,,,,,
label,Insert Description and photos of the area being inspected:,,,,,,,
checkpoint,2.3 - Can you identify what the connection is? Galvanised / Stainless / Zinc __ Bolt Gauge M16 /M12 / M10 / M8 __ Screw Gauge 8ga / 10ga / 12/ga / 14ga. Identify the edge distances and fixing centres,,,,,,,
label,Insert Description and photos of the area being inspected:,,,,,,,
checkpoint,2.4 - Are there any out-of-plane displacements of overhead structure elements while scanning vertically and horizontally.,,,,,,,
label,Insert Description and photos of the area being inspected:,,,,,,,
checkpoint,"2.5 - Are there any signs of staining, concrete spalling and cracking, water/moisture damage, weathering or distress of overhead componets",,,,,,,
label,Insert Description and photos of the area being inspected:,,,,,,,
checkpoint,2.6 - Sounding the surface (i.e. tapping) with a hammer if material delamination of overhead structure is possible.,,,,,,,
label,Insert Description and photos of the area being inspected:,,,,,,,
checkpoint,2.7 - Push against and pull on the overhead structure element to check for unexpected movement or deformation to identify failed or loose compents of the overhead structure ,,,,,,,
label,Insert Description and photos of the area being inspected:,,,,,,,
checkpoint,2.8 - Pull test on adhesively attached components of the overhead structure.,,,,,,,
label,Insert Description and photos of the area being inspected:,,,,,,,
checkpoint,2.9 - Evaluate sealant adhesion with pull and peel testing in locations.,,,,,,,
label,Insert Description and photos of the area being inspected:,,,,,,,
checkpoint,"3 - Removal of loose or fractured components of overhead structure to reveal cause of distress, where safe to do so. ",,,,,,,
label,Insert Description and photos of the area being inspected:,,,,,,,
checkpoint,Temporary rectification may be required.,,,,,,,
label,Insert Description and photos of the area being inspected:,,,,,,,
checkpoint,"3.1 - Cursory / visual leak survey of external element, in particular noting any signs of previous water ingress and its potential sources.",,,,,,,
label,Insert Description and photos of the area being inspected:,,,,,,,
checkpoint,4 - Condition Observation Summary ,,,,,,,
dropdown,Select the condtion observation from the below options which best summaries and the current condition requirements.,"4.1 - Ordinary maintenance - a condition identified at the time of inspection that is not characterized as an “unsafe condition” or “requires repair/stabilisation” but requires maintenance (Representative photos required of ‘ordinary maintenance’ observations),4.2 - Requires repair/stabilisation - a condition identified at the time of inspection that shall be repaired or stabilised to prevent progression into an “unsafe condition” prior to the next scheduled inspection. (Representative photos required of ‘requires repair/stabilisation’ observations),4.3 - Unsafe condition - a condition identified at the time of inspection of a component or system that presents an imminent threat of harm/injury/damage or loss to persons or property. (photos required of each unsafe condition observed)",,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
checklist,ON SITE QA - Inspections,,,,,,ON SITE QA - Inspections (G52 - 275 International Building),
section,G52 - 275 International Building - Danpalon Skylight,,,,,,,
checkpoint-no-status,Details,,,,,,,
textbox,Date of Inspection:,,,,,,,
textbox,Inspectors Name and Qualitifcation:,,,,,,,
textbox,Aspect to be inspected:,,,,,,,
textbox,Elevation: ,,,,,,,
textbox,Notes Provided at Tender,,,,,,,
checkpoint,1 - Description of General Condition (100% of structure),,,,,,,
label,Insert Description and photos of the area being inspected:,,,,,,,
checkpoint,1.1 - Are there any out of plane displacement of overhead structure element/s.,,,,,,,
label,Insert Description and photos of the area being inspected:,,,,,,,
checkpoint,"1.2 - Obvious visible signs of distress including, but not limited to failure, leaks, corrosion, cracking and spalling.",,,,,,,
label,Insert Description and photos of the area being inspected:,,,,,,,
checkpoint,1.3 - Take photos of general conditon of structure and include any items identified above. ,,,,,,,
label,Insert Description and photos of the area being inspected:,,,,,,,
checkpoint,2 - Detailed Inspection (25% of structure),,,,,,,
label,Insert Description and photos of the area being inspected:,,,,,,,
checkpoint,2.1 - Are there horizontal surfaces where water can pond from above. ,,,,,,,
label,Insert Description and photos of the area being inspected:,,,,,,,
checkpoint,2.2 - Inspect condition of connections to check if bolts / screws appear to be visibly tight and if connection shows any signs of distress.,,,,,,,
label,Insert Description and photos of the area being inspected:,,,,,,,
checkpoint,2.3 - Can you identify what the connection is? Galvanised / Stainless / Zinc __ Bolt Gauge M16 /M12 / M10 / M8 __ Screw Gauge 8ga / 10ga / 12/ga / 14ga. Identify the edge distances and fixing centres,,,,,,,
label,Insert Description and photos of the area being inspected:,,,,,,,
checkpoint,2.4 - Are there any out-of-plane displacements of overhead structure elements while scanning vertically and horizontally.,,,,,,,
label,Insert Description and photos of the area being inspected:,,,,,,,
checkpoint,"2.5 - Are there any signs of staining, concrete spalling and cracking, water/moisture damage, weathering or distress of overhead componets",,,,,,,
label,Insert Description and photos of the area being inspected:,,,,,,,
checkpoint,2.6 - Sounding the surface (i.e. tapping) with a hammer if material delamination of overhead structure is possible.,,,,,,,
label,Insert Description and photos of the area being inspected:,,,,,,,
checkpoint,2.7 - Push against and pull on the overhead structure element to check for unexpected movement or deformation to identify failed or loose compents of the overhead structure ,,,,,,,
label,Insert Description and photos of the area being inspected:,,,,,,,
checkpoint,2.8 - Pull test on adhesively attached components of the overhead structure.,,,,,,,
label,Insert Description and photos of the area being inspected:,,,,,,,
checkpoint,2.9 - Evaluate sealant adhesion with pull and peel testing in locations.,,,,,,,
label,Insert Description and photos of the area being inspected:,,,,,,,
checkpoint,"3 - Removal of loose or fractured components of overhead structure to reveal cause of distress, where safe to do so. ",,,,,,,
label,Insert Description and photos of the area being inspected:,,,,,,,
checkpoint,Temporary rectification may be required.,,,,,,,
label,Insert Description and photos of the area being inspected:,,,,,,,
checkpoint,"3.1 - Cursory / visual leak survey of external element, in particular noting any signs of previous water ingress and its potential sources.",,,,,,,
label,Insert Description and photos of the area being inspected:,,,,,,,
checkpoint,4 - Condition Observation Summary ,,,,,,,
dropdown,Select the condtion observation from the below options which best summaries and the current condition requirements.,"4.1 - Ordinary maintenance - a condition identified at the time of inspection that is not characterized as an “unsafe condition” or “requires repair/stabilisation” but requires maintenance (Representative photos required of ‘ordinary maintenance’ observations),4.2 - Requires repair/stabilisation - a condition identified at the time of inspection that shall be repaired or stabilised to prevent progression into an “unsafe condition” prior to the next scheduled inspection. (Representative photos required of ‘requires repair/stabilisation’ observations),4.3 - Unsafe condition - a condition identified at the time of inspection of a component or system that presents an imminent threat of harm/injury/damage or loss to persons or property. (photos required of each unsafe condition observed)",,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
checklist,ON SITE QA - Inspections,,,,,,ON SITE QA - Inspections (G52 - 276 International Building),
section,G52 - 276 International Building - Perforated Sun Shades,,,,,,,
checkpoint-no-status,Details,,,,,,,
textbox,Date of Inspection:,,,,,,,
textbox,Inspectors Name and Qualitifcation:,,,,,,,
textbox,Aspect to be inspected:,,,,,,,
textbox,Elevation: ,,,,,,,
textbox,Notes Provided at Tender,,,,,,,
checkpoint,1 - Description of General Condition (100% of structure),,,,,,,
label,Insert Description and photos of the area being inspected:,,,,,,,
checkpoint,1.1 - Are there any out of plane displacement of overhead structure element/s.,,,,,,,
label,Insert Description and photos of the area being inspected:,,,,,,,
checkpoint,"1.2 - Obvious visible signs of distress including, but not limited to failure, leaks, corrosion, cracking and spalling.",,,,,,,
label,Insert Description and photos of the area being inspected:,,,,,,,
checkpoint,1.3 - Take photos of general conditon of structure and include any items identified above. ,,,,,,,
label,Insert Description and photos of the area being inspected:,,,,,,,
checkpoint,2 - Detailed Inspection (25% of structure),,,,,,,
label,Insert Description and photos of the area being inspected:,,,,,,,
checkpoint,2.1 - Are there horizontal surfaces where water can pond from above. ,,,,,,,
label,Insert Description and photos of the area being inspected:,,,,,,,
checkpoint,2.2 - Inspect condition of connections to check if bolts / screws appear to be visibly tight and if connection shows any signs of distress.,,,,,,,
label,Insert Description and photos of the area being inspected:,,,,,,,
checkpoint,2.3 - Can you identify what the connection is? Galvanised / Stainless / Zinc __ Bolt Gauge M16 /M12 / M10 / M8 __ Screw Gauge 8ga / 10ga / 12/ga / 14ga. Identify the edge distances and fixing centres,,,,,,,
label,Insert Description and photos of the area being inspected:,,,,,,,
checkpoint,2.4 - Are there any out-of-plane displacements of overhead structure elements while scanning vertically and horizontally.,,,,,,,
label,Insert Description and photos of the area being inspected:,,,,,,,
checkpoint,"2.5 - Are there any signs of staining, concrete spalling and cracking, water/moisture damage, weathering or distress of overhead componets",,,,,,,
label,Insert Description and photos of the area being inspected:,,,,,,,
checkpoint,2.6 - Sounding the surface (i.e. tapping) with a hammer if material delamination of overhead structure is possible.,,,,,,,
label,Insert Description and photos of the area being inspected:,,,,,,,
checkpoint,2.7 - Push against and pull on the overhead structure element to check for unexpected movement or deformation to identify failed or loose compents of the overhead structure ,,,,,,,
label,Insert Description and photos of the area being inspected:,,,,,,,
checkpoint,2.8 - Pull test on adhesively attached components of the overhead structure.,,,,,,,
label,Insert Description and photos of the area being inspected:,,,,,,,
checkpoint,2.9 - Evaluate sealant adhesion with pull and peel testing in locations.,,,,,,,
label,Insert Description and photos of the area being inspected:,,,,,,,
checkpoint,"3 - Removal of loose or fractured components of overhead structure to reveal cause of distress, where safe to do so. ",,,,,,,
label,Insert Description and photos of the area being inspected:,,,,,,,
checkpoint,Temporary rectification may be required.,,,,,,,
label,Insert Description and photos of the area being inspected:,,,,,,,
checkpoint,"3.1 - Cursory / visual leak survey of external element, in particular noting any signs of previous water ingress and its potential sources.",,,,,,,
label,Insert Description and photos of the area being inspected:,,,,,,,
checkpoint,4 - Condition Observation Summary ,,,,,,,
dropdown,Select the condtion observation from the below options which best summaries and the current condition requirements.,"4.1 - Ordinary maintenance - a condition identified at the time of inspection that is not characterized as an “unsafe condition” or “requires repair/stabilisation” but requires maintenance (Representative photos required of ‘ordinary maintenance’ observations),4.2 - Requires repair/stabilisation - a condition identified at the time of inspection that shall be repaired or stabilised to prevent progression into an “unsafe condition” prior to the next scheduled inspection. (Representative photos required of ‘requires repair/stabilisation’ observations),4.3 - Unsafe condition - a condition identified at the time of inspection of a component or system that presents an imminent threat of harm/injury/damage or loss to persons or property. (photos required of each unsafe condition observed)",,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
checklist,ON SITE QA - Inspections,,,,,,ON SITE QA - Inspections (G55 - 254 Multi-level Car Park),
section,G55 - 254 Multi-Level Car Park - Vertical Battens & Angles,,,,,,,
checkpoint-no-status,Details,,,,,,,
textbox,Date of Inspection:,,,,,,,
textbox,Inspectors Name and Qualitifcation:,,,,,,,
textbox,Aspect to be inspected:,,,,,,,
textbox,Elevation: ,,,,,,,
textbox,Notes Provided at Tender,,,,,,,
checkpoint,1 - Description of General Condition (100% of structure),,,,,,,
label,Insert Description and photos of the area being inspected:,,,,,,,
checkpoint,1.1 - Are there any out of plane displacement of overhead structure element/s.,,,,,,,
label,Insert Description and photos of the area being inspected:,,,,,,,
checkpoint,"1.2 - Obvious visible signs of distress including, but not limited to failure, leaks, corrosion, cracking and spalling.",,,,,,,
label,Insert Description and photos of the area being inspected:,,,,,,,
checkpoint,1.3 - Take photos of general conditon of structure and include any items identified above. ,,,,,,,
label,Insert Description and photos of the area being inspected:,,,,,,,
checkpoint,2 - Detailed Inspection (25% of structure),,,,,,,
label,Insert Description and photos of the area being inspected:,,,,,,,
checkpoint,2.1 - Are there horizontal surfaces where water can pond from above. ,,,,,,,
label,Insert Description and photos of the area being inspected:,,,,,,,
checkpoint,2.2 - Inspect condition of connections to check if bolts / screws appear to be visibly tight and if connection shows any signs of distress.,,,,,,,
label,Insert Description and photos of the area being inspected:,,,,,,,
checkpoint,2.3 - Can you identify what the connection is? Galvanised / Stainless / Zinc __ Bolt Gauge M16 /M12 / M10 / M8 __ Screw Gauge 8ga / 10ga / 12/ga / 14ga. Identify the edge distances and fixing centres,,,,,,,
label,Insert Description and photos of the area being inspected:,,,,,,,
checkpoint,2.4 - Are there any out-of-plane displacements of overhead structure elements while scanning vertically and horizontally.,,,,,,,
label,Insert Description and photos of the area being inspected:,,,,,,,
checkpoint,"2.5 - Are there any signs of staining, concrete spalling and cracking, water/moisture damage, weathering or distress of overhead componets",,,,,,,
label,Insert Description and photos of the area being inspected:,,,,,,,
checkpoint,2.6 - Sounding the surface (i.e. tapping) with a hammer if material delamination of overhead structure is possible.,,,,,,,
label,Insert Description and photos of the area being inspected:,,,,,,,
checkpoint,2.7 - Push against and pull on the overhead structure element to check for unexpected movement or deformation to identify failed or loose compents of the overhead structure ,,,,,,,
label,Insert Description and photos of the area being inspected:,,,,,,,
checkpoint,2.8 - Pull test on adhesively attached components of the overhead structure.,,,,,,,
label,Insert Description and photos of the area being inspected:,,,,,,,
checkpoint,2.9 - Evaluate sealant adhesion with pull and peel testing in locations.,,,,,,,
label,Insert Description and photos of the area being inspected:,,,,,,,
checkpoint,"3 - Removal of loose or fractured components of overhead structure to reveal cause of distress, where safe to do so. ",,,,,,,
label,Insert Description and photos of the area being inspected:,,,,,,,
checkpoint,Temporary rectification may be required.,,,,,,,
label,Insert Description and photos of the area being inspected:,,,,,,,
checkpoint,"3.1 - Cursory / visual leak survey of external element, in particular noting any signs of previous water ingress and its potential sources.",,,,,,,
label,Insert Description and photos of the area being inspected:,,,,,,,
checkpoint,4 - Condition Observation Summary ,,,,,,,
dropdown,Select the condtion observation from the below options which best summaries and the current condition requirements.,"4.1 - Ordinary maintenance - a condition identified at the time of inspection that is not characterized as an “unsafe condition” or “requires repair/stabilisation” but requires maintenance (Representative photos required of ‘ordinary maintenance’ observations),4.2 - Requires repair/stabilisation - a condition identified at the time of inspection that shall be repaired or stabilised to prevent progression into an “unsafe condition” prior to the next scheduled inspection. (Representative photos required of ‘requires repair/stabilisation’ observations),4.3 - Unsafe condition - a condition identified at the time of inspection of a component or system that presents an imminent threat of harm/injury/damage or loss to persons or property. (photos required of each unsafe condition observed)",,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
checklist,ON SITE QA - Inspections,,,,,,ON SITE QA - Inspections (G55 - 255 Multi-Level Car Park),
section,G55 - 255 Multi-Level Car Park - Signage,,,,,,,
checkpoint-no-status,Details,,,,,,,
textbox,Date of Inspection:,,,,,,,
textbox,Inspectors Name and Qualitifcation:,,,,,,,
textbox,Aspect to be inspected:,,,,,,,
textbox,Elevation: ,,,,,,,
textbox,Notes Provided at Tender,,,,,,,
checkpoint,1 - Description of General Condition (100% of structure),,,,,,,
label,Insert Description and photos of the area being inspected:,,,,,,,
checkpoint,1.1 - Are there any out of plane displacement of overhead structure element/s.,,,,,,,
label,Insert Description and photos of the area being inspected:,,,,,,,
checkpoint,"1.2 - Obvious visible signs of distress including, but not limited to failure, leaks, corrosion, cracking and spalling.",,,,,,,
label,Insert Description and photos of the area being inspected:,,,,,,,
checkpoint,1.3 - Take photos of general conditon of structure and include any items identified above. ,,,,,,,
label,Insert Description and photos of the area being inspected:,,,,,,,
checkpoint,2 - Detailed Inspection (25% of structure),,,,,,,
label,Insert Description and photos of the area being inspected:,,,,,,,
checkpoint,2.1 - Are there horizontal surfaces where water can pond from above. ,,,,,,,
label,Insert Description and photos of the area being inspected:,,,,,,,
checkpoint,2.2 - Inspect condition of connections to check if bolts / screws appear to be visibly tight and if connection shows any signs of distress.,,,,,,,
label,Insert Description and photos of the area being inspected:,,,,,,,
checkpoint,2.3 - Can you identify what the connection is? Galvanised / Stainless / Zinc __ Bolt Gauge M16 /M12 / M10 / M8 __ Screw Gauge 8ga / 10ga / 12/ga / 14ga. Identify the edge distances and fixing centres,,,,,,,
label,Insert Description and photos of the area being inspected:,,,,,,,
checkpoint,2.4 - Are there any out-of-plane displacements of overhead structure elements while scanning vertically and horizontally.,,,,,,,
label,Insert Description and photos of the area being inspected:,,,,,,,
checkpoint,"2.5 - Are there any signs of staining, concrete spalling and cracking, water/moisture damage, weathering or distress of overhead componets",,,,,,,
label,Insert Description and photos of the area being inspected:,,,,,,,
checkpoint,2.6 - Sounding the surface (i.e. tapping) with a hammer if material delamination of overhead structure is possible.,,,,,,,
label,Insert Description and photos of the area being inspected:,,,,,,,
checkpoint,2.7 - Push against and pull on the overhead structure element to check for unexpected movement or deformation to identify failed or loose compents of the overhead structure ,,,,,,,
label,Insert Description and photos of the area being inspected:,,,,,,,
checkpoint,2.8 - Pull test on adhesively attached components of the overhead structure.,,,,,,,
label,Insert Description and photos of the area being inspected:,,,,,,,
checkpoint,2.9 - Evaluate sealant adhesion with pull and peel testing in locations.,,,,,,,
label,Insert Description and photos of the area being inspected:,,,,,,,
checkpoint,"3 - Removal of loose or fractured components of overhead structure to reveal cause of distress, where safe to do so. ",,,,,,,
label,Insert Description and photos of the area being inspected:,,,,,,,
checkpoint,Temporary rectification may be required.,,,,,,,
label,Insert Description and photos of the area being inspected:,,,,,,,
checkpoint,"3.1 - Cursory / visual leak survey of external element, in particular noting any signs of previous water ingress and its potential sources.",,,,,,,
label,Insert Description and photos of the area being inspected:,,,,,,,
checkpoint,4 - Condition Observation Summary ,,,,,,,
dropdown,Select the condtion observation from the below options which best summaries and the current condition requirements.,"4.1 - Ordinary maintenance - a condition identified at the time of inspection that is not characterized as an “unsafe condition” or “requires repair/stabilisation” but requires maintenance (Representative photos required of ‘ordinary maintenance’ observations),4.2 - Requires repair/stabilisation - a condition identified at the time of inspection that shall be repaired or stabilised to prevent progression into an “unsafe condition” prior to the next scheduled inspection. (Representative photos required of ‘requires repair/stabilisation’ observations),4.3 - Unsafe condition - a condition identified at the time of inspection of a component or system that presents an imminent threat of harm/injury/damage or loss to persons or property. (photos required of each unsafe condition observed)",,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
checklist,ON SITE QA - Inspections,,,,,,ON SITE QA - Inspections (G55 - 256 Multi-Level Car Park),
section,G55 - 256 Multi-Level Car Park - Vertical Battens & Angles,,,,,,,
checkpoint-no-status,Details,,,,,,,
textbox,Date of Inspection:,,,,,,,
textbox,Inspectors Name and Qualitifcation:,,,,,,,
textbox,Aspect to be inspected:,,,,,,,
textbox,Elevation: ,,,,,,,
textbox,Notes Provided at Tender,,,,,,,
checkpoint,1 - Description of General Condition (100% of structure),,,,,,,
label,Insert Description and photos of the area being inspected:,,,,,,,
checkpoint,1.1 - Are there any out of plane displacement of overhead structure element/s.,,,,,,,
label,Insert Description and photos of the area being inspected:,,,,,,,
checkpoint,"1.2 - Obvious visible signs of distress including, but not limited to failure, leaks, corrosion, cracking and spalling.",,,,,,,
label,Insert Description and photos of the area being inspected:,,,,,,,
checkpoint,1.3 - Take photos of general conditon of structure and include any items identified above. ,,,,,,,
label,Insert Description and photos of the area being inspected:,,,,,,,
checkpoint,2 - Detailed Inspection (25% of structure),,,,,,,
label,Insert Description and photos of the area being inspected:,,,,,,,
checkpoint,2.1 - Are there horizontal surfaces where water can pond from above. ,,,,,,,
label,Insert Description and photos of the area being inspected:,,,,,,,
checkpoint,2.2 - Inspect condition of connections to check if bolts / screws appear to be visibly tight and if connection shows any signs of distress.,,,,,,,
label,Insert Description and photos of the area being inspected:,,,,,,,
checkpoint,2.3 - Can you identify what the connection is? Galvanised / Stainless / Zinc __ Bolt Gauge M16 /M12 / M10 / M8 __ Screw Gauge 8ga / 10ga / 12/ga / 14ga. Identify the edge distances and fixing centres,,,,,,,
label,Insert Description and photos of the area being inspected:,,,,,,,
checkpoint,2.4 - Are there any out-of-plane displacements of overhead structure elements while scanning vertically and horizontally.,,,,,,,
label,Insert Description and photos of the area being inspected:,,,,,,,
checkpoint,"2.5 - Are there any signs of staining, concrete spalling and cracking, water/moisture damage, weathering or distress of overhead componets",,,,,,,
label,Insert Description and photos of the area being inspected:,,,,,,,
checkpoint,2.6 - Sounding the surface (i.e. tapping) with a hammer if material delamination of overhead structure is possible.,,,,,,,
label,Insert Description and photos of the area being inspected:,,,,,,,
checkpoint,2.7 - Push against and pull on the overhead structure element to check for unexpected movement or deformation to identify failed or loose compents of the overhead structure ,,,,,,,
label,Insert Description and photos of the area being inspected:,,,,,,,
checkpoint,2.8 - Pull test on adhesively attached components of the overhead structure.,,,,,,,
label,Insert Description and photos of the area being inspected:,,,,,,,
checkpoint,2.9 - Evaluate sealant adhesion with pull and peel testing in locations.,,,,,,,
label,Insert Description and photos of the area being inspected:,,,,,,,
checkpoint,"3 - Removal of loose or fractured components of overhead structure to reveal cause of distress, where safe to do so. ",,,,,,,
label,Insert Description and photos of the area being inspected:,,,,,,,
checkpoint,Temporary rectification may be required.,,,,,,,
label,Insert Description and photos of the area being inspected:,,,,,,,
checkpoint,"3.1 - Cursory / visual leak survey of external element, in particular noting any signs of previous water ingress and its potential sources.",,,,,,,
label,Insert Description and photos of the area being inspected:,,,,,,,
checkpoint,4 - Condition Observation Summary ,,,,,,,
dropdown,Select the condtion observation from the below options which best summaries and the current condition requirements.,"4.1 - Ordinary maintenance - a condition identified at the time of inspection that is not characterized as an “unsafe condition” or “requires repair/stabilisation” but requires maintenance (Representative photos required of ‘ordinary maintenance’ observations),4.2 - Requires repair/stabilisation - a condition identified at the time of inspection that shall be repaired or stabilised to prevent progression into an “unsafe condition” prior to the next scheduled inspection. (Representative photos required of ‘requires repair/stabilisation’ observations),4.3 - Unsafe condition - a condition identified at the time of inspection of a component or system that presents an imminent threat of harm/injury/damage or loss to persons or property. (photos required of each unsafe condition observed)",,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
checklist,ON SITE QA - Inspections,,,,,,ON SITE QA - Inspections (G55 - 259 Multi-Level Car Park),
section,G55 - 259 Multi-Level Car Park - Wind Turbine,,,,,,,
checkpoint-no-status,Details,,,,,,,
textbox,Date of Inspection:,,,,,,,
textbox,Inspectors Name and Qualitifcation:,,,,,,,
textbox,Aspect to be inspected:,,,,,,,
textbox,Elevation: ,,,,,,,
textbox,Notes Provided at Tender,,,,,,,
checkpoint,1 - Description of General Condition (100% of structure),,,,,,,
label,Insert Description and photos of the area being inspected:,,,,,,,
checkpoint,1.1 - Are there any out of plane displacement of overhead structure element/s.,,,,,,,
label,Insert Description and photos of the area being inspected:,,,,,,,
checkpoint,"1.2 - Obvious visible signs of distress including, but not limited to failure, leaks, corrosion, cracking and spalling.",,,,,,,
label,Insert Description and photos of the area being inspected:,,,,,,,
checkpoint,1.3 - Take photos of general conditon of structure and include any items identified above. ,,,,,,,
label,Insert Description and photos of the area being inspected:,,,,,,,
checkpoint,2 - Detailed Inspection (25% of structure),,,,,,,
label,Insert Description and photos of the area being inspected:,,,,,,,
checkpoint,2.1 - Are there horizontal surfaces where water can pond from above. ,,,,,,,
label,Insert Description and photos of the area being inspected:,,,,,,,
