resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9,,,
Testing & Commissioning - Distribution Boards (Pre-Energisation),checklist,,,,,,WSA20-MPX-04000-EL-ITC-31042000 - Construction Tests (Pre-energisation),,,,,,,,
Testing & Commissioning - Distribution Boards (Energised),checklist,,,,,,WSA20-MPX-04000-EL-ITC-31043000 - Component (Energised),,,,,,,,
,step,,,,,Subcircuits,,,,,,,,,
,step,,,,,,Power,,,,,,,,
Testing & Commissioning - Subcircuits (Pre-Energisation),checklist,,,,,,,WSA20-MPX-04000-EL-ITC-31072000 - Construction Tests (Pre-energisation),,,,,,,
Testing & Commissioning - Subcircuits (Energised),checklist,,,,,,,WSA20-MPX-04000-EL-ITC-31073000 - Component (Energised),,,,,,,
,step,,,,EL-GPUDB-02-22,,,,,,,,,,
,step,,,,,Distribution Boards,,,,,,,,,
Testing & Commissioning - Distribution Boards (Pre-Energisation),checklist,,,,,,WSA20-MPX-04000-EL-ITC-31042000 - Construction Tests (Pre-energisation),,,,,,,,
Testing & Commissioning - Distribution Boards (Energised),checklist,,,,,,WSA20-MPX-04000-EL-ITC-31043000 - Component (Energised),,,,,,,,
,step,,,,,Subcircuits,,,,,,,,,
,step,,,,,,Power,,,,,,,,
Testing & Commissioning - Subcircuits (Pre-Energisation),checklist,,,,,,,WSA20-MPX-04000-EL-ITC-31072000 - Construction Tests (Pre-energisation),,,,,,,
Testing & Commissioning - Subcircuits (Energised),checklist,,,,,,,WSA20-MPX-04000-EL-ITC-31073000 - Component (Energised),,,,,,,
,step,,,,EL-GPUDB-02-23,,,,,,,,,,
,step,,,,,Distribution Boards,,,,,,,,,
Testing & Commissioning - Distribution Boards (Pre-Energisation),checklist,,,,,,WSA20-MPX-04000-EL-ITC-31042000 - Construction Tests (Pre-energisation),,,,,,,,
Testing & Commissioning - Distribution Boards (Energised),checklist,,,,,,WSA20-MPX-04000-EL-ITC-31043000 - Component (Energised),,,,,,,,
,step,,,,,Subcircuits,,,,,,,,,
,step,,,,,,Power,,,,,,,,
Testing & Commissioning - Subcircuits (Pre-Energisation),checklist,,,,,,,WSA20-MPX-04000-EL-ITC-31072000 - Construction Tests (Pre-energisation),,,,,,,
Testing & Commissioning - Subcircuits (Energised),checklist,,,,,,,WSA20-MPX-04000-EL-ITC-31073000 - Component (Energised),,,,,,,
,step,,,,EL-GPUDB-02-24,,,,,,,,,,
,step,,,,,Distribution Boards,,,,,,,,,
Testing & Commissioning - Distribution Boards (Pre-Energisation),checklist,,,,,,WSA20-MPX-04000-EL-ITC-31042000 - Construction Tests (Pre-energisation),,,,,,,,
Testing & Commissioning - Distribution Boards (Energised),checklist,,,,,,WSA20-MPX-04000-EL-ITC-31043000 - Component (Energised),,,,,,,,
,step,,,,,Subcircuits,,,,,,,,,
,step,,,,,,Power,,,,,,,,
Testing & Commissioning - Subcircuits (Pre-Energisation),checklist,,,,,,,WSA20-MPX-04000-EL-ITC-31072000 - Construction Tests (Pre-energisation),,,,,,,
Testing & Commissioning - Subcircuits (Energised),checklist,,,,,,,WSA20-MPX-04000-EL-ITC-31073000 - Component (Energised),,,,,,,
,step,,,,EL-GPUDB-02-25,,,,,,,,,,
,step,,,,,Distribution Boards,,,,,,,,,
Testing & Commissioning - Distribution Boards (Pre-Energisation),checklist,,,,,,WSA20-MPX-04000-EL-ITC-31042000 - Construction Tests (Pre-energisation),,,,,,,,
Testing & Commissioning - Distribution Boards (Energised),checklist,,,,,,WSA20-MPX-04000-EL-ITC-31043000 - Component (Energised),,,,,,,,
,step,,,,,Subcircuits,,,,,,,,,
,step,,,,,,Power,,,,,,,,
Testing & Commissioning - Subcircuits (Pre-Energisation),checklist,,,,,,,WSA20-MPX-04000-EL-ITC-31072000 - Construction Tests (Pre-energisation),,,,,,,
Testing & Commissioning - Subcircuits (Energised),checklist,,,,,,,WSA20-MPX-04000-EL-ITC-31073000 - Component (Energised),,,,,,,
,step,,,PCA DBs,,,,,,,,,,,
,step,,,,EL-PCADB-02-19,,,,,,,,,,
,step,,,,,Distribution Boards,,,,,,,,,
Testing & Commissioning - Distribution Boards (Pre-Energisation),checklist,,,,,,WSA20-MPX-04000-EL-ITC-31042000 - Construction Tests (Pre-energisation),,,,,,,,
Testing & Commissioning - Distribution Boards (Energised),checklist,,,,,,WSA20-MPX-04000-EL-ITC-31043000 - Component (Energised),,,,,,,,
,step,,,,,Subcircuits,,,,,,,,,
,step,,,,,,Power,,,,,,,,
Testing & Commissioning - Subcircuits (Pre-Energisation),checklist,,,,,,,WSA20-MPX-04000-EL-ITC-31072000 - Construction Tests (Pre-energisation),,,,,,,
Testing & Commissioning - Subcircuits (Energised),checklist,,,,,,,WSA20-MPX-04000-EL-ITC-31073000 - Component (Energised),,,,,,,
,step,,,,EL-PCADB-02-20,,,,,,,,,,
,step,,,,,Distribution Boards,,,,,,,,,
Testing & Commissioning - Distribution Boards (Pre-Energisation),checklist,,,,,,WSA20-MPX-04000-EL-ITC-31042000 - Construction Tests (Pre-energisation),,,,,,,,
Testing & Commissioning - Distribution Boards (Energised),checklist,,,,,,WSA20-MPX-04000-EL-ITC-31043000 - Component (Energised),,,,,,,,
,step,,,,,Subcircuits,,,,,,,,,
,step,,,,,,Power,,,,,,,,
Testing & Commissioning - Subcircuits (Pre-Energisation),checklist,,,,,,,WSA20-MPX-04000-EL-ITC-31072000 - Construction Tests (Pre-energisation),,,,,,,
Testing & Commissioning - Subcircuits (Energised),checklist,,,,,,,WSA20-MPX-04000-EL-ITC-31073000 - Component (Energised),,,,,,,
,step,,,,EL-PCADB-02-21,,,,,,,,,,
,step,,,,,Distribution Boards,,,,,,,,,
Testing & Commissioning - Distribution Boards (Pre-Energisation),checklist,,,,,,WSA20-MPX-04000-EL-ITC-31042000 - Construction Tests (Pre-energisation),,,,,,,,
Testing & Commissioning - Distribution Boards (Energised),checklist,,,,,,WSA20-MPX-04000-EL-ITC-31043000 - Component (Energised),,,,,,,,
,step,,,,,Subcircuits,,,,,,,,,
,step,,,,,,Power,,,,,,,,
Testing & Commissioning - Subcircuits (Pre-Energisation),checklist,,,,,,,WSA20-MPX-04000-EL-ITC-31072000 - Construction Tests (Pre-energisation),,,,,,,
Testing & Commissioning - Subcircuits (Energised),checklist,,,,,,,WSA20-MPX-04000-EL-ITC-31073000 - Component (Energised),,,,,,,
,step,,,,EL-PCADB-02-22,,,,,,,,,,
,step,,,,,Distribution Boards,,,,,,,,,
Testing & Commissioning - Distribution Boards (Pre-Energisation),checklist,,,,,,WSA20-MPX-04000-EL-ITC-31042000 - Construction Tests (Pre-energisation),,,,,,,,
Testing & Commissioning - Distribution Boards (Energised),checklist,,,,,,WSA20-MPX-04000-EL-ITC-31043000 - Component (Energised),,,,,,,,
,step,,,,,Subcircuits,,,,,,,,,
,step,,,,,,Power,,,,,,,,
Testing & Commissioning - Subcircuits (Pre-Energisation),checklist,,,,,,,WSA20-MPX-04000-EL-ITC-31072000 - Construction Tests (Pre-energisation),,,,,,,
Testing & Commissioning - Subcircuits (Energised),checklist,,,,,,,WSA20-MPX-04000-EL-ITC-31073000 - Component (Energised),,,,,,,
,step,,,,EL-PCADB-02-23,,,,,,,,,,
,step,,,,,Distribution Boards,,,,,,,,,
Testing & Commissioning - Distribution Boards (Pre-Energisation),checklist,,,,,,WSA20-MPX-04000-EL-ITC-31042000 - Construction Tests (Pre-energisation),,,,,,,,
Testing & Commissioning - Distribution Boards (Energised),checklist,,,,,,WSA20-MPX-04000-EL-ITC-31043000 - Component (Energised),,,,,,,,
,step,,,,,Subcircuits,,,,,,,,,
,step,,,,,,Power,,,,,,,,
Testing & Commissioning - Subcircuits (Pre-Energisation),checklist,,,,,,,WSA20-MPX-04000-EL-ITC-31072000 - Construction Tests (Pre-energisation),,,,,,,
Testing & Commissioning - Subcircuits (Energised),checklist,,,,,,,WSA20-MPX-04000-EL-ITC-31073000 - Component (Energised),,,,,,,
,step,,,,EL-PCADB-02-24,,,,,,,,,,
,step,,,,,Distribution Boards,,,,,,,,,
Testing & Commissioning - Distribution Boards (Pre-Energisation),checklist,,,,,,WSA20-MPX-04000-EL-ITC-31042000 - Construction Tests (Pre-energisation),,,,,,,,
Testing & Commissioning - Distribution Boards (Energised),checklist,,,,,,WSA20-MPX-04000-EL-ITC-31043000 - Component (Energised),,,,,,,,
,step,,,,,Subcircuits,,,,,,,,,
,step,,,,,,Power,,,,,,,,
Testing & Commissioning - Subcircuits (Pre-Energisation),checklist,,,,,,,WSA20-MPX-04000-EL-ITC-31072000 - Construction Tests (Pre-energisation),,,,,,,
Testing & Commissioning - Subcircuits (Energised),checklist,,,,,,,WSA20-MPX-04000-EL-ITC-31073000 - Component (Energised),,,,,,,
,step,,,,EL-PCADB-02-25,,,,,,,,,,
,step,,,,,Distribution Boards,,,,,,,,,
Testing & Commissioning - Distribution Boards (Pre-Energisation),checklist,,,,,,WSA20-MPX-04000-EL-ITC-31042000 - Construction Tests (Pre-energisation),,,,,,,,
Testing & Commissioning - Distribution Boards (Energised),checklist,,,,,,WSA20-MPX-04000-EL-ITC-31043000 - Component (Energised),,,,,,,,
,step,,,,,Subcircuits,,,,,,,,,
,step,,,,,,Power,,,,,,,,
Testing & Commissioning - Subcircuits (Pre-Energisation),checklist,,,,,,,WSA20-MPX-04000-EL-ITC-31072000 - Construction Tests (Pre-energisation),,,,,,,
Testing & Commissioning - Subcircuits (Energised),checklist,,,,,,,WSA20-MPX-04000-EL-ITC-31073000 - Component (Energised),,,,,,,
