type,name,values,prefix,postfix,usage count,user addable,template name,
checklist-sectioned,Exterior,,,,,Yes,SYS - PT - Exterior,ceb88086-4e4f-4326-8e84-4c52a62bbdd7
checkpoint-group,Power outlets,,,,,,,
checkpoint-status,Correct switchgear installed as per plan,,,,,,,
checkpoint-status,Location as per plan,,,,,,,
checkpoint-status,Installed level,,,,,,,
checkpoint-status,Danger sign installed,,,,,,,
checkpoint-group,Light Switches,,,,,,,
checkpoint-status,Correct switchgear installed as per plan,,,,,,,
checkpoint-status,Location as per plan,,,,,,,
checkpoint-status,Switching as per plan,,,,,,,
checkpoint-status,Installed level,,,,,,,
checkpoint-group,Light Fixtures,,,,,,,
checkpoint-status,Correct fixtures installed as per plan,,,,,,,
checkpoint-status,Location as per plan,,,,,,,
checkpoint-status,Height as per plan,,,,,,,
checkpoint-status,Settings adjusted (sensores + timers),,,,,,,
checkpoint-status,Tested for operation,,,,,,,
checkpoint-status,Landscape lighting (cable disconnected),,,,,,,
checkpoint-group,Fans,,,,,,,
checkpoint-status,Exterior grill installed,,,,,,,
checkpoint-status,Installed square,,,,,,,
checkpoint-group,Photos,,,,,,,
checkpoint-status,Uploaded,,,,,,,
