Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2
Fit Off - Detailed Progress,,,,,
,Scope,,,fit off,
,Rows,,,,
,,Ground,dynamic,ground,fit off
,,Level 1,dynamic,level 1,fit off
,,Level 2,dynamic,level 2,fit off
,Columns,,,,
,,Laundry Trough,,laundry fit off,laundry trough
,,Laundry Trough Mixer,,laundry fit off,laundry trough mixer
,,Laundry Trough Mini Stops,,laundry trough mini stops,laundry fit off
,,Laundry Trough Waste,,laundry fit off,laundry trough waste
,,Laundry Floor wastes - cleared of blockages,,floor wastes - cleared of blockages,laundry fit off
,,Kitchen Mini Stops,,kitchen fit off,kitchen mini stops
,,Kitchen Sink Waste,,kitchen sink waste,kitchen fit off
,,Kitchen Sink Mixer,,kitchen fit off,kitchen sink mixer
,,Kitchen Dishwasher,,kitchen fit off,kitchen dishwasher
,,Kitchen Cooktop,,kitchen fit off,kitchen cooktop
,,Bathroom Shower Mixer,,bathroom shower mixer,bathroom fit off
,,Bathroom Shower Rail/Rose,,bathroom shower rail/rose,bathroom fit off
,,Bathroom Basin,,bathroom basin,bathroom fit off
,,Bathroom Basin Mixer,,bathroom basin mixer,bathroom fit off
,,Bathroom Bottle Trap,,bathroom bottle trap,bathroom fit off
,,Bathroom Toilet,,bathroom toilet,bathroom fit off
,,Bathroom Urinal,,bathroom urinal,bathroom fit off
,,Bathroom Bath tubs,,Bath tubs,bathroom fit off
,,Bathroom Floor wastes - cleared of blockages,,floor wastes - cleared of blockages,bathroom fit off
,,Balcony Tap,,balcony tap,balcony fit off
,,Gas Point,,gas point,balcony fit off
,,,,,
Corridor - Detailed Progress,,,,,
,Scope,,,Corridor,
,Rows,,,,
,,Corridor,dynamic,Corridor,
,Columns,,,,
,,Rainwater,,rainwater,
,,Hot Water,,hot water,
,,Hot Water Lagged,,hot water lagged,
,,Cold Water,,cold water,
,,Test Hot Water,,test hot water,
,,Test Cold Water,,test cold water,
,,Test Rain Water,,test rain water,
,,Fire Caulking (Corridor to Apt),,fire caulking (corridor to apt),
,,Cold Water Meter Manifold,,cold water meter manifold,
