"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"e9ecf9fa-7dbb-5cef-8b09-3e4f97e887b7","","folder-normal","fail","","step","TRUE","FALSE","Ground"
"73602264-aaae-50f1-a1ee-446451fb298e","","checklist-flat","work-in-progress","d5858143edf2c240605d352a0039605d5e232e19fdb1d1330d9ed74ec10ab8b2","checklist-flat","FALSE","FALSE","Ground","D001.06"
"128bb047-c1b9-5cca-994f-416dca1cbdcc","","checkpoint-status","pass","d5858143edf2c240605d352a0039605d5e232e19fdb1d1330d9ed74ec10ab8b2:92288b58-a6ec-4876-8a75-6d4326362513","","TRUE","TRUE","Ground","D001.06","Opening Wraped & Prepared Correctly"
"62f39151-302d-5ee6-8a79-e09d888bb371","","checkpoint-status","pass","d5858143edf2c240605d352a0039605d5e232e19fdb1d1330d9ed74ec10ab8b2:5df6826c-1f31-4c46-8283-3246745e5bf4","","TRUE","TRUE","Ground","D001.06","External Flashings / Weather Seals As Per Shop Drawing"
"286cd393-d431-5d23-9b86-23072d4cec48","","checkpoint-status","pass","d5858143edf2c240605d352a0039605d5e232e19fdb1d1330d9ed74ec10ab8b2:848a87c1-4057-4d37-8f8e-72790400e63f","","TRUE","TRUE","Ground","D001.06","Installed / Fixed As Per Shop Drawings"
"46ab9224-f35e-5cbb-8599-6f5c981e49f3","","checkpoint-status","pass","d5858143edf2c240605d352a0039605d5e232e19fdb1d1330d9ed74ec10ab8b2:d2c07c0a-8e78-4d41-9d46-b9ab179c3191","","TRUE","TRUE","Ground","D001.06","Airseals Completed (photo)"
"aa982433-88d5-5451-8c88-ef089d8cf093","","checkpoint-status","pass","d5858143edf2c240605d352a0039605d5e232e19fdb1d1330d9ed74ec10ab8b2:4c13f7a1-83c2-4c03-aa03-a3f6b18c9465","","TRUE","TRUE","Ground","D001.06","Site Glazing Completed"
"413f7945-90ac-5475-a9bc-155ed3fd7570","","checkpoint-status","not-started","d5858143edf2c240605d352a0039605d5e232e19fdb1d1330d9ed74ec10ab8b2:07e1b957-0622-4a47-91f8-eb45b8abab47","","TRUE","TRUE","Ground","D001.06","Trade Clean & Sign off"
"2b7f0afe-b5f7-5aa6-95e8-bc161305ff09","","checklist-flat","work-in-progress","d5858143edf2c240605d352a0039605d5e232e19fdb1d1330d9ed74ec10ab8b2","checklist-flat","FALSE","FALSE","Ground","W001.01"
"0cbcd1ec-d2d9-5ff2-848b-2c4d32532bca","","checkpoint-status","pass","d5858143edf2c240605d352a0039605d5e232e19fdb1d1330d9ed74ec10ab8b2:92288b58-a6ec-4876-8a75-6d4326362513","","TRUE","TRUE","Ground","W001.01","Opening Wraped & Prepared Correctly"
"df5a3ec2-2449-5ab6-b743-60f20af4b078","","checkpoint-status","pass","d5858143edf2c240605d352a0039605d5e232e19fdb1d1330d9ed74ec10ab8b2:5df6826c-1f31-4c46-8283-3246745e5bf4","","TRUE","TRUE","Ground","W001.01","External Flashings / Weather Seals As Per Shop Drawing"
"f141b1c1-5f83-5315-bca8-e066cb529545","","checkpoint-status","pass","d5858143edf2c240605d352a0039605d5e232e19fdb1d1330d9ed74ec10ab8b2:848a87c1-4057-4d37-8f8e-72790400e63f","","TRUE","TRUE","Ground","W001.01","Installed / Fixed As Per Shop Drawings"
