"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"57233f04-9df0-4932-80da-8ac73eacfd56","","not-started","","folder","TRUE","FALSE","Site QA"
"397d6ed8-296f-44d8-8ee2-f3cf590cecc9","","not-started","","folder","TRUE","FALSE","Site QA","SP-1"
"cd3b842e-6d4f-4b9e-a2bd-cc4f40b5f5b0","","not-started","","folder","TRUE","FALSE","Site QA","SP-1","Plumbing"
"12ab81b8-0223-403f-b523-3094fe834dbc","","not-started","","folder","TRUE","FALSE","Site QA","SP-1","Plumbing","Lot 101"
"65f676cc-065b-44af-9720-937bcbfb9f3a","","no-status-not-started","","folder","TRUE","FALSE","Site QA","SP-1","Plumbing","Lot 101","Rough-in"
"ee52b123-64d6-407f-994b-643e1f9922d9","","not-started","","folder","TRUE","FALSE","Site QA","SP-1","Plumbing","Lot 101","Fit-off"
"f37c2de6-4a5f-4da0-9d51-fbbe3685f2b0","","not-started","FO Fit-off Kitchen Sink & Tapware","checklist","FALSE","FALSE","Site QA","SP-1","Plumbing","Lot 101","Fit-off","FO Fit-off Kitchen Sink & Tapware"
"febaa46b-a60b-49c4-988e-0d3812c456b2","","not-started","FO Fit-off Dishwasher","checklist","FALSE","FALSE","Site QA","SP-1","Plumbing","Lot 101","Fit-off","FO Fit-off Dishwasher"
"e628267b-ee19-4692-8b5f-f64b2d86841e","","not-started","FO Fit-off Gas Appliance","checklist","FALSE","FALSE","Site QA","SP-1","Plumbing","Lot 101","Fit-off","FO Fit-off Gas Appliance"
"a2e34c57-502f-4560-8f9d-5d5ea1c7cd3a","","not-started","FO Fit-off Laundry Trough & Tapware","checklist","FALSE","FALSE","Site QA","SP-1","Plumbing","Lot 101","Fit-off","FO Fit-off Laundry Trough & Tapware"
"af3e6a88-1a1b-4435-a0de-2005e07efcfc","","not-started","FO Fit-off Washing Machine Stops","checklist","FALSE","FALSE","Site QA","SP-1","Plumbing","Lot 101","Fit-off","FO Fit-off Washing Machine Stops"
"5ec6d884-1b3e-449c-a649-4044612676b8","","not-started","FO Fit-off Toilet & Cistern","checklist","FALSE","FALSE","Site QA","SP-1","Plumbing","Lot 101","Fit-off","FO Fit-off Toilet & Cistern"
"028c2f53-2d68-4e3b-9c72-1caae7a3e196","","not-started","FO Fit-off Wash Basin & Tapware","checklist","FALSE","FALSE","Site QA","SP-1","Plumbing","Lot 101","Fit-off","FO Fit-off Wash Basin & Tapware"
"e5ebd720-b9bd-4e91-bac8-8105332bfd7a","","not-started","FO Fit-off Shower & Tapware","checklist","FALSE","FALSE","Site QA","SP-1","Plumbing","Lot 101","Fit-off","FO Fit-off Shower & Tapware"
"14121dd3-65f7-44b8-b90f-62e65414bd5a","","not-started","FO Fit-off Bath & Tapware","checklist","FALSE","FALSE","Site QA","SP-1","Plumbing","Lot 101","Fit-off","FO Fit-off Bath & Tapware"
"af6dd673-a186-4e5d-a68f-98a0a55d9f45","","not-started","FO Fit-off Hot Water Unit","checklist","FALSE","FALSE","Site QA","SP-1","Plumbing","Lot 101","Fit-off","FO Fit-off Hot Water Unit"
