"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"27b04da3-f2df-4258-bd8c-ecb93b158f32","","work-in-progress","","folder","TRUE","FALSE","Site QA"
"fc2a1d22-e068-4438-b035-819f67b63e89","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building"
"8869dba3-c41d-4f0c-95ce-1153ce1545f7","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building","Ground floor"
"d050f0e6-62c6-40b3-addb-3b7d7985f336","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building","Ground floor","Corridor"
"c7ce87a4-2372-4b65-934d-45469ff21975","","pass","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Ground floor","Corridor","Plastering & Internal Hebel/Alpha panel/speed panel"
"8d8611c7-f8de-47e6-8dfe-9c3b5142dfee","","pass","External Alpha panel/cladding walls","checklist","FALSE","FALSE","Site QA","Building","Ground floor","Corridor","External Alpha panel/cladding walls"
"c28aabaa-3000-4f4c-b96e-9700a003c1d0","","not-started","Door Frame Grouting","checklist","FALSE","FALSE","Site QA","Building","Ground floor","Corridor","Door Frame Grouting"
"3086ef3f-e31d-4692-b8db-8f03d5dacd07","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building","Ground floor","G01"
"eb84f240-fd52-4388-a053-ef4f945d4d98","","pass","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Ground floor","G01","Plastering & Internal Hebel/Alpha panel/speed panel"
"ca99de35-43bf-4d26-831b-82dea9d1bfac","","pass","External Alpha panel/cladding walls","checklist","FALSE","FALSE","Site QA","Building","Ground floor","G01","External Alpha panel/cladding walls"
"8bffff3d-64e0-415b-9683-08bd3c734caa","","not-started","Door Frame Grouting","checklist","FALSE","FALSE","Site QA","Building","Ground floor","G01","Door Frame Grouting"
"687ab137-9ddb-4b32-bcd7-ccdceb5dafd8","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building","Ground floor","G02"
"82e15f91-2853-433d-9cc6-ec3d087d3bc8","","pass","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Ground floor","G02","Plastering & Internal Hebel/Alpha panel/speed panel"
"98b90f61-442d-4af4-b024-f3689114faa0","","pass","External Alpha panel/cladding walls","checklist","FALSE","FALSE","Site QA","Building","Ground floor","G02","External Alpha panel/cladding walls"
"329e4ec4-05c2-4674-9f4d-9537d0f651ef","","not-started","Door Frame Grouting","checklist","FALSE","FALSE","Site QA","Building","Ground floor","G02","Door Frame Grouting"
"81004c8c-539e-4709-9890-1ac43069ab53","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building","Ground floor","G03"
"60f3cb04-9923-475f-bd3f-390745fe802b","","pass","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Ground floor","G03","Plastering & Internal Hebel/Alpha panel/speed panel"
"bcae3a8c-f2a7-4003-86bf-0f4de7c8c42c","","pass","External Alpha panel/cladding walls","checklist","FALSE","FALSE","Site QA","Building","Ground floor","G03","External Alpha panel/cladding walls"
"9deda53a-2197-439d-b56f-77791e18686b","","not-started","Door Frame Grouting","checklist","FALSE","FALSE","Site QA","Building","Ground floor","G03","Door Frame Grouting"
"cc3be2e9-89c9-4a5c-9bfc-d8855bc7def1","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building","Ground floor","G04"
"7debc414-076e-417d-83f0-4a9527beed1c","","pass","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Ground floor","G04","Plastering & Internal Hebel/Alpha panel/speed panel"
"9ce705dd-6734-4306-b333-c10b26421152","","pass","External Alpha panel/cladding walls","checklist","FALSE","FALSE","Site QA","Building","Ground floor","G04","External Alpha panel/cladding walls"
"adc441ff-9740-4171-b87d-04fcbb2029ab","","not-started","Door Frame Grouting","checklist","FALSE","FALSE","Site QA","Building","Ground floor","G04","Door Frame Grouting"
"e1f825a8-7e13-4b89-b67f-c2dcdb24853e","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building","Ground floor","G05"
"c066bd94-c681-48a1-8bb8-33a2f434b575","","pass","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Ground floor","G05","Plastering & Internal Hebel/Alpha panel/speed panel"
"d6209e6d-4e97-43dc-ad13-b9e3aaaa8c75","","pass","External Alpha panel/cladding walls","checklist","FALSE","FALSE","Site QA","Building","Ground floor","G05","External Alpha panel/cladding walls"
