type,name,values,prefix,postfix,usage count,user addable,template name
checklist-flat,100mm Flushglaze,,,,,,100mm Flushglaze
checkpoint,Opening Prepared By Main Contractor,,,,,,
checkpoint,Setout/Grids/Datum Lines,,,,,,
checkpoint,Seismic Installed As Per Shop Drawings,,,,,,
checkpoint,DL Brackets Fitted & Welded correct location,,,,,,
checkpoint,Panel Fitted & Locked Off,,,,,,
checkpoint,Splicers & Soakers Sealed (provide photo reference),,,,,,
checkpoint,Airseal and Internal Flashings,,,,,,
checkpoint,External Flashings / Weather Seals (provide photo reference),,,,,,
checkpoint,Site Glazing Completed,,,,,,
checkpoint,Trade Clean,,,,,,
checkpoint,Wights - Sign Off,,,,,,
,,,,,,,
checklist-flat,125mm Flushglaze,,,,,,125mm Flushglaze
checkpoint,Opening Prepared By Main Contractor,,,,,,
checkpoint,Setout/Grids/Datum Lines,,,,,,
checkpoint,Seismic Installed As Per Shop Drawings,,,,,,
checkpoint,DL Brackets Fitted & Welded correct location,,,,,,
checkpoint,Panel Fitted & Locked Off,,,,,,
checkpoint,Splicers & Soakers Sealed (provide photo reference),,,,,,
checkpoint,Airseal and Internal Flashings,,,,,,
checkpoint,External Flashings / Weather Seals (provide photo reference),,,,,,
checkpoint,Autodoor Unit Installed - Dormakaba,,,,,,
checkpoint,Autodoor Unit Commisioned - Dormakaba,,,,,,
checkpoint,Site Glazing Completed,,,,,,
checkpoint,Trade Clean,,,,,,
checkpoint,Wights - Sign Off,,,,,,
,,,,,,,
checklist-flat,150mm Flushglaze,,,,,,150mm Flushglaze
checkpoint,Opening Prepared By Main Contractor,,,,,,
checkpoint,Setout/Grids/Datum Lines,,,,,,
checkpoint,Seismic Installed As Per Shop Drawings,,,,,,
checkpoint,DL Brackets Fitted & Welded correct location,,,,,,
checkpoint,Panel Fitted & Locked Off,,,,,,
checkpoint,Splicers & Soakers Sealed (provide photo reference),,,,,,
checkpoint,Airseal and Internal Flashings,,,,,,
checkpoint,External Flashings / Weather Seals (provide photo reference),,,,,,
checkpoint,Site Glazing Completed,,,,,,
checkpoint,Trade Clean,,,,,,
checkpoint,Wights - Sign Off,,,,,,
,,,,,,,
checklist-flat,Magnum Suite,,,,,,Magnum Suite
checkpoint,Opening Wraped & Prepared Correctly By Others,,,,,,
checkpoint,Setout/Grids/Datum Lines,,,,,,
checkpoint,External Flashings / Weather Seals As Per Shop Drawing (provide photo reference),,,,,,
checkpoint,Installed / Fixed As Per Shop Drawings,,,,,,
checkpoint,Airseals Completed,,,,,,
checkpoint,Trade Clean,,,,,,
checkpoint,Wights - Sign Off,,,,,,
,,,,,,,
checklist-flat,40mm Seismic,,,,,,40mm Seismic
checkpoint,Opening Prepared By Main Contractor,,,,,,
