"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"5c1fdf79-d9ff-4a1a-a859-c6c96bae3f43","","checklist-flat","work-in-progress","Job Details","checklist-flat","FALSE","FALSE","Spring Mountain - Project Details"
"b0b26de4-e7e2-4d85-955f-cda0382ef6e4","","folder-normal","work-in-progress","","step","TRUE","FALSE","Building Y"
"f12dbca4-8233-4af6-afab-0615b0996548","","folder-normal","work-in-progress","","step","TRUE","FALSE","Building Y","Manufacture QA"
"f8015d6e-06ce-4753-875e-c09dd2b231e3","","folder-normal","work-in-progress","","step","TRUE","FALSE","Building Y","Manufacture QA","Level BY"
"beb08bfe-38a0-424c-b28a-8fb9657f6145","","folder-normal","pass","","step","TRUE","FALSE","Building Y","Manufacture QA","Level BY","Core Lift"
"cf3ea7d5-35a4-46b6-8868-80a0e983240d","","checklist-sectioned","pass","Manufacturing Checklist","checklist","FALSE","FALSE","Building Y","Manufacture QA","Level BY","Core Lift","BY-P38"
"69a55592-eff5-4899-b7dc-1a1314d20583","","checklist-sectioned","pass","Manufacturing Checklist","checklist","FALSE","FALSE","Building Y","Manufacture QA","Level BY","Core Lift","BY-P39"
"798855be-409e-4b03-9c3e-e3e68bf879a5","","checklist-sectioned","pass","Manufacturing Checklist","checklist","FALSE","FALSE","Building Y","Manufacture QA","Level BY","Core Lift","BY-P40"
"bfd73136-a550-45f5-aa6c-e3449fa215e9","","checklist-sectioned","pass","Manufacturing Checklist","checklist","FALSE","FALSE","Building Y","Manufacture QA","Level BY","Core Lift","BY-P41"
"00b4c15f-38e6-49a4-9eea-07b40ea4ad7c","","folder-normal","pass","","step","TRUE","FALSE","Building Y","Manufacture QA","Level BY","Core Stair"
"65ea15e2-fe4f-4e31-b9a3-7f1736376de5","","checklist-sectioned","pass","Manufacturing Checklist","checklist","FALSE","FALSE","Building Y","Manufacture QA","Level BY","Core Stair","BY-P42"
"511dee73-651b-4fba-910a-d893631f002a","","checklist-sectioned","pass","Manufacturing Checklist","checklist","FALSE","FALSE","Building Y","Manufacture QA","Level BY","Core Stair","BY-P43"
"2c64e99c-e423-42f2-9f74-e2507f7f2e73","","checklist-sectioned","pass","Manufacturing Checklist","checklist","FALSE","FALSE","Building Y","Manufacture QA","Level BY","Core Stair","BY-P44"
"05e8fdee-0c2e-4ff8-9d87-49e7784616d2","","checklist-sectioned","pass","Manufacturing Checklist","checklist","FALSE","FALSE","Building Y","Manufacture QA","Level BY","Core Stair","BY-P45"
"1d91e326-1f9c-4095-8059-1805dbd9df9b","","checklist-sectioned","pass","Manufacturing Checklist","checklist","FALSE","FALSE","Building Y","Manufacture QA","Level BY","Core Stair","BY-P46"
"b924ba95-9f12-4312-8534-4a51db350632","","checklist-sectioned","pass","Manufacturing Checklist","checklist","FALSE","FALSE","Building Y","Manufacture QA","Level BY","Core Stair","BY-P47"
"b66581b8-3dd1-4adf-a5da-3c504fb64760","","checklist-sectioned","pass","Manufacturing Checklist","checklist","FALSE","FALSE","Building Y","Manufacture QA","Level BY","Core Stair","BY-P48"
"67d3ff5c-3d66-4822-990f-0613b5d3553b","","checklist-sectioned","pass","Manufacturing Checklist","checklist","FALSE","FALSE","Building Y","Manufacture QA","Level BY","Core Stair","BY-P49"
"5a750447-db66-4617-acc2-cc631b240780","","checklist-sectioned","pass","Manufacturing Checklist","checklist","FALSE","FALSE","Building Y","Manufacture QA","Level BY","Core Stair","BY-P50"
"190bcb79-836f-4378-b98c-9bb2604586d0","","checklist-sectioned","pass","Manufacturing Checklist","checklist","FALSE","FALSE","Building Y","Manufacture QA","Level BY","Core Stair","BY-P53"
"dc615bca-ce7c-4999-8744-5042278b4efc","","checklist-sectioned","pass","Manufacturing Checklist","checklist","FALSE","FALSE","Building Y","Manufacture QA","Level BY","Core Stair","BY-P54"
"1eac5804-05d5-44e8-b5c0-3ed0c1529f01","","checklist-sectioned","pass","Manufacturing Checklist","checklist","FALSE","FALSE","Building Y","Manufacture QA","Level BY","Core Stair","BY-P55"
"8271c9c1-2ea7-4687-933b-43254cb04c28","","checklist-sectioned","pass","Manufacturing Checklist","checklist","FALSE","FALSE","Building Y","Manufacture QA","Level BY","Core Stair","BY-P56"
"e91c9288-94de-48df-a401-302f03f77099","","checklist-sectioned","pass","Manufacturing Checklist","checklist","FALSE","FALSE","Building Y","Manufacture QA","Level BY","Core Stair","BY-P57"
"f38181f8-39bf-4ce9-a7cc-91fd021d4f3e","","checklist-sectioned","pass","Manufacturing Checklist","checklist","FALSE","FALSE","Building Y","Manufacture QA","Level BY","Core Stair","BY-P58"
"e68a0078-9817-48b1-8b08-f695b2a8bf3e","","checklist-sectioned","pass","Manufacturing Checklist","checklist","FALSE","FALSE","Building Y","Manufacture QA","Level BY","Core Stair","BY-P59"
"96f40c3d-9991-433d-a817-4977be7a64d9","","checklist-sectioned","pass","Manufacturing Checklist","checklist","FALSE","FALSE","Building Y","Manufacture QA","Level BY","Core Stair","BY-P60"
"d3d73730-3453-4100-a7c3-65874f918cdc","","checklist-sectioned","pass","Manufacturing Checklist","checklist","FALSE","FALSE","Building Y","Manufacture QA","Level BY","Core Stair","BY-P61"
"5a6eff6e-389b-400d-baaf-8e90d133fa00","","checklist-sectioned","pass","Manufacturing Checklist","checklist","FALSE","FALSE","Building Y","Manufacture QA","Level BY","Core Stair","BY-P62"
"093b6806-0abf-47da-b7df-5b46d5e0feec","","folder-normal","pass","","step","TRUE","FALSE","Building Y","Manufacture QA","Level BY","Landing"
