Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2
Overall Progress,,,,,
,Scope,,,,
,Rows,,,,
,,Ground - North,dynamic,ground,north
,,Ground - East,dynamic,ground,east
,,Ground - South,dynamic,south,ground
,,Level 1 - North,dynamic,level 1,north
,,Level 1 - East,dynamic,level 1,east
,,Level 1 - South,dynamic,level 1,south
,,Drama Block,dynamic,Drama Block,
,Columns,,,,
,,Opening Wrapped & Prepared Correctly,,opening wrapped & prepared correctly,
,,External Flashings / Weather Seals As Per Shop Drawing (provide photo reference),,external flashings / weather seals as per shop drawing (provide photo reference),
,,External Flashings / Weather Seals As Per Shop Drawing,,External Flashings / Weather Seals As Per Shop Drawing,
,,Installed / Fixed As Per Shop Drawings,,installed / fixed as per shop drawings,
,,Airseals Completed,,airseals completed,
,,Airseals Completed (photo),,Airseals Completed (photo),
,,Site Glazing Completed,,site glazing completed,
,,Window Controls Installed - Window Control Systems,,window controls installed - window control systems,
,,Window Controls Commissioned - Window Control Systems,,window controls commissioned - window control systems,
,,Trade Clean,,trade clean,
,,Trade Clean & Sign off,,Trade Clean & Sign off,
,,Wights - Sign Off,,wights - sign off,
