"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"732aee84-4fa5-452a-8968-20b17b4700cd","","folder-normal","fail","","step","TRUE","FALSE","Site QA"
"38305679-ec3c-431c-bd08-23e1e8c2558c","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Tower 1"
"324be19d-fdfe-40aa-ae1f-45be6db10640","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Tower 1","Level 1"
"43efa462-0b95-4aac-8423-f7d3f9c85dd3","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Tower 1","Level 1","Apartment 101"
"a3b934d3-ed09-4f2f-abe2-59b7b458c3cb","","checklist-flat","not-started","Floor Checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 1","Apartment 101","Bathroom Floors"
"ec934d06-72d3-4eba-a0e3-7c5647b32a3d","","checklist-flat","not-started","Floor Checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 1","Apartment 101","Laundry Floors"
"f0dbe2b7-f5f7-44fe-a91d-c59ed155fbcc","","checklist-flat","not-started","Kitchen Floors","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 1","Apartment 101","Kitchen Floors"
"759e29d0-fd28-4f31-861d-842e9e158f6e","","checklist-flat","not-started","Splashback Checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 1","Apartment 101","Splashback"
"062060fa-78d8-4047-9ce3-83dd28018acc","","checklist-flat","not-started","Balcony Floor checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 1","Apartment 101","Balcony Floor"
"0a4857a4-09c2-469b-b77c-228543b13254","","checklist-flat","not-started","Bathroom Walls","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 1","Apartment 101","Bathroom Walls"
"a32d26ed-6c81-42ab-8e85-9fefc7bb3a01","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Tower 1","Level 1","Apartment 102"
"70144a32-481f-4f5a-a8db-d5467772c2a7","","checklist-flat","not-started","Floor Checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 1","Apartment 102","Bathroom Floors"
"8372b7b7-67fe-42a6-bd97-74eba79d0ec6","","checklist-flat","not-started","Floor Checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 1","Apartment 102","Laundry Floors"
"93edc391-61bb-45db-af97-75566a2c2ce9","","checklist-flat","not-started","Kitchen Floors","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 1","Apartment 102","Kitchen Floors"
"4c4f11ac-ad49-45fc-a0c8-eee3f0fa4c8e","","checklist-flat","not-started","Splashback Checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 1","Apartment 102","Splashback"
"57517934-c393-45a6-864f-8adf6def58c6","","checklist-flat","not-started","Balcony Floor checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 1","Apartment 102","Balcony Floor"
"cde031ad-73c2-4fdf-828a-4da3236ac272","","checklist-flat","not-started","Bathroom Walls","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 1","Apartment 102","Bathroom Walls"
"c11e30af-19d5-44dc-ac5b-f592bdba33cf","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Tower 1","Level 1","Apartment 103"
"5cb47a5f-10ce-459e-bfe5-f80641836ca2","","checklist-flat","not-started","Floor Checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 1","Apartment 103","Bathroom Floors"
"73e7803c-6d84-4294-8bdb-27623481aa47","","checklist-flat","not-started","Floor Checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 1","Apartment 103","Laundry Floors"
"f533c4df-bf13-463f-8e8c-3acad34d0983","","checklist-flat","not-started","Kitchen Floors","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 1","Apartment 103","Kitchen Floors"
"0607fdd3-6c9f-46b7-9ed7-d851fa091cf9","","checklist-flat","not-started","Splashback Checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 1","Apartment 103","Splashback"
"4739741e-bdbc-47bd-8aa0-3426d040e1b0","","checklist-flat","not-started","Balcony Floor checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 1","Apartment 103","Balcony Floor"
"ca657820-7b41-42c2-bd71-3c65b7024fa8","","checklist-flat","not-started","Bathroom Walls","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 1","Apartment 103","Bathroom Walls"
"cf26b7f3-91a3-41b5-a865-0a2456ca69f3","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Tower 1","Level 1","Apartment 104"
"cb45d1ab-e878-4034-b18c-6ce9d0d0e25f","","checklist-flat","not-started","Floor Checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 1","Apartment 104","Bathroom Floors"
"10ef8ad7-b09e-4e24-b47a-18fcd2a99075","","checklist-flat","not-started","Floor Checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 1","Apartment 104","Laundry Floors"
"0cf4a712-4d1b-466a-94d8-f0e6bcf2a58a","","checklist-flat","not-started","Kitchen Floors","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 1","Apartment 104","Kitchen Floors"
"bd2df0d8-d72e-4bf1-8e78-597a4f22f2a1","","checklist-flat","not-started","Splashback Checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 1","Apartment 104","Splashback"
"32186513-091f-44d8-997c-9c912487b437","","checklist-flat","not-started","Balcony Floor checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 1","Apartment 104","Balcony Floor"
"e8e3263e-c4cc-4bdf-bb17-367022dbf2b8","","checklist-flat","not-started","Bathroom Walls","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 1","Apartment 104","Bathroom Walls"
"0d17e81e-8b6a-48f5-beac-11eb493b9b7f","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Tower 1","Level 1","Apartment 105"
"8fa062a0-689d-4838-8cf2-e3eedfc3609b","","checklist-flat","not-started","Floor Checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 1","Apartment 105","Bathroom Floors"
"41a38eaf-3e92-47e3-8476-32c22289281b","","checklist-flat","not-started","Floor Checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 1","Apartment 105","Laundry Floors"
"1c19c25d-060e-42df-9366-358b9e7bec2e","","checklist-flat","not-started","Kitchen Floors","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 1","Apartment 105","Kitchen Floors"
"645ba3ee-509f-4a42-867e-e2fb6af5db96","","checklist-flat","not-started","Splashback Checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 1","Apartment 105","Splashback"
"2ea4704c-8f69-4f59-ac0f-387733234866","","checklist-flat","not-started","Balcony Floor checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 1","Apartment 105","Balcony Floor"
"fa6cd54d-5a60-45c5-b75c-9944b31e2dcd","","checklist-flat","not-started","Bathroom Walls","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 1","Apartment 105","Bathroom Walls"
"0accd94b-450f-40a6-aff2-40335945e871","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Tower 1","Level 1","Apartment 106"
"075d5029-7933-4216-b1cd-ef5674edf46b","","checklist-flat","not-started","Floor Checklist","checklist-flat","FALSE","FALSE","Site QA","Tower 1","Level 1","Apartment 106","Bathroom Floors"
